entry,at,order
"The player ""Chirp @ jy4UkfacjR"" quits the game with a stack of 5990.",2024-04-17T21:18:14.601Z,171338869460100
"The player ""Shipland1 @ H0jpzO5Rav"" quits the game with a stack of 0.",2024-04-17T21:12:42.856Z,171338836285600
"-- ending hand #41 --",2024-04-17T21:12:36.847Z,171338835684701
"""Chirp @ jy4UkfacjR"" collected 670 from pot with Two Pair, 10's & 8's (combination: 10♣, 10♥, 8♠, 8♥, A♦)",2024-04-17T21:12:36.847Z,171338835684700
"River: 3♣, A♦, 10♣, 10♥ [4♦]",2024-04-17T21:12:32.836Z,171338835283600
"Turn: 3♣, A♦, 10♣ [10♥]",2024-04-17T21:12:28.815Z,171338834881500
"Flop:  [3♣, A♦, 10♣]",2024-04-17T21:12:24.755Z,171338834475500
"""Shipland1 @ H0jpzO5Rav"" shows a Q♠, 6♣.",2024-04-17T21:12:20.751Z,171338834075101
"""Chirp @ jy4UkfacjR"" shows a 8♠, 8♥.",2024-04-17T21:12:20.751Z,171338834075100
"""Chirp @ jy4UkfacjR"" calls 335",2024-04-17T21:12:19.889Z,171338833988900
"""Shipland1 @ H0jpzO5Rav"" raises to 335 and go all in",2024-04-17T21:12:18.333Z,171338833833300
"""Chirp @ jy4UkfacjR"" raises to 300",2024-04-17T21:12:14.549Z,171338833454900
"""Shipland1 @ H0jpzO5Rav"" posts a big blind of 150",2024-04-17T21:12:08.585Z,171338832858505
"""Chirp @ jy4UkfacjR"" posts a small blind of 75",2024-04-17T21:12:08.585Z,171338832858504
"Player stacks: #1 ""Chirp @ jy4UkfacjR"" (5655) | #4 ""Shipland1 @ H0jpzO5Rav"" (335)",2024-04-17T21:12:08.585Z,171338832858501
"-- starting hand #41 (id: 7eme9e63ymnn)  (No Limit Texas Hold'em) (dealer: ""Chirp @ jy4UkfacjR"") --",2024-04-17T21:12:08.585Z,171338832858500
"-- ending hand #40 --",2024-04-17T21:12:05.676Z,171338832567602
"""Chirp @ jy4UkfacjR"" collected 150 from pot",2024-04-17T21:12:05.676Z,171338832567601
"Uncalled bet of 75 returned to ""Chirp @ jy4UkfacjR""",2024-04-17T21:12:05.676Z,171338832567600
"""Shipland1 @ H0jpzO5Rav"" folds",2024-04-17T21:12:04.799Z,171338832479900
"""Chirp @ jy4UkfacjR"" posts a big blind of 150",2024-04-17T21:11:57.492Z,171338831749206
"""Shipland1 @ H0jpzO5Rav"" posts a small blind of 75",2024-04-17T21:11:57.492Z,171338831749205
"Player stacks: #1 ""Chirp @ jy4UkfacjR"" (5580) | #4 ""Shipland1 @ H0jpzO5Rav"" (410)",2024-04-17T21:11:57.492Z,171338831749202
"-- starting hand #40 (id: rhvbwxvmjoo0)  (No Limit Texas Hold'em) (dealer: ""Shipland1 @ H0jpzO5Rav"") --",2024-04-17T21:11:57.492Z,171338831749201
"The player ""-Linda- @ SlQ0PfdcTW"" quits the game with a stack of 0.",2024-04-17T21:11:57.492Z,171338831749200
"-- ending hand #39 --",2024-04-17T21:11:51.480Z,171338831148005
"""-Linda- @ SlQ0PfdcTW"" shows a Q♦, A♣.",2024-04-17T21:11:51.480Z,171338831148004
"""Chirp @ jy4UkfacjR"" collected 300 from pot with Two Pair, J's & 5's (combination: J♥, J♠, 5♥, 5♦, K♣)",2024-04-17T21:11:51.480Z,171338831148003
"""Chirp @ jy4UkfacjR"" collected 750 from pot with Two Pair, J's & 5's (combination: J♥, J♠, 5♥, 5♦, K♣)",2024-04-17T21:11:51.480Z,171338831148002
"""Chirp @ jy4UkfacjR"" shows a J♥, 5♥.",2024-04-17T21:11:51.480Z,171338831148001
"Uncalled bet of 300 returned to ""Chirp @ jy4UkfacjR""",2024-04-17T21:11:51.480Z,171338831148000
"""Shipland1 @ H0jpzO5Rav"" folds",2024-04-17T21:11:50.667Z,171338831066700
"""Chirp @ jy4UkfacjR"" bets 300",2024-04-17T21:11:49.226Z,171338830922600
"""Shipland1 @ H0jpzO5Rav"" checks",2024-04-17T21:11:45.191Z,171338830519100
"River: 7♣, K♣, 9♦, J♠ [5♦]",2024-04-17T21:11:43.110Z,171338830311000
"""Shipland1 @ H0jpzO5Rav"" calls 150",2024-04-17T21:11:42.299Z,171338830229900
"""Chirp @ jy4UkfacjR"" bets 150",2024-04-17T21:11:40.845Z,171338830084500
"""Shipland1 @ H0jpzO5Rav"" checks",2024-04-17T21:11:38.100Z,171338829810000
"Turn: 7♣, K♣, 9♦ [J♠]",2024-04-17T21:11:33.397Z,171338829339700
"""Chirp @ jy4UkfacjR"" checks",2024-04-17T21:11:32.550Z,171338829255000
"""Shipland1 @ H0jpzO5Rav"" checks",2024-04-17T21:11:30.475Z,171338829047500
"Flop:  [7♣, K♣, 9♦]",2024-04-17T21:11:23.990Z,171338828399000
"""Shipland1 @ H0jpzO5Rav"" calls 250",2024-04-17T21:11:23.130Z,171338828313000
"""Chirp @ jy4UkfacjR"" calls 250",2024-04-17T21:11:22.154Z,171338828215400
"""-Linda- @ SlQ0PfdcTW"" raises to 250 and go all in",2024-04-17T21:11:20.226Z,171338828022600
"""Shipland1 @ H0jpzO5Rav"" calls 150",2024-04-17T21:11:17.122Z,171338827712200
"""Chirp @ jy4UkfacjR"" calls 150",2024-04-17T21:11:14.010Z,171338827401000
"""-Linda- @ SlQ0PfdcTW"" posts a big blind of 150",2024-04-17T21:11:11.115Z,171338827111506
"""Shipland1 @ H0jpzO5Rav"" posts a small blind of 75",2024-04-17T21:11:11.115Z,171338827111505
"Player stacks: #1 ""Chirp @ jy4UkfacjR"" (4930) | #4 ""Shipland1 @ H0jpzO5Rav"" (810) | #7 ""-Linda- @ SlQ0PfdcTW"" (250)",2024-04-17T21:11:11.115Z,171338827111501
"-- starting hand #39 (id: fhirvccnsrds)  (No Limit Texas Hold'em) (dealer: ""Chirp @ jy4UkfacjR"") --",2024-04-17T21:11:11.115Z,171338827111500
"-- ending hand #38 --",2024-04-17T21:11:08.181Z,171338826818102
"""Chirp @ jy4UkfacjR"" collected 300 from pot",2024-04-17T21:11:08.181Z,171338826818101
"Uncalled bet of 150 returned to ""Chirp @ jy4UkfacjR""",2024-04-17T21:11:08.181Z,171338826818100
"""Shipland1 @ H0jpzO5Rav"" folds",2024-04-17T21:11:07.356Z,171338826735600
"""Chirp @ jy4UkfacjR"" bets 150",2024-04-17T21:11:06.102Z,171338826610200
"Flop:  [Q♣, J♦, K♠]",2024-04-17T21:11:03.472Z,171338826347200
"""Shipland1 @ H0jpzO5Rav"" checks",2024-04-17T21:11:02.651Z,171338826265100
"""Chirp @ jy4UkfacjR"" calls 150",2024-04-17T21:10:58.593Z,171338825859300
"""-Linda- @ SlQ0PfdcTW"" folds",2024-04-17T21:10:56.615Z,171338825661500
"""Shipland1 @ H0jpzO5Rav"" posts a big blind of 150",2024-04-17T21:10:54.352Z,171338825435208
"""Chirp @ jy4UkfacjR"" posts a small blind of 75",2024-04-17T21:10:54.352Z,171338825435207
"Player stacks: #1 ""Chirp @ jy4UkfacjR"" (4780) | #4 ""Shipland1 @ H0jpzO5Rav"" (960) | #7 ""-Linda- @ SlQ0PfdcTW"" (250)",2024-04-17T21:10:54.352Z,171338825435203
"-- starting hand #38 (id: l7ict4xhjedw)  (No Limit Texas Hold'em) (dealer: ""-Linda- @ SlQ0PfdcTW"") --",2024-04-17T21:10:54.352Z,171338825435202
"The game's big blind was changed from 100 to 150.",2024-04-17T21:10:54.352Z,171338825435201
"The game's small blind was changed from 50 to 75.",2024-04-17T21:10:54.352Z,171338825435200
"-- ending hand #37 --",2024-04-17T21:10:51.447Z,171338825144702
"""-Linda- @ SlQ0PfdcTW"" collected 200 from pot",2024-04-17T21:10:51.447Z,171338825144701
"Uncalled bet of 50 returned to ""-Linda- @ SlQ0PfdcTW""",2024-04-17T21:10:51.447Z,171338825144700
"""Chirp @ jy4UkfacjR"" folds",2024-04-17T21:10:50.640Z,171338825064000
"""-Linda- @ SlQ0PfdcTW"" bets 50 and go all in",2024-04-17T21:10:47.282Z,171338824728200
"Flop:  [8♦, 8♣, 3♠]",2024-04-17T21:10:45.605Z,171338824560500
"""Chirp @ jy4UkfacjR"" checks",2024-04-17T21:10:44.757Z,171338824475700
"""-Linda- @ SlQ0PfdcTW"" calls 100",2024-04-17T21:10:42.911Z,171338824291100
"""Shipland1 @ H0jpzO5Rav"" folds",2024-04-17T21:10:39.669Z,171338823966900
"""Chirp @ jy4UkfacjR"" posts a big blind of 100",2024-04-17T21:10:36.490Z,171338823649006
"""-Linda- @ SlQ0PfdcTW"" posts a small blind of 50",2024-04-17T21:10:36.490Z,171338823649005
"Player stacks: #1 ""Chirp @ jy4UkfacjR"" (4880) | #4 ""Shipland1 @ H0jpzO5Rav"" (960) | #7 ""-Linda- @ SlQ0PfdcTW"" (150)",2024-04-17T21:10:36.490Z,171338823649001
"-- starting hand #37 (id: hqecs6enyen3)  (No Limit Texas Hold'em) (dealer: ""Shipland1 @ H0jpzO5Rav"") --",2024-04-17T21:10:36.490Z,171338823649000
"-- ending hand #36 --",2024-04-17T21:10:30.485Z,171338823048501
"""-Linda- @ SlQ0PfdcTW"" collected 150 from pot with Pair, K's (combination: K♥, K♣, Q♠, 9♠, 8♣)",2024-04-17T21:10:30.485Z,171338823048500
"River: 8♣, K♥, Q♠, 5♣ [K♣]",2024-04-17T21:10:26.483Z,171338822648300
"Turn: 8♣, K♥, Q♠ [5♣]",2024-04-17T21:10:22.479Z,171338822247900
"Flop:  [8♣, K♥, Q♠]",2024-04-17T21:10:18.427Z,171338821842700
"""-Linda- @ SlQ0PfdcTW"" shows a 2♦, 9♠.",2024-04-17T21:10:14.395Z,171338821439502
"""Chirp @ jy4UkfacjR"" shows a 7♦, 6♣.",2024-04-17T21:10:14.395Z,171338821439501
"Uncalled bet of 50 returned to ""Chirp @ jy4UkfacjR""",2024-04-17T21:10:14.395Z,171338821439500
"""Shipland1 @ H0jpzO5Rav"" folds",2024-04-17T21:10:13.576Z,171338821357600
"""Chirp @ jy4UkfacjR"" calls 100",2024-04-17T21:10:12.596Z,171338821259600
"""-Linda- @ SlQ0PfdcTW"" posts a big blind of 50 and go all in ",2024-04-17T21:10:09.755Z,171338820975506
"""Shipland1 @ H0jpzO5Rav"" posts a small blind of 50",2024-04-17T21:10:09.755Z,171338820975505
"Player stacks: #1 ""Chirp @ jy4UkfacjR"" (4930) | #4 ""Shipland1 @ H0jpzO5Rav"" (1010) | #7 ""-Linda- @ SlQ0PfdcTW"" (50)",2024-04-17T21:10:09.755Z,171338820975501
"-- starting hand #36 (id: hqnh51wqe0qd)  (No Limit Texas Hold'em) (dealer: ""Chirp @ jy4UkfacjR"") --",2024-04-17T21:10:09.755Z,171338820975500
"-- ending hand #35 --",2024-04-17T21:10:06.774Z,171338820677402
"""Chirp @ jy4UkfacjR"" collected 800 from pot",2024-04-17T21:10:06.774Z,171338820677401
"Uncalled bet of 400 returned to ""Chirp @ jy4UkfacjR""",2024-04-17T21:10:06.774Z,171338820677400
"""Shipland1 @ H0jpzO5Rav"" folds",2024-04-17T21:10:05.949Z,171338820594900
"""Chirp @ jy4UkfacjR"" bets 400",2024-04-17T21:10:03.377Z,171338820337700
"River: J♦, 9♥, 7♦, 9♠ [8♦]",2024-04-17T21:09:56.504Z,171338819650400
"""Shipland1 @ H0jpzO5Rav"" calls 100",2024-04-17T21:09:55.665Z,171338819566500
"""Chirp @ jy4UkfacjR"" bets 100",2024-04-17T21:09:53.387Z,171338819338700
"Turn: J♦, 9♥, 7♦ [9♠]",2024-04-17T21:09:50.579Z,171338819057900
"""Chirp @ jy4UkfacjR"" calls 200",2024-04-17T21:09:49.762Z,171338818976200
"""Shipland1 @ H0jpzO5Rav"" raises to 200",2024-04-17T21:09:47.898Z,171338818789800
"""Chirp @ jy4UkfacjR"" bets 100",2024-04-17T21:09:44.761Z,171338818476100
"Flop:  [J♦, 9♥, 7♦]",2024-04-17T21:09:41.151Z,171338818115100
"""Shipland1 @ H0jpzO5Rav"" checks",2024-04-17T21:09:40.306Z,171338818030600
"""Chirp @ jy4UkfacjR"" calls 100",2024-04-17T21:09:38.144Z,171338817814400
"""-Linda- @ SlQ0PfdcTW"" folds",2024-04-17T21:09:37.233Z,171338817723300
"""Shipland1 @ H0jpzO5Rav"" posts a big blind of 100",2024-04-17T21:09:35.088Z,171338817508806
"""Chirp @ jy4UkfacjR"" posts a small blind of 50",2024-04-17T21:09:35.088Z,171338817508805
"Player stacks: #1 ""Chirp @ jy4UkfacjR"" (4530) | #4 ""Shipland1 @ H0jpzO5Rav"" (1410) | #7 ""-Linda- @ SlQ0PfdcTW"" (50)",2024-04-17T21:09:35.088Z,171338817508801
