entry,at,order
"The player ""Buddha73 @ XEsMAem63v"" quits the game with a stack of 7150.",2024-04-26T17:47:54.561Z,171415367456100
"The player ""CharlieT123 @ 6FS286oL0x"" quits the game with a stack of 0.",2024-04-26T17:41:54.433Z,171415331443300
"-- ending hand #50 --",2024-04-26T17:41:48.422Z,171415330842201
"""Buddha73 @ XEsMAem63v"" collected 4772 from pot with Two Pair, A's & K's (combination: A♣, A♦, K♣, K♠, 10♦)",2024-04-26T17:41:48.422Z,171415330842200
"River: 9♠, K♣, K♠, 7♣ [10♦]",2024-04-26T17:41:44.391Z,171415330439100
"Turn: 9♠, K♣, K♠ [7♣]",2024-04-26T17:41:40.388Z,171415330038800
"Flop:  [9♠, K♣, K♠]",2024-04-26T17:41:36.362Z,171415329636200
"""CharlieT123 @ 6FS286oL0x"" shows a A♠, J♦.",2024-04-26T17:41:32.352Z,171415329235201
"""Buddha73 @ XEsMAem63v"" shows a A♣, A♦.",2024-04-26T17:41:32.352Z,171415329235200
"""CharlieT123 @ 6FS286oL0x"" calls 2386 and go all in",2024-04-26T17:41:31.532Z,171415329153200
"""Buddha73 @ XEsMAem63v"" raises to 2386",2024-04-26T17:41:30.404Z,171415329040400
"""CharlieT123 @ 6FS286oL0x"" raises to 450",2024-04-26T17:41:26.529Z,171415328652900
"""Buddha73 @ XEsMAem63v"" calls 150",2024-04-26T17:41:23.595Z,171415328359500
"""CharlieT123 @ 6FS286oL0x"" posts a big blind of 150",2024-04-26T17:41:21.069Z,171415328106905
"""Buddha73 @ XEsMAem63v"" posts a small blind of 75",2024-04-26T17:41:21.069Z,171415328106904
"Player stacks: #2 ""Buddha73 @ XEsMAem63v"" (4764) | #4 ""CharlieT123 @ 6FS286oL0x"" (2386)",2024-04-26T17:41:21.069Z,171415328106901
"-- starting hand #50 (id: rbjea0wmnjum)  (No Limit Texas Hold'em) (dealer: ""Buddha73 @ XEsMAem63v"") --",2024-04-26T17:41:21.069Z,171415328106900
"-- ending hand #49 --",2024-04-26T17:41:18.116Z,171415327811602
"""CharlieT123 @ 6FS286oL0x"" collected 300 from pot",2024-04-26T17:41:18.116Z,171415327811601
"Uncalled bet of 300 returned to ""CharlieT123 @ 6FS286oL0x""",2024-04-26T17:41:18.116Z,171415327811600
"""Buddha73 @ XEsMAem63v"" folds",2024-04-26T17:41:17.298Z,171415327729800
"""CharlieT123 @ 6FS286oL0x"" raises to 450",2024-04-26T17:41:13.176Z,171415327317600
"""Buddha73 @ XEsMAem63v"" posts a big blind of 150",2024-04-26T17:41:10.706Z,171415327070607
"""CharlieT123 @ 6FS286oL0x"" posts a small blind of 75",2024-04-26T17:41:10.706Z,171415327070606
"Player stacks: #2 ""Buddha73 @ XEsMAem63v"" (4914) | #4 ""CharlieT123 @ 6FS286oL0x"" (2236)",2024-04-26T17:41:10.706Z,171415327070603
"-- starting hand #49 (id: cutnbyhijqub)  (No Limit Texas Hold'em) (dealer: ""CharlieT123 @ 6FS286oL0x"") --",2024-04-26T17:41:10.706Z,171415327070602
"The game's big blind was changed from 100 to 150.",2024-04-26T17:41:10.706Z,171415327070601
"The game's small blind was changed from 50 to 75.",2024-04-26T17:41:10.706Z,171415327070600
"-- ending hand #48 --",2024-04-26T17:41:07.753Z,171415326775302
"""Buddha73 @ XEsMAem63v"" collected 800 from pot",2024-04-26T17:41:07.753Z,171415326775301
"Uncalled bet of 100 returned to ""Buddha73 @ XEsMAem63v""",2024-04-26T17:41:07.753Z,171415326775300
"""CharlieT123 @ 6FS286oL0x"" folds",2024-04-26T17:41:06.947Z,171415326694700
"""Buddha73 @ XEsMAem63v"" bets 100",2024-04-26T17:41:06.054Z,171415326605400
"""CharlieT123 @ 6FS286oL0x"" checks",2024-04-26T17:41:03.094Z,171415326309400
"Turn: K♥, 9♦, 9♠ [K♣]",2024-04-26T17:41:02.224Z,171415326222400
"""Buddha73 @ XEsMAem63v"" checks",2024-04-26T17:41:01.377Z,171415326137700
"""CharlieT123 @ 6FS286oL0x"" checks",2024-04-26T17:40:55.693Z,171415325569300
"Flop:  [K♥, 9♦, 9♠]",2024-04-26T17:40:54.002Z,171415325400200
"""Buddha73 @ XEsMAem63v"" calls 400",2024-04-26T17:40:53.118Z,171415325311800
"""CharlieT123 @ 6FS286oL0x"" raises to 400",2024-04-26T17:40:51.378Z,171415325137800
"""Buddha73 @ XEsMAem63v"" calls 100",2024-04-26T17:40:48.507Z,171415324850700
"""CharlieT123 @ 6FS286oL0x"" posts a big blind of 100",2024-04-26T17:40:46.813Z,171415324681305
"""Buddha73 @ XEsMAem63v"" posts a small blind of 50",2024-04-26T17:40:46.813Z,171415324681304
"Player stacks: #2 ""Buddha73 @ XEsMAem63v"" (4514) | #4 ""CharlieT123 @ 6FS286oL0x"" (2636)",2024-04-26T17:40:46.813Z,171415324681301
"-- starting hand #48 (id: qrih8ooowz3v)  (No Limit Texas Hold'em) (dealer: ""Buddha73 @ XEsMAem63v"") --",2024-04-26T17:40:46.813Z,171415324681300
"-- ending hand #47 --",2024-04-26T17:40:40.787Z,171415324078702
"""Buddha73 @ XEsMAem63v"" collected 200 from pot with Pair, 5's (combination: 5♣, 5♥, K♥, J♥, 9♣)",2024-04-26T17:40:40.787Z,171415324078701
"""Buddha73 @ XEsMAem63v"" shows a 5♣, 2♦.",2024-04-26T17:40:40.787Z,171415324078700
"""CharlieT123 @ 6FS286oL0x"" checks",2024-04-26T17:40:39.923Z,171415323992300
"""Buddha73 @ XEsMAem63v"" checks",2024-04-26T17:40:39.056Z,171415323905600
"River: K♥, 8♣, 5♥, 9♣ [J♥]",2024-04-26T17:40:37.372Z,171415323737200
"""CharlieT123 @ 6FS286oL0x"" checks",2024-04-26T17:40:36.492Z,171415323649200
"""Buddha73 @ XEsMAem63v"" checks",2024-04-26T17:40:35.636Z,171415323563600
"Turn: K♥, 8♣, 5♥ [9♣]",2024-04-26T17:40:33.766Z,171415323376600
"""CharlieT123 @ 6FS286oL0x"" checks",2024-04-26T17:40:32.884Z,171415323288400
"""Buddha73 @ XEsMAem63v"" checks",2024-04-26T17:40:31.970Z,171415323197000
"Flop:  [K♥, 8♣, 5♥]",2024-04-26T17:40:29.860Z,171415322986000
"""Buddha73 @ XEsMAem63v"" checks",2024-04-26T17:40:29.042Z,171415322904200
"""CharlieT123 @ 6FS286oL0x"" calls 100",2024-04-26T17:40:25.935Z,171415322593500
"""Buddha73 @ XEsMAem63v"" posts a big blind of 100",2024-04-26T17:40:24.144Z,171415322414405
"""CharlieT123 @ 6FS286oL0x"" posts a small blind of 50",2024-04-26T17:40:24.144Z,171415322414404
"Player stacks: #2 ""Buddha73 @ XEsMAem63v"" (4414) | #4 ""CharlieT123 @ 6FS286oL0x"" (2736)",2024-04-26T17:40:24.144Z,171415322414401
"-- starting hand #47 (id: jxokhptkh4ws)  (No Limit Texas Hold'em) (dealer: ""CharlieT123 @ 6FS286oL0x"") --",2024-04-26T17:40:24.144Z,171415322414400
