entry,at,order
"The player ""Ghost® @ wTXmy1PLC9"" quits the game with a stack of 7030.",2024-04-26T17:28:35.168Z,171415251516800
"The player ""shivarana12346 @ 70U6fx0Khy"" quits the game with a stack of 0.",2024-04-26T17:23:06.113Z,171415218611300
"-- ending hand #24 --",2024-04-26T17:23:00.098Z,171415218009803
"""shivarana12346 @ 70U6fx0Khy"" shows a 2♠, A♠.",2024-04-26T17:23:00.098Z,171415218009802
"""Ghost® @ wTXmy1PLC9"" collected 3922 from pot with Two Pair, Q's & 4's (combination: Q♣, Q♠, 4♦, 4♣, 10♦)",2024-04-26T17:23:00.098Z,171415218009801
"""Ghost® @ wTXmy1PLC9"" shows a 4♦, 4♣.",2024-04-26T17:23:00.098Z,171415218009800
"""Ghost® @ wTXmy1PLC9"" calls 961",2024-04-26T17:22:59.256Z,171415217925600
"""shivarana12346 @ 70U6fx0Khy"" bets 961 and go all in",2024-04-26T17:22:55.747Z,171415217574700
"""Ghost® @ wTXmy1PLC9"" checks",2024-04-26T17:22:48.479Z,171415216847900
"River: 2♦, Q♣, 5♠, Q♠ [10♦]",2024-04-26T17:22:44.820Z,171415216482000
"""Ghost® @ wTXmy1PLC9"" calls 500",2024-04-26T17:22:43.960Z,171415216396000
"""shivarana12346 @ 70U6fx0Khy"" bets 500",2024-04-26T17:22:41.038Z,171415216103800
"""Ghost® @ wTXmy1PLC9"" checks",2024-04-26T17:22:34.284Z,171415215428400
"Turn: 2♦, Q♣, 5♠ [Q♠]",2024-04-26T17:22:32.804Z,171415215280400
"""Ghost® @ wTXmy1PLC9"" calls 300",2024-04-26T17:22:31.928Z,171415215192800
"""shivarana12346 @ 70U6fx0Khy"" bets 300",2024-04-26T17:22:25.538Z,171415214553800
"""Ghost® @ wTXmy1PLC9"" checks",2024-04-26T17:22:19.953Z,171415213995300
"Flop:  [2♦, Q♣, 5♠]",2024-04-26T17:22:18.276Z,171415213827600
"""Ghost® @ wTXmy1PLC9"" calls 200",2024-04-26T17:22:17.467Z,171415213746700
"""shivarana12346 @ 70U6fx0Khy"" raises to 200",2024-04-26T17:22:16.287Z,171415213628700
"""Ghost® @ wTXmy1PLC9"" posts a big blind of 100",2024-04-26T17:22:13.084Z,171415213308405
"""shivarana12346 @ 70U6fx0Khy"" posts a small blind of 50",2024-04-26T17:22:13.084Z,171415213308404
"Player stacks: #4 ""Ghost® @ wTXmy1PLC9"" (5069) | #7 ""shivarana12346 @ 70U6fx0Khy"" (1961)",2024-04-26T17:22:13.084Z,171415213308401
"-- starting hand #24 (id: svlwkzjco5pv)  (No Limit Texas Hold'em) (dealer: ""shivarana12346 @ 70U6fx0Khy"") --",2024-04-26T17:22:13.084Z,171415213308400
"-- ending hand #23 --",2024-04-26T17:22:10.146Z,171415213014602
"""shivarana12346 @ 70U6fx0Khy"" collected 200 from pot",2024-04-26T17:22:10.146Z,171415213014601
