entry,at,order
"The player ""smashthategg @ nL7UOwiHi4"" quits the game with a stack of 0.",2023-12-30T06:03:40.488Z,170391622048800
"-- ending hand #59 --",2023-12-30T06:03:34.477Z,170391621447701
"""CommishHE @ 4Adnqj2oln"" collected 3336 from pot with K High (combination: K♣, Q♦, 10♦, 9♥, 7♣)",2023-12-30T06:03:34.477Z,170391621447700
"River: 7♣, 5♣, Q♦, 10♦ [6♣]",2023-12-30T06:03:30.467Z,170391621046700
"Turn: 7♣, 5♣, Q♦ [10♦]",2023-12-30T06:03:26.427Z,170391620642700
"Flop:  [7♣, 5♣, Q♦]",2023-12-30T06:03:22.423Z,170391620242300
"""CommishHE @ 4Adnqj2oln"" shows a K♣, 9♥.",2023-12-30T06:03:18.357Z,170391619835701
"""smashthategg @ nL7UOwiHi4"" shows a K♦, 8♥.",2023-12-30T06:03:18.357Z,170391619835700
"""CommishHE @ 4Adnqj2oln"" calls 1668",2023-12-30T06:03:17.518Z,170391619751800
"""smashthategg @ nL7UOwiHi4"" raises to 1668 and go all in",2023-12-30T06:03:16.075Z,170391619607500
"""CommishHE @ 4Adnqj2oln"" posts a big blind of 300",2023-12-30T06:03:13.954Z,170391619395405
"""smashthategg @ nL7UOwiHi4"" posts a small blind of 150",2023-12-30T06:03:13.954Z,170391619395404
"Your hand is K♦, 8♥",2023-12-30T06:03:13.954Z,170391619395402
"Player stacks: #1 ""smashthategg @ nL7UOwiHi4"" (1668) | #4 ""CommishHE @ 4Adnqj2oln"" (4482)",2023-12-30T06:03:13.954Z,170391619395401
"-- starting hand #59 (id: vrw0f0iatqcu)  (No Limit Texas Hold'em) (dealer: ""smashthategg @ nL7UOwiHi4"") --",2023-12-30T06:03:13.954Z,170391619395400
"-- ending hand #58 --",2023-12-30T06:03:11.043Z,170391619104302
"""CommishHE @ 4Adnqj2oln"" collected 600 from pot",2023-12-30T06:03:11.043Z,170391619104301
"Uncalled bet of 900 returned to ""CommishHE @ 4Adnqj2oln""",2023-12-30T06:03:11.043Z,170391619104300
"""smashthategg @ nL7UOwiHi4"" folds",2023-12-30T06:03:10.198Z,170391619019800
"""CommishHE @ 4Adnqj2oln"" bets 900",2023-12-30T06:02:58.748Z,170391617874800
