entry,at,order
"The player ""Abdulcryptofx @ ipblIB7ofh"" quits the game with a stack of 5086.",2024-04-26T18:58:04.434Z,171415788443400
"The player ""TheDon13 @ 1fSi1EYqbj"" quits the game with a stack of 914.",2024-04-26T18:54:53.142Z,171415769314200
"-- ending hand #131 --",2024-04-26T18:54:50.190Z,171415769019002
"""TheDon13 @ 1fSi1EYqbj"" collected 150 from pot",2024-04-26T18:54:50.190Z,171415769019001
"Uncalled bet of 75 returned to ""TheDon13 @ 1fSi1EYqbj""",2024-04-26T18:54:50.190Z,171415769019000
"""Abdulcryptofx @ ipblIB7ofh"" folds",2024-04-26T18:54:49.340Z,171415768934000
"""TheDon13 @ 1fSi1EYqbj"" posts a big blind of 150",2024-04-26T18:54:34.297Z,171415767429705
"""Abdulcryptofx @ ipblIB7ofh"" posts a small blind of 75",2024-04-26T18:54:34.297Z,171415767429704
"Player stacks: #1 ""Abdulcryptofx @ ipblIB7ofh"" (5161) | #6 ""TheDon13 @ 1fSi1EYqbj"" (839)",2024-04-26T18:54:34.297Z,171415767429701
"-- starting hand #131 (id: lbyjcgvle5vm)  (No Limit Texas Hold'em) (dealer: ""Abdulcryptofx @ ipblIB7ofh"") --",2024-04-26T18:54:34.297Z,171415767429700
"-- ending hand #130 --",2024-04-26T18:54:31.348Z,171415767134802
"""Abdulcryptofx @ ipblIB7ofh"" collected 150 from pot",2024-04-26T18:54:31.348Z,171415767134801
"Uncalled bet of 75 returned to ""Abdulcryptofx @ ipblIB7ofh""",2024-04-26T18:54:31.348Z,171415767134800
"""TheDon13 @ 1fSi1EYqbj"" folds",2024-04-26T18:54:30.495Z,171415767049506
"""Abdulcryptofx @ ipblIB7ofh"" posts a big blind of 150",2024-04-26T18:54:30.495Z,171415767049505
"""TheDon13 @ 1fSi1EYqbj"" posts a small blind of 75",2024-04-26T18:54:30.495Z,171415767049504
"Player stacks: #1 ""Abdulcryptofx @ ipblIB7ofh"" (5086) | #6 ""TheDon13 @ 1fSi1EYqbj"" (914)",2024-04-26T18:54:30.495Z,171415767049501
"-- starting hand #130 (id: 3svz5adge89y)  (No Limit Texas Hold'em) (dealer: ""TheDon13 @ 1fSi1EYqbj"") --",2024-04-26T18:54:30.495Z,171415767049500
"-- ending hand #129 --",2024-04-26T18:54:27.489Z,171415766748902
"""Abdulcryptofx @ ipblIB7ofh"" collected 300 from pot",2024-04-26T18:54:27.489Z,171415766748901
"Uncalled bet of 150 returned to ""Abdulcryptofx @ ipblIB7ofh""",2024-04-26T18:54:27.489Z,171415766748900
"""TheDon13 @ 1fSi1EYqbj"" folds",2024-04-26T18:54:26.684Z,171415766668400
"""Abdulcryptofx @ ipblIB7ofh"" raises to 300",2024-04-26T18:54:25.804Z,171415766580400
"""TheDon13 @ 1fSi1EYqbj"" posts a big blind of 150",2024-04-26T18:54:14.672Z,171415765467205
"""Abdulcryptofx @ ipblIB7ofh"" posts a small blind of 75",2024-04-26T18:54:14.672Z,171415765467204
"Player stacks: #1 ""Abdulcryptofx @ ipblIB7ofh"" (4936) | #6 ""TheDon13 @ 1fSi1EYqbj"" (1064)",2024-04-26T18:54:14.672Z,171415765467201
"-- starting hand #129 (id: dsfgf9s4192c)  (No Limit Texas Hold'em) (dealer: ""Abdulcryptofx @ ipblIB7ofh"") --",2024-04-26T18:54:14.672Z,171415765467200
"-- ending hand #128 --",2024-04-26T18:54:11.706Z,171415765170602
"""Abdulcryptofx @ ipblIB7ofh"" collected 150 from pot",2024-04-26T18:54:11.706Z,171415765170601
"Uncalled bet of 75 returned to ""Abdulcryptofx @ ipblIB7ofh""",2024-04-26T18:54:11.706Z,171415765170600
"""TheDon13 @ 1fSi1EYqbj"" folds",2024-04-26T18:54:10.874Z,171415765087406
"""Abdulcryptofx @ ipblIB7ofh"" posts a big blind of 150",2024-04-26T18:54:10.874Z,171415765087405
"""TheDon13 @ 1fSi1EYqbj"" posts a small blind of 75",2024-04-26T18:54:10.874Z,171415765087404
"Player stacks: #1 ""Abdulcryptofx @ ipblIB7ofh"" (4861) | #6 ""TheDon13 @ 1fSi1EYqbj"" (1139)",2024-04-26T18:54:10.874Z,171415765087401
"-- starting hand #128 (id: 0qjmlop6jvk8)  (No Limit Texas Hold'em) (dealer: ""TheDon13 @ 1fSi1EYqbj"") --",2024-04-26T18:54:10.874Z,171415765087400
"-- ending hand #127 --",2024-04-26T18:54:07.907Z,171415764790702
"""Abdulcryptofx @ ipblIB7ofh"" collected 300 from pot",2024-04-26T18:54:07.907Z,171415764790701
"Uncalled bet of 150 returned to ""Abdulcryptofx @ ipblIB7ofh""",2024-04-26T18:54:07.907Z,171415764790700
"""TheDon13 @ 1fSi1EYqbj"" folds",2024-04-26T18:54:07.070Z,171415764707000
"""Abdulcryptofx @ ipblIB7ofh"" raises to 300",2024-04-26T18:54:06.163Z,171415764616300
"""TheDon13 @ 1fSi1EYqbj"" posts a big blind of 150",2024-04-26T18:54:03.277Z,171415764327705
"""Abdulcryptofx @ ipblIB7ofh"" posts a small blind of 75",2024-04-26T18:54:03.277Z,171415764327704
"Player stacks: #1 ""Abdulcryptofx @ ipblIB7ofh"" (4711) | #6 ""TheDon13 @ 1fSi1EYqbj"" (1289)",2024-04-26T18:54:03.277Z,171415764327701
"-- starting hand #127 (id: cistckwg4kqt)  (No Limit Texas Hold'em) (dealer: ""Abdulcryptofx @ ipblIB7ofh"") --",2024-04-26T18:54:03.277Z,171415764327700
"-- ending hand #126 --",2024-04-26T18:54:00.302Z,171415764030202
"""Abdulcryptofx @ ipblIB7ofh"" collected 150 from pot",2024-04-26T18:54:00.302Z,171415764030201
"Uncalled bet of 75 returned to ""Abdulcryptofx @ ipblIB7ofh""",2024-04-26T18:54:00.302Z,171415764030200
"""TheDon13 @ 1fSi1EYqbj"" folds",2024-04-26T18:53:59.462Z,171415763946206
"""Abdulcryptofx @ ipblIB7ofh"" posts a big blind of 150",2024-04-26T18:53:59.462Z,171415763946205
"""TheDon13 @ 1fSi1EYqbj"" posts a small blind of 75",2024-04-26T18:53:59.462Z,171415763946204
"Player stacks: #1 ""Abdulcryptofx @ ipblIB7ofh"" (4636) | #6 ""TheDon13 @ 1fSi1EYqbj"" (1364)",2024-04-26T18:53:59.462Z,171415763946201
"-- starting hand #126 (id: gmadqlhuthxo)  (No Limit Texas Hold'em) (dealer: ""TheDon13 @ 1fSi1EYqbj"") --",2024-04-26T18:53:59.462Z,171415763946200
"-- ending hand #125 --",2024-04-26T18:53:56.502Z,171415763650202
"""Abdulcryptofx @ ipblIB7ofh"" collected 300 from pot",2024-04-26T18:53:56.502Z,171415763650201
"Uncalled bet of 150 returned to ""Abdulcryptofx @ ipblIB7ofh""",2024-04-26T18:53:56.502Z,171415763650200
"""TheDon13 @ 1fSi1EYqbj"" folds",2024-04-26T18:53:55.678Z,171415763567800
"""Abdulcryptofx @ ipblIB7ofh"" raises to 300",2024-04-26T18:53:54.843Z,171415763484300
"""TheDon13 @ 1fSi1EYqbj"" posts a big blind of 150",2024-04-26T18:53:46.889Z,171415762688905
"""Abdulcryptofx @ ipblIB7ofh"" posts a small blind of 75",2024-04-26T18:53:46.889Z,171415762688904
"Player stacks: #1 ""Abdulcryptofx @ ipblIB7ofh"" (4486) | #6 ""TheDon13 @ 1fSi1EYqbj"" (1514)",2024-04-26T18:53:46.889Z,171415762688901
"-- starting hand #125 (id: v5pzkq5ivyb5)  (No Limit Texas Hold'em) (dealer: ""Abdulcryptofx @ ipblIB7ofh"") --",2024-04-26T18:53:46.889Z,171415762688900
"-- ending hand #124 --",2024-04-26T18:53:43.980Z,171415762398002
"""Abdulcryptofx @ ipblIB7ofh"" collected 150 from pot",2024-04-26T18:53:43.980Z,171415762398001
"Uncalled bet of 75 returned to ""Abdulcryptofx @ ipblIB7ofh""",2024-04-26T18:53:43.980Z,171415762398000
"""TheDon13 @ 1fSi1EYqbj"" folds",2024-04-26T18:53:43.095Z,171415762309506
"""Abdulcryptofx @ ipblIB7ofh"" posts a big blind of 150",2024-04-26T18:53:43.095Z,171415762309505
"""TheDon13 @ 1fSi1EYqbj"" posts a small blind of 75",2024-04-26T18:53:43.095Z,171415762309504
"Player stacks: #1 ""Abdulcryptofx @ ipblIB7ofh"" (4411) | #6 ""TheDon13 @ 1fSi1EYqbj"" (1589)",2024-04-26T18:53:43.095Z,171415762309501
"-- starting hand #124 (id: kgshosbirlgd)  (No Limit Texas Hold'em) (dealer: ""TheDon13 @ 1fSi1EYqbj"") --",2024-04-26T18:53:43.095Z,171415762309500
"-- ending hand #123 --",2024-04-26T18:53:40.175Z,171415762017502
"""Abdulcryptofx @ ipblIB7ofh"" collected 300 from pot",2024-04-26T18:53:40.175Z,171415762017501
"Uncalled bet of 150 returned to ""Abdulcryptofx @ ipblIB7ofh""",2024-04-26T18:53:40.175Z,171415762017500
"""TheDon13 @ 1fSi1EYqbj"" folds",2024-04-26T18:53:39.282Z,171415761928200
"""Abdulcryptofx @ ipblIB7ofh"" raises to 300",2024-04-26T18:53:38.461Z,171415761846100
"""TheDon13 @ 1fSi1EYqbj"" posts a big blind of 150",2024-04-26T18:53:27.362Z,171415760736205
"""Abdulcryptofx @ ipblIB7ofh"" posts a small blind of 75",2024-04-26T18:53:27.362Z,171415760736204
"Player stacks: #1 ""Abdulcryptofx @ ipblIB7ofh"" (4261) | #6 ""TheDon13 @ 1fSi1EYqbj"" (1739)",2024-04-26T18:53:27.362Z,171415760736201
