entry,at,order
"The player ""Shebso @ JMFjnTccoJ"" quits the game with a stack of 7070.",2024-04-26T16:07:26.506Z,171414764650600
"The player ""Grey-Warrior @ UOJq3Aj-vs"" quits the game with a stack of 0.",2024-04-26T16:01:01.598Z,171414726159800
"-- ending hand #22 --",2024-04-26T16:00:55.562Z,171414725556201
"""Shebso @ JMFjnTccoJ"" collected 6100 from pot with Two Pair, K's & Q's (combination: K♦, K♥, Q♥, Q♣, 6♥)",2024-04-26T16:00:55.562Z,171414725556200
"River: Q♣, 5♦, 6♥, K♥ [2♥]",2024-04-26T16:00:51.536Z,171414725153600
"Turn: Q♣, 5♦, 6♥ [K♥]",2024-04-26T16:00:47.476Z,171414724747600
"""Grey-Warrior @ UOJq3Aj-vs"" shows a Q♠, 9♥.",2024-04-26T16:00:43.467Z,171414724346701
"""Shebso @ JMFjnTccoJ"" shows a Q♥, K♦.",2024-04-26T16:00:43.467Z,171414724346700
"""Grey-Warrior @ UOJq3Aj-vs"" calls 2950 and go all in",2024-04-26T16:00:42.634Z,171414724263400
"""Shebso @ JMFjnTccoJ"" bets 2950",2024-04-26T16:00:38.979Z,171414723897900
"Flop:  [Q♣, 5♦, 6♥]",2024-04-26T16:00:34.907Z,171414723490700
"""Shebso @ JMFjnTccoJ"" checks",2024-04-26T16:00:34.057Z,171414723405700
"""Grey-Warrior @ UOJq3Aj-vs"" calls 100",2024-04-26T16:00:33.091Z,171414723309100
"""Shebso @ JMFjnTccoJ"" posts a big blind of 100",2024-04-26T16:00:31.369Z,171414723136905
"""Grey-Warrior @ UOJq3Aj-vs"" posts a small blind of 50",2024-04-26T16:00:31.369Z,171414723136904
"Player stacks: #1 ""Shebso @ JMFjnTccoJ"" (4020) | #4 ""Grey-Warrior @ UOJq3Aj-vs"" (3050)",2024-04-26T16:00:31.369Z,171414723136901
"-- starting hand #22 (id: 4xepwhjhqi5g)  (No Limit Texas Hold'em) (dealer: ""Grey-Warrior @ UOJq3Aj-vs"") --",2024-04-26T16:00:31.369Z,171414723136900
"-- ending hand #21 --",2024-04-26T16:00:28.442Z,171414722844202
"""Grey-Warrior @ UOJq3Aj-vs"" collected 200 from pot",2024-04-26T16:00:28.442Z,171414722844201
"Uncalled bet of 100 returned to ""Grey-Warrior @ UOJq3Aj-vs""",2024-04-26T16:00:28.442Z,171414722844200
"""Shebso @ JMFjnTccoJ"" folds",2024-04-26T16:00:27.596Z,171414722759600
"""Grey-Warrior @ UOJq3Aj-vs"" bets 100",2024-04-26T16:00:25.899Z,171414722589900
"Flop:  [9♦, K♦, 10♠]",2024-04-26T16:00:23.430Z,171414722343000
"""Grey-Warrior @ UOJq3Aj-vs"" checks",2024-04-26T16:00:22.567Z,171414722256700
"""Shebso @ JMFjnTccoJ"" calls 100",2024-04-26T16:00:20.505Z,171414722050500
"""Grey-Warrior @ UOJq3Aj-vs"" posts a big blind of 100",2024-04-26T16:00:18.661Z,171414721866106
"""Shebso @ JMFjnTccoJ"" posts a small blind of 50",2024-04-26T16:00:18.661Z,171414721866105
"Player stacks: #1 ""Shebso @ JMFjnTccoJ"" (4120) | #4 ""Grey-Warrior @ UOJq3Aj-vs"" (2950)",2024-04-26T16:00:18.661Z,171414721866102
"-- starting hand #21 (id: othww8jcpbfe)  (No Limit Texas Hold'em) (dealer: ""Shebso @ JMFjnTccoJ"") --",2024-04-26T16:00:18.661Z,171414721866101
"The player ""popup @ Nb2llsHGSC"" quits the game with a stack of 0.",2024-04-26T16:00:18.661Z,171414721866100
"-- ending hand #20 --",2024-04-26T16:00:12.629Z,171414721262901
"""Shebso @ JMFjnTccoJ"" collected 3200 from pot with Pair, 3's (combination: 3♥, 3♣, A♠, K♣, Q♠)",2024-04-26T16:00:12.629Z,171414721262900
"River: Q♠, 3♥, 4♠, 3♣ [2♣]",2024-04-26T16:00:08.617Z,171414720861700
"Turn: Q♠, 3♥, 4♠ [3♣]",2024-04-26T16:00:04.560Z,171414720456000
"Flop:  [Q♠, 3♥, 4♠]",2024-04-26T16:00:00.510Z,171414720051000
"""popup @ Nb2llsHGSC"" shows a 9♥, K♥.",2024-04-26T15:59:56.506Z,171414719650602
"""Shebso @ JMFjnTccoJ"" shows a A♠, K♣.",2024-04-26T15:59:56.506Z,171414719650601
"Uncalled bet of 920 returned to ""Shebso @ JMFjnTccoJ""",2024-04-26T15:59:56.506Z,171414719650600
"""popup @ Nb2llsHGSC"" calls 1550 and go all in",2024-04-26T15:59:55.680Z,171414719568000
"""Grey-Warrior @ UOJq3Aj-vs"" folds",2024-04-26T15:59:52.621Z,171414719262100
"""Shebso @ JMFjnTccoJ"" raises to 2470 and go all in",2024-04-26T15:59:51.662Z,171414719166200
"""popup @ Nb2llsHGSC"" raises to 300",2024-04-26T15:59:47.477Z,171414718747700
"""Grey-Warrior @ UOJq3Aj-vs"" posts a big blind of 100",2024-04-26T15:59:40.890Z,171414718089006
