entry,at,order
"The player ""WREm @ hF5ncc29ai"" quits the game with a stack of 8000.",2024-04-26T20:02:02.982Z,171416172298200
"The player ""Pinnochio @ TwP4kVW77g"" quits the game with a stack of 0.",2024-04-26T19:56:39.615Z,171416139961500
"-- ending hand #47 --",2024-04-26T19:56:33.598Z,171416139359801
"""WREm @ hF5ncc29ai"" collected 80 from pot with Two Pair, 9's & 7's (combination: 9♦, 9♥, 7♣, 7♦, A♣)",2024-04-26T19:56:33.598Z,171416139359800
"River: 9♦, 9♥, 10♣, A♣ [7♦]",2024-04-26T19:56:29.596Z,171416138959600
"Turn: 9♦, 9♥, 10♣ [A♣]",2024-04-26T19:56:25.570Z,171416138557000
"Flop:  [9♦, 9♥, 10♣]",2024-04-26T19:56:21.565Z,171416138156500
"""WREm @ hF5ncc29ai"" shows a 4♥, 7♣.",2024-04-26T19:56:17.552Z,171416137755202
"""Pinnochio @ TwP4kVW77g"" shows a 3♠, 5♣.",2024-04-26T19:56:17.552Z,171416137755201
"Uncalled bet of 60 returned to ""WREm @ hF5ncc29ai""",2024-04-26T19:56:17.552Z,171416137755200
"""Pinnochio @ TwP4kVW77g"" posts a big blind of 40 and go all in ",2024-04-26T19:56:16.706Z,171416137670605
"""WREm @ hF5ncc29ai"" posts a small blind of 100",2024-04-26T19:56:16.706Z,171416137670604
"Player stacks: #2 ""Pinnochio @ TwP4kVW77g"" (40) | #3 ""WREm @ hF5ncc29ai"" (7960)",2024-04-26T19:56:16.706Z,171416137670601
"-- starting hand #47 (id: cgzhoquho1pj)  (No Limit Texas Hold'em) (dealer: ""WREm @ hF5ncc29ai"") --",2024-04-26T19:56:16.706Z,171416137670600
"-- ending hand #46 --",2024-04-26T19:56:13.784Z,171416137378402
"""WREm @ hF5ncc29ai"" collected 200 from pot",2024-04-26T19:56:13.784Z,171416137378401
"Uncalled bet of 100 returned to ""WREm @ hF5ncc29ai""",2024-04-26T19:56:13.784Z,171416137378400
"""Pinnochio @ TwP4kVW77g"" folds",2024-04-26T19:56:12.948Z,171416137294807
