entry,at,order
"The player ""PokerLobo @ Hk6Ia_x0Hn"" quits the game with a stack of 8000.",2024-04-06T02:21:06.723Z,171237006672300
"The player ""Jimmtrause @ TSkBBkPt_L"" quits the game with a stack of 0.",2024-04-06T02:15:06.620Z,171236970662000
"-- ending hand #23 --",2024-04-06T02:15:00.597Z,171236970059701
"""PokerLobo @ Hk6Ia_x0Hn"" collected 1790 from pot with Pair, 3's (combination: 3♦, 3♥, A♥, K♠, J♣)",2024-04-06T02:15:00.597Z,171236970059700
"River: 5♦, K♠, J♣, 8♦ [3♥]",2024-04-06T02:14:56.585Z,171236969658500
"Turn: 5♦, K♠, J♣ [8♦]",2024-04-06T02:14:52.532Z,171236969253200
"Flop:  [5♦, K♠, J♣]",2024-04-06T02:14:48.520Z,171236968852000
"""Jimmtrause @ TSkBBkPt_L"" shows a 10♠, 6♣.",2024-04-06T02:14:44.513Z,171236968451301
"""PokerLobo @ Hk6Ia_x0Hn"" shows a A♥, 3♦.",2024-04-06T02:14:44.513Z,171236968451300
"""PokerLobo @ Hk6Ia_x0Hn"" calls 895",2024-04-06T02:14:43.709Z,171236968370900
"""Jimmtrause @ TSkBBkPt_L"" raises to 895 and go all in",2024-04-06T02:14:42.570Z,171236968257000
"""PokerLobo @ Hk6Ia_x0Hn"" posts a big blind of 100",2024-04-06T02:14:40.120Z,171236968012005
"""Jimmtrause @ TSkBBkPt_L"" posts a small blind of 50",2024-04-06T02:14:40.120Z,171236968012004
"Player stacks: #1 ""PokerLobo @ Hk6Ia_x0Hn"" (7105) | #2 ""Jimmtrause @ TSkBBkPt_L"" (895)",2024-04-06T02:14:40.120Z,171236968012001
"-- starting hand #23 (id: k7e5imeuaojq)  (No Limit Texas Hold'em) (dealer: ""Jimmtrause @ TSkBBkPt_L"") --",2024-04-06T02:14:40.120Z,171236968012000
"-- ending hand #22 --",2024-04-06T02:14:37.210Z,171236967721002
"""Jimmtrause @ TSkBBkPt_L"" collected 200 from pot",2024-04-06T02:14:37.210Z,171236967721001
"Uncalled bet of 695 returned to ""Jimmtrause @ TSkBBkPt_L""",2024-04-06T02:14:37.210Z,171236967721000
"""PokerLobo @ Hk6Ia_x0Hn"" folds",2024-04-06T02:14:36.348Z,171236967634800
"""Jimmtrause @ TSkBBkPt_L"" raises to 795 and go all in",2024-04-06T02:14:34.355Z,171236967435500
"""PokerLobo @ Hk6Ia_x0Hn"" calls 100",2024-04-06T02:14:31.554Z,171236967155400
"""Jimmtrause @ TSkBBkPt_L"" posts a big blind of 100",2024-04-06T02:14:29.430Z,171236966943006
"""PokerLobo @ Hk6Ia_x0Hn"" posts a small blind of 50",2024-04-06T02:14:29.430Z,171236966943005
"Player stacks: #1 ""PokerLobo @ Hk6Ia_x0Hn"" (7205) | #2 ""Jimmtrause @ TSkBBkPt_L"" (795)",2024-04-06T02:14:29.430Z,171236966943002
"-- starting hand #22 (id: pdfmhpoycccr)  (No Limit Texas Hold'em) (dealer: ""PokerLobo @ Hk6Ia_x0Hn"") --",2024-04-06T02:14:29.430Z,171236966943001
"The player ""Treex3 @ RUAAWMPzDZ"" quits the game with a stack of 0.",2024-04-06T02:14:29.430Z,171236966943000
"-- ending hand #21 --",2024-04-06T02:14:23.421Z,171236966342101
"""PokerLobo @ Hk6Ia_x0Hn"" collected 6200 from pot with Pair, J's (combination: J♣, J♥, 10♠, 8♦, 7♣)",2024-04-06T02:14:23.421Z,171236966342100
"River: J♥, 10♠, 8♦, 4♥ [3♥]",2024-04-06T02:14:19.417Z,171236965941700
"""Treex3 @ RUAAWMPzDZ"" shows a 6♠, 6♦.",2024-04-06T02:14:15.408Z,171236965540801
"""PokerLobo @ Hk6Ia_x0Hn"" shows a 7♣, J♣.",2024-04-06T02:14:15.408Z,171236965540800
"""Treex3 @ RUAAWMPzDZ"" calls 2050 and go all in",2024-04-06T02:14:14.591Z,171236965459100
"""PokerLobo @ Hk6Ia_x0Hn"" bets 2050",2024-04-06T02:14:11.739Z,171236965173900
"Turn: J♥, 10♠, 8♦ [4♥]",2024-04-06T02:14:09.001Z,171236964900100
"""Treex3 @ RUAAWMPzDZ"" calls 700",2024-04-06T02:14:08.173Z,171236964817300
"""PokerLobo @ Hk6Ia_x0Hn"" bets 700",2024-04-06T02:14:06.607Z,171236964660700
"Flop:  [J♥, 10♠, 8♦]",2024-04-06T02:14:01.831Z,171236964183100
"""Treex3 @ RUAAWMPzDZ"" calls 300",2024-04-06T02:14:01.013Z,171236964101300
"""Jimmtrause @ TSkBBkPt_L"" folds",2024-04-06T02:14:00.120Z,171236964012000
"""PokerLobo @ Hk6Ia_x0Hn"" raises to 300",2024-04-06T02:13:52.329Z,171236963232900
"""Treex3 @ RUAAWMPzDZ"" calls 100",2024-04-06T02:13:47.628Z,171236962762800
"""Jimmtrause @ TSkBBkPt_L"" posts a big blind of 100",2024-04-06T02:13:45.668Z,171236962566806
"""PokerLobo @ Hk6Ia_x0Hn"" posts a small blind of 50",2024-04-06T02:13:45.668Z,171236962566805
"Player stacks: #1 ""PokerLobo @ Hk6Ia_x0Hn"" (4055) | #2 ""Jimmtrause @ TSkBBkPt_L"" (895) | #6 ""Treex3 @ RUAAWMPzDZ"" (3050)",2024-04-06T02:13:45.668Z,171236962566801
"-- starting hand #21 (id: i6xy32th7bhf)  (No Limit Texas Hold'em) (dealer: ""Treex3 @ RUAAWMPzDZ"") --",2024-04-06T02:13:45.668Z,171236962566800
"-- ending hand #20 --",2024-04-06T02:13:42.723Z,171236962272302
"""Treex3 @ RUAAWMPzDZ"" collected 300 from pot",2024-04-06T02:13:42.723Z,171236962272301
"Uncalled bet of 100 returned to ""Treex3 @ RUAAWMPzDZ""",2024-04-06T02:13:42.723Z,171236962272300
"""Jimmtrause @ TSkBBkPt_L"" folds",2024-04-06T02:13:41.878Z,171236962187800
"""PokerLobo @ Hk6Ia_x0Hn"" folds",2024-04-06T02:13:30.314Z,171236961031400
"""Treex3 @ RUAAWMPzDZ"" bets 100",2024-04-06T02:13:28.902Z,171236960890200
"Flop:  [2♥, J♣, 4♥]",2024-04-06T02:13:25.456Z,171236960545600
"""PokerLobo @ Hk6Ia_x0Hn"" checks",2024-04-06T02:13:24.604Z,171236960460400
"""Treex3 @ RUAAWMPzDZ"" calls 100",2024-04-06T02:13:22.741Z,171236960274100
"""Jimmtrause @ TSkBBkPt_L"" calls 100",2024-04-06T02:13:20.528Z,171236960052800
"""PokerLobo @ Hk6Ia_x0Hn"" posts a big blind of 100",2024-04-06T02:13:18.750Z,171236959875008
"""Treex3 @ RUAAWMPzDZ"" posts a small blind of 50",2024-04-06T02:13:18.750Z,171236959875007
