entry,at,order
"The player ""JustinS @ 1VDWHDzw9I"" quits the game with a stack of 8000.",2024-04-26T16:44:01.528Z,171414984152800
"The player ""MrGr33n47 @ KS7pVEV73O"" quits the game with a stack of 0.",2024-04-26T16:38:19.599Z,171414949959900
"-- ending hand #53 --",2024-04-26T16:38:13.589Z,171414949358901
"""JustinS @ 1VDWHDzw9I"" collected 6908 from pot with Straight, A High (combination: A♥, K♦, Q♠, J♦, 10♠)",2024-04-26T16:38:13.589Z,171414949358900
"River: A♥, K♦, 3♦, 10♠ [9♠]",2024-04-26T16:38:09.531Z,171414948953100
"Turn: A♥, K♦, 3♦ [10♠]",2024-04-26T16:38:05.458Z,171414948545800
"Flop:  [A♥, K♦, 3♦]",2024-04-26T16:38:01.448Z,171414948144800
"""MrGr33n47 @ KS7pVEV73O"" shows a 10♦, K♠.",2024-04-26T16:37:57.429Z,171414947742901
"""JustinS @ 1VDWHDzw9I"" shows a J♦, Q♠.",2024-04-26T16:37:57.429Z,171414947742900
"""MrGr33n47 @ KS7pVEV73O"" calls 3454 and go all in",2024-04-26T16:37:56.616Z,171414947661600
"""JustinS @ 1VDWHDzw9I"" raises to 3454",2024-04-26T16:37:54.424Z,171414947442400
"""MrGr33n47 @ KS7pVEV73O"" raises to 2500",2024-04-26T16:37:52.059Z,171414947205900
"""JustinS @ 1VDWHDzw9I"" raises to 1500",2024-04-26T16:37:41.087Z,171414946108700
"""MrGr33n47 @ KS7pVEV73O"" calls 500",2024-04-26T16:37:38.407Z,171414945840700
"""JustinS @ 1VDWHDzw9I"" posts a big blind of 500",2024-04-26T16:37:33.157Z,171414945315706
"""MrGr33n47 @ KS7pVEV73O"" posts a small blind of 250",2024-04-26T16:37:33.157Z,171414945315705
"Player stacks: #2 ""JustinS @ 1VDWHDzw9I"" (4546) | #5 ""MrGr33n47 @ KS7pVEV73O"" (3454)",2024-04-26T16:37:33.157Z,171414945315702
"-- starting hand #53 (id: mfo4egummxph)  (No Limit Texas Hold'em) (dealer: ""MrGr33n47 @ KS7pVEV73O"") --",2024-04-26T16:37:33.157Z,171414945315701
"The player ""Icelandic.eth @ UCJgphn1ps"" quits the game with a stack of 0.",2024-04-26T16:37:33.157Z,171414945315700
"""JustinS @ 1VDWHDzw9I"" shows a 10♦, 9♣.",2024-04-26T16:37:27.663Z,171414944766300
"-- ending hand #52 --",2024-04-26T16:37:26.642Z,171414944664201
"""MrGr33n47 @ KS7pVEV73O"" collected 120 from pot with Pair, 5's (combination: 5♦, 5♠, J♣, 8♠, 7♥)",2024-04-26T16:37:26.642Z,171414944664200
"River: J♣, 8♠, 5♠, 3♠ [7♥]",2024-04-26T16:37:22.598Z,171414944259800
"Turn: J♣, 8♠, 5♠ [3♠]",2024-04-26T16:37:18.574Z,171414943857400
"Flop:  [J♣, 8♠, 5♠]",2024-04-26T16:37:14.569Z,171414943456900
"""Icelandic.eth @ UCJgphn1ps"" shows a A♠, 6♦.",2024-04-26T16:37:10.523Z,171414943052302
"""MrGr33n47 @ KS7pVEV73O"" shows a 6♥, 5♦.",2024-04-26T16:37:10.523Z,171414943052301
"Uncalled bet of 190 returned to ""MrGr33n47 @ KS7pVEV73O""",2024-04-26T16:37:10.523Z,171414943052300
"""JustinS @ 1VDWHDzw9I"" folds",2024-04-26T16:37:09.713Z,171414942971300
"""Icelandic.eth @ UCJgphn1ps"" posts a big blind of 60 and go all in ",2024-04-26T16:37:07.442Z,171414942744206
"""MrGr33n47 @ KS7pVEV73O"" posts a small blind of 250",2024-04-26T16:37:07.442Z,171414942744205
"Player stacks: #2 ""JustinS @ 1VDWHDzw9I"" (4546) | #5 ""MrGr33n47 @ KS7pVEV73O"" (3394) | #6 ""Icelandic.eth @ UCJgphn1ps"" (60)",2024-04-26T16:37:07.442Z,171414942744201
"-- starting hand #52 (id: 75ljz5fvki9d)  (No Limit Texas Hold'em) (dealer: ""JustinS @ 1VDWHDzw9I"") --",2024-04-26T16:37:07.442Z,171414942744200
"""JustinS @ 1VDWHDzw9I"" shows a 2♥, 6♥.",2024-04-26T16:37:01.850Z,171414942185000
"-- ending hand #51 --",2024-04-26T16:37:00.933Z,171414942093301
"""MrGr33n47 @ KS7pVEV73O"" collected 3394 from pot with Two Pair, A's & 10's (combination: A♦, A♥, 10♠, 10♦, 5♣)",2024-04-26T16:37:00.933Z,171414942093300
"River: A♥, 4♦, 10♦, 5♣ [3♣]",2024-04-26T16:36:56.914Z,171414941691400
"Turn: A♥, 4♦, 10♦ [5♣]",2024-04-26T16:36:52.903Z,171414941290300
"""Icelandic.eth @ UCJgphn1ps"" shows a 9♠, 9♦.",2024-04-26T16:36:48.898Z,171414940889801
"""MrGr33n47 @ KS7pVEV73O"" shows a A♦, 10♠.",2024-04-26T16:36:48.898Z,171414940889800
"""Icelandic.eth @ UCJgphn1ps"" calls 447",2024-04-26T16:36:48.051Z,171414940805100
"""MrGr33n47 @ KS7pVEV73O"" bets 447 and go all in",2024-04-26T16:36:45.578Z,171414940557800
"Flop:  [A♥, 4♦, 10♦]",2024-04-26T16:36:39.420Z,171414939942000
"""MrGr33n47 @ KS7pVEV73O"" calls 1125",2024-04-26T16:36:38.600Z,171414939860000
"""JustinS @ 1VDWHDzw9I"" folds",2024-04-26T16:36:37.252Z,171414939725200
"""Icelandic.eth @ UCJgphn1ps"" raises to 1125",2024-04-26T16:36:35.611Z,171414939561100
"""MrGr33n47 @ KS7pVEV73O"" posts a big blind of 500",2024-04-26T16:36:25.409Z,171414938540908
"""JustinS @ 1VDWHDzw9I"" posts a small blind of 250",2024-04-26T16:36:25.409Z,171414938540907
"Player stacks: #2 ""JustinS @ 1VDWHDzw9I"" (4796) | #5 ""MrGr33n47 @ KS7pVEV73O"" (1572) | #6 ""Icelandic.eth @ UCJgphn1ps"" (1632)",2024-04-26T16:36:25.409Z,171414938540903
"-- starting hand #51 (id: yzlwphxaoqny)  (No Limit Texas Hold'em) (dealer: ""Icelandic.eth @ UCJgphn1ps"") --",2024-04-26T16:36:25.409Z,171414938540902
"The game's big blind was changed from 300 to 500.",2024-04-26T16:36:25.409Z,171414938540901
"The game's small blind was changed from 150 to 250.",2024-04-26T16:36:25.409Z,171414938540900
"-- ending hand #50 --",2024-04-26T16:36:19.406Z,171414937940601
"""Icelandic.eth @ UCJgphn1ps"" collected 1632 from pot with Two Pair, 8's & 5's (combination: 8♦, 8♣, 5♦, 5♣, A♥)",2024-04-26T16:36:19.406Z,171414937940600
"River: K♠, A♥, J♠, 8♣ [5♣]",2024-04-26T16:36:15.403Z,171414937540300
"Turn: K♠, A♥, J♠ [8♣]",2024-04-26T16:36:11.392Z,171414937139200
"""Icelandic.eth @ UCJgphn1ps"" shows a 5♦, 8♦.",2024-04-26T16:36:07.383Z,171414936738301
"""JustinS @ 1VDWHDzw9I"" shows a A♠, 4♣.",2024-04-26T16:36:07.383Z,171414936738300
"""JustinS @ 1VDWHDzw9I"" calls 516",2024-04-26T16:36:06.515Z,171414936651500
"""Icelandic.eth @ UCJgphn1ps"" raises to 516 and go all in",2024-04-26T16:36:03.667Z,171414936366700
"""JustinS @ 1VDWHDzw9I"" bets 300",2024-04-26T16:35:58.657Z,171414935865700
"""Icelandic.eth @ UCJgphn1ps"" checks",2024-04-26T16:35:57.186Z,171414935718600
"Flop:  [K♠, A♥, J♠]",2024-04-26T16:35:54.471Z,171414935447100
"""JustinS @ 1VDWHDzw9I"" checks",2024-04-26T16:35:53.587Z,171414935358700
"""Icelandic.eth @ UCJgphn1ps"" calls 300",2024-04-26T16:35:52.711Z,171414935271100
"""MrGr33n47 @ KS7pVEV73O"" folds",2024-04-26T16:35:48.630Z,171414934863000
"""JustinS @ 1VDWHDzw9I"" posts a big blind of 300",2024-04-26T16:35:40.681Z,171414934068106
"""Icelandic.eth @ UCJgphn1ps"" posts a small blind of 150",2024-04-26T16:35:40.681Z,171414934068105
"Player stacks: #2 ""JustinS @ 1VDWHDzw9I"" (5612) | #5 ""MrGr33n47 @ KS7pVEV73O"" (1572) | #6 ""Icelandic.eth @ UCJgphn1ps"" (816)",2024-04-26T16:35:40.681Z,171414934068101
"-- starting hand #50 (id: zwg6mepta0lr)  (No Limit Texas Hold'em) (dealer: ""MrGr33n47 @ KS7pVEV73O"") --",2024-04-26T16:35:40.681Z,171414934068100
"-- ending hand #49 --",2024-04-26T16:35:34.645Z,171414933464501
"""MrGr33n47 @ KS7pVEV73O"" collected 1572 from pot with Three of a Kind, 9's (combination: 9♣, 9♥, 9♦, A♠, K♣)",2024-04-26T16:35:34.645Z,171414933464500
"River: 5♦, 8♥, 9♥, K♣ [9♦]",2024-04-26T16:35:30.630Z,171414933063000
"Turn: 5♦, 8♥, 9♥ [K♣]",2024-04-26T16:35:26.620Z,171414932662000
"""Icelandic.eth @ UCJgphn1ps"" shows a A♣, 10♦.",2024-04-26T16:35:22.608Z,171414932260801
