entry,at,order
"The player ""waffen @ 3C6eagnXXJ"" quits the game with a stack of 0.",2024-04-25T22:30:17.908Z,171408421790800
"-- ending hand #30 --",2024-04-25T22:30:11.882Z,171408421188201
"""StevenSan4040 @ 7tC3pH5iT8"" collected 2064 from pot with Two Pair, J's & 4's (combination: J♦, J♣, 4♣, 4♦, A♥)",2024-04-25T22:30:11.882Z,171408421188200
"River: 7♦, J♣, 4♦, A♥ [5♣]",2024-04-25T22:30:07.873Z,171408420787300
"Turn: 7♦, J♣, 4♦ [A♥]",2024-04-25T22:30:03.863Z,171408420386300
"""StevenSan4040 @ 7tC3pH5iT8"" shows a J♦, 4♣.",2024-04-25T22:29:59.857Z,171408419985701
"""waffen @ 3C6eagnXXJ"" shows a 3♥, 4♥.",2024-04-25T22:29:59.857Z,171408419985700
"""waffen @ 3C6eagnXXJ"" calls 732 and go all in",2024-04-25T22:29:59.018Z,171408419901800
"""StevenSan4040 @ 7tC3pH5iT8"" raises to 732",2024-04-25T22:29:54.181Z,171408419418100
"""waffen @ 3C6eagnXXJ"" raises to 300",2024-04-25T22:29:49.612Z,171408418961200
"""StevenSan4040 @ 7tC3pH5iT8"" bets 150",2024-04-25T22:29:47.566Z,171408418756600
"Flop:  [7♦, J♣, 4♦]",2024-04-25T22:29:44.438Z,171408418443800
"""StevenSan4040 @ 7tC3pH5iT8"" calls 300",2024-04-25T22:29:43.632Z,171408418363200
"""waffen @ 3C6eagnXXJ"" raises to 300",2024-04-25T22:29:42.186Z,171408418218600
"""StevenSan4040 @ 7tC3pH5iT8"" posts a big blind of 150",2024-04-25T22:29:39.163Z,171408417916305
"""waffen @ 3C6eagnXXJ"" posts a small blind of 75",2024-04-25T22:29:39.163Z,171408417916304
"Player stacks: #2 ""waffen @ 3C6eagnXXJ"" (1032) | #8 ""StevenSan4040 @ 7tC3pH5iT8"" (5968)",2024-04-25T22:29:39.163Z,171408417916301
"-- starting hand #30 (id: fecstihsaxse)  (No Limit Texas Hold'em) (dealer: ""waffen @ 3C6eagnXXJ"") --",2024-04-25T22:29:39.163Z,171408417916300
"-- ending hand #29 --",2024-04-25T22:29:36.229Z,171408417622902
"""StevenSan4040 @ 7tC3pH5iT8"" collected 600 from pot",2024-04-25T22:29:36.229Z,171408417622901
"Uncalled bet of 300 returned to ""StevenSan4040 @ 7tC3pH5iT8""",2024-04-25T22:29:36.229Z,171408417622900
"""waffen @ 3C6eagnXXJ"" folds",2024-04-25T22:29:35.372Z,171408417537200
"""StevenSan4040 @ 7tC3pH5iT8"" bets 300",2024-04-25T22:29:33.892Z,171408417389200
"""waffen @ 3C6eagnXXJ"" checks",2024-04-25T22:29:29.458Z,171408416945800
"Turn: K♠, 6♦, 3♣ [8♣]",2024-04-25T22:29:27.621Z,171408416762100
"""StevenSan4040 @ 7tC3pH5iT8"" checks",2024-04-25T22:29:26.816Z,171408416681600
"""waffen @ 3C6eagnXXJ"" checks",2024-04-25T22:29:25.147Z,171408416514700
"Flop:  [K♠, 6♦, 3♣]",2024-04-25T22:29:23.094Z,171408416309400
"""waffen @ 3C6eagnXXJ"" calls 300",2024-04-25T22:29:22.257Z,171408416225700
"""StevenSan4040 @ 7tC3pH5iT8"" raises to 300",2024-04-25T22:29:18.651Z,171408415865100
"""waffen @ 3C6eagnXXJ"" posts a big blind of 150",2024-04-25T22:29:17.000Z,171408415700005
"""StevenSan4040 @ 7tC3pH5iT8"" posts a small blind of 75",2024-04-25T22:29:17.000Z,171408415700004
"Player stacks: #2 ""waffen @ 3C6eagnXXJ"" (1332) | #8 ""StevenSan4040 @ 7tC3pH5iT8"" (5668)",2024-04-25T22:29:17.000Z,171408415700001
"-- starting hand #29 (id: eutprvxwqyue)  (No Limit Texas Hold'em) (dealer: ""StevenSan4040 @ 7tC3pH5iT8"") --",2024-04-25T22:29:17.000Z,171408415700000
"-- ending hand #28 --",2024-04-25T22:29:14.085Z,171408415408502
"""StevenSan4040 @ 7tC3pH5iT8"" collected 900 from pot",2024-04-25T22:29:14.085Z,171408415408501
"Uncalled bet of 1332 returned to ""StevenSan4040 @ 7tC3pH5iT8""",2024-04-25T22:29:14.085Z,171408415408500
"""waffen @ 3C6eagnXXJ"" folds",2024-04-25T22:29:13.241Z,171408415324100
"""StevenSan4040 @ 7tC3pH5iT8"" raises to 1632",2024-04-25T22:29:08.282Z,171408414828200
"""waffen @ 3C6eagnXXJ"" raises to 300",2024-04-25T22:29:04.666Z,171408414466600
"""StevenSan4040 @ 7tC3pH5iT8"" bets 150",2024-04-25T22:29:02.626Z,171408414262600
"Flop:  [J♠, 9♣, 10♥]",2024-04-25T22:29:00.087Z,171408414008700
"""StevenSan4040 @ 7tC3pH5iT8"" checks",2024-04-25T22:28:59.185Z,171408413918500
"""waffen @ 3C6eagnXXJ"" calls 150",2024-04-25T22:28:57.322Z,171408413732200
"""StevenSan4040 @ 7tC3pH5iT8"" posts a big blind of 150",2024-04-25T22:28:54.943Z,171408413494305
"""waffen @ 3C6eagnXXJ"" posts a small blind of 75",2024-04-25T22:28:54.943Z,171408413494304
"Player stacks: #2 ""waffen @ 3C6eagnXXJ"" (1782) | #8 ""StevenSan4040 @ 7tC3pH5iT8"" (5218)",2024-04-25T22:28:54.943Z,171408413494301
"-- starting hand #28 (id: dlezmqaprfyd)  (No Limit Texas Hold'em) (dealer: ""waffen @ 3C6eagnXXJ"") --",2024-04-25T22:28:54.943Z,171408413494300
"-- ending hand #27 --",2024-04-25T22:28:52.016Z,171408413201602
"""waffen @ 3C6eagnXXJ"" collected 600 from pot",2024-04-25T22:28:52.016Z,171408413201601
"Uncalled bet of 618 returned to ""waffen @ 3C6eagnXXJ""",2024-04-25T22:28:52.016Z,171408413201600
"""StevenSan4040 @ 7tC3pH5iT8"" folds",2024-04-25T22:28:51.184Z,171408413118400
"""waffen @ 3C6eagnXXJ"" bets 618",2024-04-25T22:28:49.234Z,171408412923400
"River: 3♥, Q♦, 5♣, 6♣ [K♦]",2024-04-25T22:28:43.663Z,171408412366300
"""StevenSan4040 @ 7tC3pH5iT8"" checks",2024-04-25T22:28:42.853Z,171408412285300
"""waffen @ 3C6eagnXXJ"" checks",2024-04-25T22:28:41.386Z,171408412138600
"Turn: 3♥, Q♦, 5♣ [6♣]",2024-04-25T22:28:40.279Z,171408412027900
"""StevenSan4040 @ 7tC3pH5iT8"" checks",2024-04-25T22:28:39.450Z,171408411945000
"""waffen @ 3C6eagnXXJ"" checks",2024-04-25T22:28:38.195Z,171408411819500
"Flop:  [3♥, Q♦, 5♣]",2024-04-25T22:28:36.390Z,171408411639000
"""waffen @ 3C6eagnXXJ"" calls 300",2024-04-25T22:28:35.562Z,171408411556200
"""StevenSan4040 @ 7tC3pH5iT8"" raises to 300",2024-04-25T22:28:33.034Z,171408411303400
"""waffen @ 3C6eagnXXJ"" posts a big blind of 150",2024-04-25T22:28:29.582Z,171408410958205
"""StevenSan4040 @ 7tC3pH5iT8"" posts a small blind of 75",2024-04-25T22:28:29.582Z,171408410958204
"Player stacks: #2 ""waffen @ 3C6eagnXXJ"" (1482) | #8 ""StevenSan4040 @ 7tC3pH5iT8"" (5518)",2024-04-25T22:28:29.582Z,171408410958201
"-- starting hand #27 (id: rb7nqh8grr9b)  (No Limit Texas Hold'em) (dealer: ""StevenSan4040 @ 7tC3pH5iT8"") --",2024-04-25T22:28:29.582Z,171408410958200
"-- ending hand #26 --",2024-04-25T22:28:26.629Z,171408410662902
"""StevenSan4040 @ 7tC3pH5iT8"" collected 150 from pot",2024-04-25T22:28:26.629Z,171408410662901
"Uncalled bet of 75 returned to ""StevenSan4040 @ 7tC3pH5iT8""",2024-04-25T22:28:26.629Z,171408410662900
"""waffen @ 3C6eagnXXJ"" folds",2024-04-25T22:28:25.820Z,171408410582000
"""StevenSan4040 @ 7tC3pH5iT8"" posts a big blind of 150",2024-04-25T22:28:24.375Z,171408410437507
"""waffen @ 3C6eagnXXJ"" posts a small blind of 75",2024-04-25T22:28:24.375Z,171408410437506
"Player stacks: #2 ""waffen @ 3C6eagnXXJ"" (1557) | #8 ""StevenSan4040 @ 7tC3pH5iT8"" (5443)",2024-04-25T22:28:24.375Z,171408410437503
"-- starting hand #26 (id: c5opfqp6s9rz)  (No Limit Texas Hold'em) (dealer: ""waffen @ 3C6eagnXXJ"") --",2024-04-25T22:28:24.375Z,171408410437502
"The game's big blind was changed from 100 to 150.",2024-04-25T22:28:24.375Z,171408410437501
"The game's small blind was changed from 50 to 75.",2024-04-25T22:28:24.375Z,171408410437500
"-- ending hand #25 --",2024-04-25T22:28:21.422Z,171408410142202
"""StevenSan4040 @ 7tC3pH5iT8"" collected 600 from pot",2024-04-25T22:28:21.422Z,171408410142201
"Uncalled bet of 500 returned to ""StevenSan4040 @ 7tC3pH5iT8""",2024-04-25T22:28:21.422Z,171408410142200
"""waffen @ 3C6eagnXXJ"" folds",2024-04-25T22:28:20.581Z,171408410058100
"""StevenSan4040 @ 7tC3pH5iT8"" bets 500",2024-04-25T22:28:16.703Z,171408409670300
"""waffen @ 3C6eagnXXJ"" checks",2024-04-25T22:28:10.291Z,171408409029100
"River: 9♠, 8♠, 5♥, J♠ [9♦]",2024-04-25T22:28:08.765Z,171408408876500
"""waffen @ 3C6eagnXXJ"" calls 200",2024-04-25T22:28:07.947Z,171408408794700
"""StevenSan4040 @ 7tC3pH5iT8"" raises to 200",2024-04-25T22:28:04.815Z,171408408481500
"""waffen @ 3C6eagnXXJ"" bets 100",2024-04-25T22:28:01.548Z,171408408154800
"Turn: 9♠, 8♠, 5♥ [J♠]",2024-04-25T22:27:59.347Z,171408407934700
"""StevenSan4040 @ 7tC3pH5iT8"" checks",2024-04-25T22:27:58.514Z,171408407851400
"""waffen @ 3C6eagnXXJ"" checks",2024-04-25T22:27:56.540Z,171408407654000
"Flop:  [9♠, 8♠, 5♥]",2024-04-25T22:27:54.456Z,171408407445600
"""waffen @ 3C6eagnXXJ"" checks",2024-04-25T22:27:53.621Z,171408407362100
"""StevenSan4040 @ 7tC3pH5iT8"" calls 100",2024-04-25T22:27:51.624Z,171408407162400
"""waffen @ 3C6eagnXXJ"" posts a big blind of 100",2024-04-25T22:27:48.060Z,171408406806005
"""StevenSan4040 @ 7tC3pH5iT8"" posts a small blind of 50",2024-04-25T22:27:48.060Z,171408406806004
"Player stacks: #2 ""waffen @ 3C6eagnXXJ"" (1857) | #8 ""StevenSan4040 @ 7tC3pH5iT8"" (5143)",2024-04-25T22:27:48.060Z,171408406806001
"-- starting hand #25 (id: o4stzfero6s7)  (No Limit Texas Hold'em) (dealer: ""StevenSan4040 @ 7tC3pH5iT8"") --",2024-04-25T22:27:48.060Z,171408406806000
"-- ending hand #24 --",2024-04-25T22:27:45.043Z,171408406504302
"""waffen @ 3C6eagnXXJ"" collected 862 from pot",2024-04-25T22:27:45.043Z,171408406504301
"Uncalled bet of 995 returned to ""waffen @ 3C6eagnXXJ""",2024-04-25T22:27:45.043Z,171408406504300
"""StevenSan4040 @ 7tC3pH5iT8"" folds",2024-04-25T22:27:44.168Z,171408406416800
"""waffen @ 3C6eagnXXJ"" bets 995 and go all in",2024-04-25T22:27:42.691Z,171408406269100
"""StevenSan4040 @ 7tC3pH5iT8"" checks",2024-04-25T22:27:39.719Z,171408405971900
"River: 5♠, 8♥, Q♦, 3♦ [K♠]",2024-04-25T22:27:37.686Z,171408405768600
"""StevenSan4040 @ 7tC3pH5iT8"" calls 231",2024-04-25T22:27:36.876Z,171408405687600
"""waffen @ 3C6eagnXXJ"" bets 231",2024-04-25T22:27:35.268Z,171408405526800
"""StevenSan4040 @ 7tC3pH5iT8"" checks",2024-04-25T22:27:31.418Z,171408405141800
"Turn: 5♠, 8♥, Q♦ [3♦]",2024-04-25T22:27:29.716Z,171408404971600
"""waffen @ 3C6eagnXXJ"" checks",2024-04-25T22:27:28.895Z,171408404889500
"""StevenSan4040 @ 7tC3pH5iT8"" checks",2024-04-25T22:27:27.472Z,171408404747200
"Flop:  [5♠, 8♥, Q♦]",2024-04-25T22:27:24.864Z,171408404486400
"""StevenSan4040 @ 7tC3pH5iT8"" calls 200",2024-04-25T22:27:24.019Z,171408404401900
"""waffen @ 3C6eagnXXJ"" raises to 200",2024-04-25T22:27:20.812Z,171408404081200
"""StevenSan4040 @ 7tC3pH5iT8"" posts a big blind of 100",2024-04-25T22:27:18.312Z,171408403831205
