entry,at,order
"The player ""Hippo_Crit @ TXughv9_52"" quits the game with a stack of 7000.",2024-04-17T20:08:41.089Z,171338452108900
"The player ""RoyalFlushGang @ -ZsNUEThlr"" quits the game with a stack of 0.",2024-04-17T20:02:51.102Z,171338417110200
"-- ending hand #55 --",2024-04-17T20:02:45.072Z,171338416507201
"""Hippo_Crit @ TXughv9_52"" collected 6430 from pot with Pair, 6's (combination: 6♠, 6♦, Q♦, 9♣, 8♣)",2024-04-17T20:02:45.072Z,171338416507200
"River: 5♣, 8♣, Q♦, 9♣ [2♥]",2024-04-17T20:02:41.048Z,171338416104800
"Turn: 5♣, 8♣, Q♦ [9♣]",2024-04-17T20:02:37.009Z,171338415700900
"""Hippo_Crit @ TXughv9_52"" shows a 6♠, 6♦.",2024-04-17T20:02:32.948Z,171338415294801
"""RoyalFlushGang @ -ZsNUEThlr"" shows a K♥, A♥.",2024-04-17T20:02:32.948Z,171338415294800
"""RoyalFlushGang @ -ZsNUEThlr"" calls 2465 and go all in",2024-04-17T20:02:32.114Z,171338415211400
"""Hippo_Crit @ TXughv9_52"" bets 2465",2024-04-17T20:02:30.411Z,171338415041100
"""RoyalFlushGang @ -ZsNUEThlr"" checks",2024-04-17T20:02:28.348Z,171338414834800
"Flop:  [5♣, 8♣, Q♦]",2024-04-17T20:02:27.210Z,171338414721000
"""Hippo_Crit @ TXughv9_52"" calls 750",2024-04-17T20:02:26.381Z,171338414638100
"""RoyalFlushGang @ -ZsNUEThlr"" raises to 750",2024-04-17T20:02:25.258Z,171338414525800
"""Hippo_Crit @ TXughv9_52"" raises to 450",2024-04-17T20:02:22.995Z,171338414299500
"""RoyalFlushGang @ -ZsNUEThlr"" posts a big blind of 150",2024-04-17T20:02:18.919Z,171338413891905
"""Hippo_Crit @ TXughv9_52"" posts a small blind of 75",2024-04-17T20:02:18.919Z,171338413891904
"Player stacks: #4 ""RoyalFlushGang @ -ZsNUEThlr"" (3215) | #7 ""Hippo_Crit @ TXughv9_52"" (3785)",2024-04-17T20:02:18.919Z,171338413891901
"-- starting hand #55 (id: kmn05g4mlr0v)  (No Limit Texas Hold'em) (dealer: ""Hippo_Crit @ TXughv9_52"") --",2024-04-17T20:02:18.919Z,171338413891900
"-- ending hand #54 --",2024-04-17T20:02:15.970Z,171338413597002
"""RoyalFlushGang @ -ZsNUEThlr"" collected 300 from pot",2024-04-17T20:02:15.970Z,171338413597001
"Uncalled bet of 300 returned to ""RoyalFlushGang @ -ZsNUEThlr""",2024-04-17T20:02:15.970Z,171338413597000
"""Hippo_Crit @ TXughv9_52"" folds",2024-04-17T20:02:15.137Z,171338413513700
"""RoyalFlushGang @ -ZsNUEThlr"" bets 300",2024-04-17T20:02:14.279Z,171338413427900
"""Hippo_Crit @ TXughv9_52"" checks",2024-04-17T20:02:09.634Z,171338412963400
"River: 6♦, 6♠, A♣, Q♥ [3♠]",2024-04-17T20:02:08.931Z,171338412893100
"""RoyalFlushGang @ -ZsNUEThlr"" checks",2024-04-17T20:02:08.126Z,171338412812600
"""Hippo_Crit @ TXughv9_52"" checks",2024-04-17T20:02:07.016Z,171338412701600
"Turn: 6♦, 6♠, A♣ [Q♥]",2024-04-17T20:02:06.411Z,171338412641100
"""RoyalFlushGang @ -ZsNUEThlr"" checks",2024-04-17T20:02:05.568Z,171338412556800
"""Hippo_Crit @ TXughv9_52"" checks",2024-04-17T20:02:03.950Z,171338412395000
"Flop:  [6♦, 6♠, A♣]",2024-04-17T20:02:02.547Z,171338412254700
"""Hippo_Crit @ TXughv9_52"" checks",2024-04-17T20:02:01.722Z,171338412172200
"""RoyalFlushGang @ -ZsNUEThlr"" calls 150",2024-04-17T20:02:00.844Z,171338412084400
"""Hippo_Crit @ TXughv9_52"" posts a big blind of 150",2024-04-17T20:01:57.997Z,171338411799705
"""RoyalFlushGang @ -ZsNUEThlr"" posts a small blind of 75",2024-04-17T20:01:57.997Z,171338411799704
"Player stacks: #4 ""RoyalFlushGang @ -ZsNUEThlr"" (3065) | #7 ""Hippo_Crit @ TXughv9_52"" (3935)",2024-04-17T20:01:57.997Z,171338411799701
"-- starting hand #54 (id: kfiupobvuczk)  (No Limit Texas Hold'em) (dealer: ""RoyalFlushGang @ -ZsNUEThlr"") --",2024-04-17T20:01:57.997Z,171338411799700
"-- ending hand #53 --",2024-04-17T20:01:55.063Z,171338411506302
"""RoyalFlushGang @ -ZsNUEThlr"" collected 900 from pot",2024-04-17T20:01:55.063Z,171338411506301
"Uncalled bet of 2165 returned to ""RoyalFlushGang @ -ZsNUEThlr""",2024-04-17T20:01:55.063Z,171338411506300
"""Hippo_Crit @ TXughv9_52"" folds",2024-04-17T20:01:54.207Z,171338411420700
"""RoyalFlushGang @ -ZsNUEThlr"" raises to 2615 and go all in",2024-04-17T20:01:51.991Z,171338411199100
"""Hippo_Crit @ TXughv9_52"" raises to 450",2024-04-17T20:01:48.855Z,171338410885500
"""RoyalFlushGang @ -ZsNUEThlr"" posts a big blind of 150",2024-04-17T20:01:46.394Z,171338410639405
"""Hippo_Crit @ TXughv9_52"" posts a small blind of 75",2024-04-17T20:01:46.394Z,171338410639404
"Player stacks: #4 ""RoyalFlushGang @ -ZsNUEThlr"" (2615) | #7 ""Hippo_Crit @ TXughv9_52"" (4385)",2024-04-17T20:01:46.394Z,171338410639401
"-- starting hand #53 (id: 8zguhrgocxsb)  (No Limit Texas Hold'em) (dealer: ""Hippo_Crit @ TXughv9_52"") --",2024-04-17T20:01:46.394Z,171338410639400
"-- ending hand #52 --",2024-04-17T20:01:40.390Z,171338410039004
"""Hippo_Crit @ TXughv9_52"" collected 2615 from pot with Straight, Q High (combination: Q♥, J♥, 10♠, 9♠, 8♦)",2024-04-17T20:01:40.390Z,171338410039003
"""Hippo_Crit @ TXughv9_52"" shows a 6♠, Q♥.",2024-04-17T20:01:40.390Z,171338410039002
"""RoyalFlushGang @ -ZsNUEThlr"" collected 2615 from pot with Straight, Q High (combination: Q♠, J♥, 10♠, 9♠, 8♦)",2024-04-17T20:01:40.390Z,171338410039001
"""RoyalFlushGang @ -ZsNUEThlr"" shows a 3♦, Q♠.",2024-04-17T20:01:40.390Z,171338410039000
"""RoyalFlushGang @ -ZsNUEThlr"" calls 2465 and go all in",2024-04-17T20:01:39.565Z,171338409956500
"""Hippo_Crit @ TXughv9_52"" raises to 2465",2024-04-17T20:01:38.616Z,171338409861600
"""RoyalFlushGang @ -ZsNUEThlr"" raises to 600",2024-04-17T20:01:36.322Z,171338409632200
"""Hippo_Crit @ TXughv9_52"" bets 300",2024-04-17T20:01:34.592Z,171338409459200
"River: 2♣, 8♦, 9♠, 10♠ [J♥]",2024-04-17T20:01:32.411Z,171338409241100
"""RoyalFlushGang @ -ZsNUEThlr"" checks",2024-04-17T20:01:31.587Z,171338409158700
"""Hippo_Crit @ TXughv9_52"" checks",2024-04-17T20:01:30.419Z,171338409041900
"Turn: 2♣, 8♦, 9♠ [10♠]",2024-04-17T20:01:29.909Z,171338408990900
"""RoyalFlushGang @ -ZsNUEThlr"" checks",2024-04-17T20:01:29.083Z,171338408908300
"""Hippo_Crit @ TXughv9_52"" checks",2024-04-17T20:01:27.769Z,171338408776900
"Flop:  [2♣, 8♦, 9♠]",2024-04-17T20:01:25.960Z,171338408596000
"""Hippo_Crit @ TXughv9_52"" checks",2024-04-17T20:01:25.155Z,171338408515500
"""RoyalFlushGang @ -ZsNUEThlr"" calls 150",2024-04-17T20:01:23.720Z,171338408372000
"""Hippo_Crit @ TXughv9_52"" posts a big blind of 150",2024-04-17T20:01:21.698Z,171338408169805
"""RoyalFlushGang @ -ZsNUEThlr"" posts a small blind of 75",2024-04-17T20:01:21.698Z,171338408169804
"Player stacks: #4 ""RoyalFlushGang @ -ZsNUEThlr"" (2615) | #7 ""Hippo_Crit @ TXughv9_52"" (4385)",2024-04-17T20:01:21.698Z,171338408169801
"-- starting hand #52 (id: dmc8jiqzjflu)  (No Limit Texas Hold'em) (dealer: ""RoyalFlushGang @ -ZsNUEThlr"") --",2024-04-17T20:01:21.698Z,171338408169800
"-- ending hand #51 --",2024-04-17T20:01:18.752Z,171338407875202
"""RoyalFlushGang @ -ZsNUEThlr"" collected 150 from pot",2024-04-17T20:01:18.752Z,171338407875201
"Uncalled bet of 75 returned to ""RoyalFlushGang @ -ZsNUEThlr""",2024-04-17T20:01:18.752Z,171338407875200
"""Hippo_Crit @ TXughv9_52"" folds",2024-04-17T20:01:17.899Z,171338407789900
"""RoyalFlushGang @ -ZsNUEThlr"" posts a big blind of 150",2024-04-17T20:01:16.440Z,171338407644005
"""Hippo_Crit @ TXughv9_52"" posts a small blind of 75",2024-04-17T20:01:16.440Z,171338407644004
"Player stacks: #4 ""RoyalFlushGang @ -ZsNUEThlr"" (2540) | #7 ""Hippo_Crit @ TXughv9_52"" (4460)",2024-04-17T20:01:16.440Z,171338407644001
"-- starting hand #51 (id: nrkm3e0nexxr)  (No Limit Texas Hold'em) (dealer: ""Hippo_Crit @ TXughv9_52"") --",2024-04-17T20:01:16.440Z,171338407644000
"-- ending hand #50 --",2024-04-17T20:01:10.418Z,171338407041801
"""Hippo_Crit @ TXughv9_52"" collected 4460 from pot with A High (combination: A♠, K♠, J♣, 10♣, 7♦)",2024-04-17T20:01:10.418Z,171338407041800
"River: 6♥, K♠, 7♦, 10♣ [2♦]",2024-04-17T20:01:06.414Z,171338406641400
"Turn: 6♥, K♠, 7♦ [10♣]",2024-04-17T20:01:02.406Z,171338406240600
"Flop:  [6♥, K♠, 7♦]",2024-04-17T20:00:58.399Z,171338405839900
"""Hippo_Crit @ TXughv9_52"" shows a J♣, A♠.",2024-04-17T20:00:54.389Z,171338405438901
"""RoyalFlushGang @ -ZsNUEThlr"" shows a A♦, 5♦.",2024-04-17T20:00:54.389Z,171338405438900
"""Hippo_Crit @ TXughv9_52"" calls 2230 and go all in",2024-04-17T20:00:53.551Z,171338405355100
"""RoyalFlushGang @ -ZsNUEThlr"" raises to 2230",2024-04-17T20:00:52.094Z,171338405209400
"""Hippo_Crit @ TXughv9_52"" raises to 450",2024-04-17T20:00:48.783Z,171338404878300
"""RoyalFlushGang @ -ZsNUEThlr"" calls 150",2024-04-17T20:00:46.564Z,171338404656400
"""Hippo_Crit @ TXughv9_52"" posts a big blind of 150",2024-04-17T20:00:43.857Z,171338404385705
"""RoyalFlushGang @ -ZsNUEThlr"" posts a small blind of 75",2024-04-17T20:00:43.857Z,171338404385704
"Player stacks: #4 ""RoyalFlushGang @ -ZsNUEThlr"" (4770) | #7 ""Hippo_Crit @ TXughv9_52"" (2230)",2024-04-17T20:00:43.857Z,171338404385701
"-- starting hand #50 (id: f4fvoncyuqlx)  (No Limit Texas Hold'em) (dealer: ""RoyalFlushGang @ -ZsNUEThlr"") --",2024-04-17T20:00:43.857Z,171338404385700
"-- ending hand #49 --",2024-04-17T20:00:37.848Z,171338403784801
"""Hippo_Crit @ TXughv9_52"" collected 2230 from pot with Pair, 6's (combination: 6♠, 6♣, K♠, 9♠, 7♣)",2024-04-17T20:00:37.848Z,171338403784800
"River: K♠, 7♣, 9♠, 3♦ [2♦]",2024-04-17T20:00:33.755Z,171338403375500
"Turn: K♠, 7♣, 9♠ [3♦]",2024-04-17T20:00:29.681Z,171338402968100
"Flop:  [K♠, 7♣, 9♠]",2024-04-17T20:00:25.642Z,171338402564200
"""Hippo_Crit @ TXughv9_52"" shows a 6♠, 6♣.",2024-04-17T20:00:21.634Z,171338402163401
"""RoyalFlushGang @ -ZsNUEThlr"" shows a 8♦, A♥.",2024-04-17T20:00:21.634Z,171338402163400
"""RoyalFlushGang @ -ZsNUEThlr"" calls 1115",2024-04-17T20:00:20.788Z,171338402078800
"""Hippo_Crit @ TXughv9_52"" raises to 1115 and go all in",2024-04-17T20:00:19.194Z,171338401919400
"""RoyalFlushGang @ -ZsNUEThlr"" posts a big blind of 150",2024-04-17T20:00:17.456Z,171338401745605
"""Hippo_Crit @ TXughv9_52"" posts a small blind of 75",2024-04-17T20:00:17.456Z,171338401745604
"Player stacks: #4 ""RoyalFlushGang @ -ZsNUEThlr"" (5885) | #7 ""Hippo_Crit @ TXughv9_52"" (1115)",2024-04-17T20:00:17.456Z,171338401745601
"-- starting hand #49 (id: xmjzo9cpdg1u)  (No Limit Texas Hold'em) (dealer: ""Hippo_Crit @ TXughv9_52"") --",2024-04-17T20:00:17.456Z,171338401745600
"-- ending hand #48 --",2024-04-17T20:00:14.526Z,171338401452602
"""RoyalFlushGang @ -ZsNUEThlr"" collected 300 from pot",2024-04-17T20:00:14.526Z,171338401452601
"Uncalled bet of 300 returned to ""RoyalFlushGang @ -ZsNUEThlr""",2024-04-17T20:00:14.526Z,171338401452600
"""Hippo_Crit @ TXughv9_52"" folds",2024-04-17T20:00:13.661Z,171338401366100
"""RoyalFlushGang @ -ZsNUEThlr"" bets 300",2024-04-17T20:00:12.804Z,171338401280400
"""Hippo_Crit @ TXughv9_52"" checks",2024-04-17T20:00:08.298Z,171338400829800
"River: Q♠, 7♠, 3♠, 7♣ [4♠]",2024-04-17T20:00:07.614Z,171338400761400
"""RoyalFlushGang @ -ZsNUEThlr"" checks",2024-04-17T20:00:06.794Z,171338400679400
"""Hippo_Crit @ TXughv9_52"" checks",2024-04-17T20:00:05.558Z,171338400555800
"Turn: Q♠, 7♠, 3♠ [7♣]",2024-04-17T20:00:04.300Z,171338400430000
"""RoyalFlushGang @ -ZsNUEThlr"" checks",2024-04-17T20:00:03.481Z,171338400348100
"""Hippo_Crit @ TXughv9_52"" checks",2024-04-17T20:00:02.123Z,171338400212300
"Flop:  [Q♠, 7♠, 3♠]",2024-04-17T20:00:00.473Z,171338400047300
"""Hippo_Crit @ TXughv9_52"" checks",2024-04-17T19:59:59.627Z,171338399962700
"""RoyalFlushGang @ -ZsNUEThlr"" calls 150",2024-04-17T19:59:58.727Z,171338399872700
"""Hippo_Crit @ TXughv9_52"" posts a big blind of 150",2024-04-17T19:59:56.795Z,171338399679505
"""RoyalFlushGang @ -ZsNUEThlr"" posts a small blind of 75",2024-04-17T19:59:56.795Z,171338399679504
"Player stacks: #4 ""RoyalFlushGang @ -ZsNUEThlr"" (5735) | #7 ""Hippo_Crit @ TXughv9_52"" (1265)",2024-04-17T19:59:56.795Z,171338399679501
"-- starting hand #48 (id: obth5ymkun4z)  (No Limit Texas Hold'em) (dealer: ""RoyalFlushGang @ -ZsNUEThlr"") --",2024-04-17T19:59:56.795Z,171338399679500
"-- ending hand #47 --",2024-04-17T19:59:53.844Z,171338399384402
"""Hippo_Crit @ TXughv9_52"" collected 300 from pot",2024-04-17T19:59:53.844Z,171338399384401
"Uncalled bet of 300 returned to ""Hippo_Crit @ TXughv9_52""",2024-04-17T19:59:53.844Z,171338399384400
"""RoyalFlushGang @ -ZsNUEThlr"" folds",2024-04-17T19:59:52.997Z,171338399299700
"""Hippo_Crit @ TXughv9_52"" raises to 450",2024-04-17T19:59:49.598Z,171338398959800
"""RoyalFlushGang @ -ZsNUEThlr"" posts a big blind of 150",2024-04-17T19:59:47.374Z,171338398737405
"""Hippo_Crit @ TXughv9_52"" posts a small blind of 75",2024-04-17T19:59:47.374Z,171338398737404
"Player stacks: #4 ""RoyalFlushGang @ -ZsNUEThlr"" (5885) | #7 ""Hippo_Crit @ TXughv9_52"" (1115)",2024-04-17T19:59:47.374Z,171338398737401
"-- starting hand #47 (id: ulvogbayfsoo)  (No Limit Texas Hold'em) (dealer: ""Hippo_Crit @ TXughv9_52"") --",2024-04-17T19:59:47.374Z,171338398737400
"-- ending hand #46 --",2024-04-17T19:59:44.422Z,171338398442202
"""Hippo_Crit @ TXughv9_52"" collected 600 from pot",2024-04-17T19:59:44.422Z,171338398442201
