entry,at,order
"The player ""Eemo @ LHItFp_qKD"" quits the game with a stack of 8000.",2024-04-26T19:39:56.065Z,171416039606500
"The player ""AmishRobotics @ NGyqawxOqL"" quits the game with a stack of 0.",2024-04-26T19:34:14.982Z,171416005498200
"-- ending hand #22 --",2024-04-26T19:34:08.954Z,171416004895401
"""Eemo @ LHItFp_qKD"" collected 3032 from pot with Pair, 8's (combination: 8♦, 8♥, A♦, K♥, 7♥)",2024-04-26T19:34:08.954Z,171416004895400
"River: 5♥, K♥, 8♥, 4♣ [7♥]",2024-04-26T19:34:04.941Z,171416004494100
"Turn: 5♥, K♥, 8♥ [4♣]",2024-04-26T19:34:00.869Z,171416004086900
"""Eemo @ LHItFp_qKD"" shows a 8♦, A♦.",2024-04-26T19:33:56.863Z,171416003686301
"""AmishRobotics @ NGyqawxOqL"" shows a 5♣, 3♠.",2024-04-26T19:33:56.863Z,171416003686300
"""Eemo @ LHItFp_qKD"" calls 1456",2024-04-26T19:33:56.006Z,171416003600600
"""AmishRobotics @ NGyqawxOqL"" bets 1456 and go all in",2024-04-26T19:33:45.807Z,171416002580700
"Flop:  [5♥, K♥, 8♥]",2024-04-26T19:33:41.308Z,171416002130800
"""AmishRobotics @ NGyqawxOqL"" checks",2024-04-26T19:33:40.482Z,171416002048200
"""Eemo @ LHItFp_qKD"" calls 60",2024-04-26T19:33:37.938Z,171416001793800
"""AmishRobotics @ NGyqawxOqL"" posts a big blind of 60",2024-04-26T19:33:36.259Z,171416001625905
"""Eemo @ LHItFp_qKD"" posts a small blind of 30",2024-04-26T19:33:36.259Z,171416001625904
"Player stacks: #2 ""AmishRobotics @ NGyqawxOqL"" (1516) | #4 ""Eemo @ LHItFp_qKD"" (6484)",2024-04-26T19:33:36.259Z,171416001625901
"-- starting hand #22 (id: vt2p8gkuyn3c)  (No Limit Texas Hold'em) (dealer: ""Eemo @ LHItFp_qKD"") --",2024-04-26T19:33:36.259Z,171416001625900
"-- ending hand #21 --",2024-04-26T19:33:30.250Z,171416001025003
"""AmishRobotics @ NGyqawxOqL"" shows a 3♣, K♥.",2024-04-26T19:33:30.250Z,171416001025002
"""Eemo @ LHItFp_qKD"" collected 1800 from pot with Pair, 4's (combination: 4♠, 4♥, A♠, 10♠, 8♣)",2024-04-26T19:33:30.250Z,171416001025001
"""Eemo @ LHItFp_qKD"" shows a A♠, 4♠.",2024-04-26T19:33:30.250Z,171416001025000
"""Eemo @ LHItFp_qKD"" calls 450",2024-04-26T19:33:29.406Z,171416000940600
"""AmishRobotics @ NGyqawxOqL"" bets 450",2024-04-26T19:33:25.213Z,171416000521300
"""Eemo @ LHItFp_qKD"" checks",2024-04-26T19:33:19.993Z,171415999999300
"River: 7♣, 10♠, 4♥, 8♣ [6♦]",2024-04-26T19:33:16.913Z,171415999691300
"""Eemo @ LHItFp_qKD"" calls 270",2024-04-26T19:33:16.073Z,171415999607300
"""AmishRobotics @ NGyqawxOqL"" bets 270",2024-04-26T19:33:11.229Z,171415999122900
"""Eemo @ LHItFp_qKD"" checks",2024-04-26T19:33:08.209Z,171415998820900
"Turn: 7♣, 10♠, 4♥ [8♣]",2024-04-26T19:33:04.959Z,171415998495900
"""Eemo @ LHItFp_qKD"" calls 120",2024-04-26T19:33:04.136Z,171415998413600
"""AmishRobotics @ NGyqawxOqL"" bets 120",2024-04-26T19:32:57.403Z,171415997740300
"""Eemo @ LHItFp_qKD"" checks",2024-04-26T19:32:53.952Z,171415997395200
"Flop:  [7♣, 10♠, 4♥]",2024-04-26T19:32:50.743Z,171415997074300
"""Eemo @ LHItFp_qKD"" checks",2024-04-26T19:32:49.936Z,171415996993600
"""AmishRobotics @ NGyqawxOqL"" calls 60",2024-04-26T19:32:48.138Z,171415996813800
"""Eemo @ LHItFp_qKD"" posts a big blind of 60",2024-04-26T19:32:46.556Z,171415996655606
"""AmishRobotics @ NGyqawxOqL"" posts a small blind of 30",2024-04-26T19:32:46.556Z,171415996655605
"Player stacks: #2 ""AmishRobotics @ NGyqawxOqL"" (2416) | #4 ""Eemo @ LHItFp_qKD"" (5584)",2024-04-26T19:32:46.556Z,171415996655602
"-- starting hand #21 (id: nteijxznneuh)  (No Limit Texas Hold'em) (dealer: ""AmishRobotics @ NGyqawxOqL"") --",2024-04-26T19:32:46.556Z,171415996655601
"The player ""Dymnd Dave @ fEu2Ydcbpc"" quits the game with a stack of 0.",2024-04-26T19:32:46.556Z,171415996655600
"-- ending hand #20 --",2024-04-26T19:32:40.552Z,171415996055203
"""Dymnd Dave @ fEu2Ydcbpc"" shows a 5♣, A♠.",2024-04-26T19:32:40.552Z,171415996055202
"""AmishRobotics @ NGyqawxOqL"" collected 1050 from pot with Three of a Kind, 2's (combination: 2♥, 2♣, 2♦, 9♠, 5♦)",2024-04-26T19:32:40.552Z,171415996055201
"""AmishRobotics @ NGyqawxOqL"" shows a 3♠, 2♥.",2024-04-26T19:32:40.552Z,171415996055200
"""Dymnd Dave @ fEu2Ydcbpc"" calls 405 and go all in",2024-04-26T19:32:39.734Z,171415995973400
"""AmishRobotics @ NGyqawxOqL"" raises to 405",2024-04-26T19:32:36.593Z,171415995659300
"""Dymnd Dave @ fEu2Ydcbpc"" bets 60",2024-04-26T19:32:33.907Z,171415995390700
"River: 9♠, 4♦, 2♣, 2♦ [5♦]",2024-04-26T19:32:31.508Z,171415995150800
"""Dymnd Dave @ fEu2Ydcbpc"" calls 60",2024-04-26T19:32:30.645Z,171415995064500
"""AmishRobotics @ NGyqawxOqL"" bets 60",2024-04-26T19:32:29.020Z,171415994902000
"""Dymnd Dave @ fEu2Ydcbpc"" checks",2024-04-26T19:32:27.230Z,171415994723000
"Turn: 9♠, 4♦, 2♣ [2♦]",2024-04-26T19:32:24.901Z,171415994490100
"""AmishRobotics @ NGyqawxOqL"" checks",2024-04-26T19:32:24.026Z,171415994402600
"""Dymnd Dave @ fEu2Ydcbpc"" checks",2024-04-26T19:32:23.100Z,171415994310000
"Flop:  [9♠, 4♦, 2♣]",2024-04-26T19:32:19.992Z,171415993999200
"""AmishRobotics @ NGyqawxOqL"" checks",2024-04-26T19:32:19.130Z,171415993913000
"""Dymnd Dave @ fEu2Ydcbpc"" calls 60",2024-04-26T19:32:16.909Z,171415993690900
"""Eemo @ LHItFp_qKD"" folds",2024-04-26T19:32:15.393Z,171415993539300
"""AmishRobotics @ NGyqawxOqL"" posts a big blind of 60",2024-04-26T19:32:14.112Z,171415993411206
"""Dymnd Dave @ fEu2Ydcbpc"" posts a small blind of 30",2024-04-26T19:32:14.112Z,171415993411205
"Player stacks: #2 ""AmishRobotics @ NGyqawxOqL"" (1891) | #4 ""Eemo @ LHItFp_qKD"" (5584) | #6 ""Dymnd Dave @ fEu2Ydcbpc"" (525)",2024-04-26T19:32:14.112Z,171415993411201
"-- starting hand #20 (id: uu5byq1y7wrz)  (No Limit Texas Hold'em) (dealer: ""Eemo @ LHItFp_qKD"") --",2024-04-26T19:32:14.112Z,171415993411200
"-- ending hand #19 --",2024-04-26T19:32:11.178Z,171415993117802
"""Dymnd Dave @ fEu2Ydcbpc"" collected 120 from pot",2024-04-26T19:32:11.178Z,171415993117801
"Uncalled bet of 60 returned to ""Dymnd Dave @ fEu2Ydcbpc""",2024-04-26T19:32:11.178Z,171415993117800
"""Eemo @ LHItFp_qKD"" folds",2024-04-26T19:32:10.315Z,171415993031500
"""Dymnd Dave @ fEu2Ydcbpc"" bets 60",2024-04-26T19:32:05.085Z,171415992508500
"""Eemo @ LHItFp_qKD"" checks",2024-04-26T19:32:03.287Z,171415992328700
"Turn: 7♦, A♦, J♦ [9♣]",2024-04-26T19:32:00.096Z,171415992009600
