entry,at,order
"The player ""lonewolf @ uwSyhODXP0"" quits the game with a stack of 7000.",2024-04-26T16:48:41.049Z,171415012104900
"The player ""nman420 @ hZrjSL66J3"" quits the game with a stack of 0.",2024-04-26T16:43:14.257Z,171414979425700
"-- ending hand #37 --",2024-04-26T16:43:08.248Z,171414978824801
"""lonewolf @ uwSyhODXP0"" collected 3580 from pot with Pair, 7's (combination: 7♠, 7♦, A♦, K♣, Q♦)",2024-04-26T16:43:08.248Z,171414978824800
"River: A♦, 7♦, 4♥, K♣ [Q♦]",2024-04-26T16:43:04.208Z,171414978420800
"Turn: A♦, 7♦, 4♥ [K♣]",2024-04-26T16:43:00.177Z,171414978017700
"Flop:  [A♦, 7♦, 4♥]",2024-04-26T16:42:56.116Z,171414977611600
"""nman420 @ hZrjSL66J3"" shows a 5♠, 6♠.",2024-04-26T16:42:52.092Z,171414977209201
"""lonewolf @ uwSyhODXP0"" shows a 10♠, 7♠.",2024-04-26T16:42:52.092Z,171414977209200
"""lonewolf @ uwSyhODXP0"" calls 1790",2024-04-26T16:42:51.255Z,171414977125500
"""nman420 @ hZrjSL66J3"" raises to 1790 and go all in",2024-04-26T16:42:49.764Z,171414976976400
"""lonewolf @ uwSyhODXP0"" calls 200",2024-04-26T16:42:46.398Z,171414976639800
"""nman420 @ hZrjSL66J3"" posts a big blind of 200",2024-04-26T16:42:44.857Z,171414976485705
"""lonewolf @ uwSyhODXP0"" posts a small blind of 100",2024-04-26T16:42:44.857Z,171414976485704
"Player stacks: #3 ""lonewolf @ uwSyhODXP0"" (5210) | #4 ""nman420 @ hZrjSL66J3"" (1790)",2024-04-26T16:42:44.857Z,171414976485701
"-- starting hand #37 (id: lb6ns5whvu0p)  (No Limit Texas Hold'em) (dealer: ""lonewolf @ uwSyhODXP0"") --",2024-04-26T16:42:44.857Z,171414976485700
"-- ending hand #36 --",2024-04-26T16:42:41.865Z,171414976186502
"""lonewolf @ uwSyhODXP0"" collected 200 from pot",2024-04-26T16:42:41.865Z,171414976186501
"Uncalled bet of 100 returned to ""lonewolf @ uwSyhODXP0""",2024-04-26T16:42:41.865Z,171414976186500
"""nman420 @ hZrjSL66J3"" folds",2024-04-26T16:42:40.990Z,171414976099000
"""lonewolf @ uwSyhODXP0"" posts a big blind of 200",2024-04-26T16:42:36.467Z,171414975646705
"""nman420 @ hZrjSL66J3"" posts a small blind of 100",2024-04-26T16:42:36.467Z,171414975646704
"Player stacks: #3 ""lonewolf @ uwSyhODXP0"" (5110) | #4 ""nman420 @ hZrjSL66J3"" (1890)",2024-04-26T16:42:36.467Z,171414975646701
"-- starting hand #36 (id: zh9igur8v034)  (No Limit Texas Hold'em) (dealer: ""nman420 @ hZrjSL66J3"") --",2024-04-26T16:42:36.467Z,171414975646700
"""nman420 @ hZrjSL66J3"" shows a 6♦, Q♥.",2024-04-26T16:42:33.820Z,171414975382000
"-- ending hand #35 --",2024-04-26T16:42:32.832Z,171414975283202
"""nman420 @ hZrjSL66J3"" collected 800 from pot",2024-04-26T16:42:32.832Z,171414975283201
"Uncalled bet of 1090 returned to ""nman420 @ hZrjSL66J3""",2024-04-26T16:42:32.832Z,171414975283200
"""lonewolf @ uwSyhODXP0"" folds",2024-04-26T16:42:31.916Z,171414975191600
"""nman420 @ hZrjSL66J3"" bets 1090 and go all in",2024-04-26T16:42:29.168Z,171414974916800
"Flop:  [2♠, 2♥, 2♣]",2024-04-26T16:42:25.005Z,171414974500500
"""lonewolf @ uwSyhODXP0"" calls 400",2024-04-26T16:42:24.083Z,171414974408300
"""nman420 @ hZrjSL66J3"" raises to 400",2024-04-26T16:42:20.491Z,171414974049100
"""lonewolf @ uwSyhODXP0"" calls 200",2024-04-26T16:42:17.742Z,171414973774200
"""nman420 @ hZrjSL66J3"" posts a big blind of 200",2024-04-26T16:42:14.977Z,171414973497705
"""lonewolf @ uwSyhODXP0"" posts a small blind of 100",2024-04-26T16:42:14.977Z,171414973497704
"Player stacks: #3 ""lonewolf @ uwSyhODXP0"" (5510) | #4 ""nman420 @ hZrjSL66J3"" (1490)",2024-04-26T16:42:14.977Z,171414973497701
"-- starting hand #35 (id: lx5shu565xr6)  (No Limit Texas Hold'em) (dealer: ""lonewolf @ uwSyhODXP0"") --",2024-04-26T16:42:14.977Z,171414973497700
"""nman420 @ hZrjSL66J3"" shows a Q♦, 4♣.",2024-04-26T16:42:13.184Z,171414973318400
"-- ending hand #34 --",2024-04-26T16:42:11.370Z,171414973137002
"""nman420 @ hZrjSL66J3"" collected 400 from pot",2024-04-26T16:42:11.370Z,171414973137001
"Uncalled bet of 1090 returned to ""nman420 @ hZrjSL66J3""",2024-04-26T16:42:11.370Z,171414973137000
"""lonewolf @ uwSyhODXP0"" folds",2024-04-26T16:42:10.491Z,171414973049100
"""nman420 @ hZrjSL66J3"" raises to 1290 and go all in",2024-04-26T16:42:07.772Z,171414972777200
"""lonewolf @ uwSyhODXP0"" posts a big blind of 200",2024-04-26T16:42:02.974Z,171414972297405
"""nman420 @ hZrjSL66J3"" posts a small blind of 100",2024-04-26T16:42:02.974Z,171414972297404
"Player stacks: #3 ""lonewolf @ uwSyhODXP0"" (5710) | #4 ""nman420 @ hZrjSL66J3"" (1290)",2024-04-26T16:42:02.974Z,171414972297401
"-- starting hand #34 (id: 7gb4pdxh5lay)  (No Limit Texas Hold'em) (dealer: ""nman420 @ hZrjSL66J3"") --",2024-04-26T16:42:02.974Z,171414972297400
"-- ending hand #33 --",2024-04-26T16:41:56.905Z,171414971690501
"""nman420 @ hZrjSL66J3"" collected 1290 from pot with Two Pair, Q's & 5's (combination: Q♥, Q♦, 5♥, 5♣, 6♣)",2024-04-26T16:41:56.905Z,171414971690500
"River: 4♣, 5♣, 6♣, Q♦ [3♥]",2024-04-26T16:41:52.893Z,171414971289300
"Turn: 4♣, 5♣, 6♣ [Q♦]",2024-04-26T16:41:48.812Z,171414970881200
"Flop:  [4♣, 5♣, 6♣]",2024-04-26T16:41:44.785Z,171414970478500
"""nman420 @ hZrjSL66J3"" shows a Q♥, 5♥.",2024-04-26T16:41:40.781Z,171414970078101
"""lonewolf @ uwSyhODXP0"" shows a 3♠, 6♠.",2024-04-26T16:41:40.781Z,171414970078100
