entry,at,order
"The player ""Til-Ted Uphill @ 9XVJnr5eQi"" quits the game with a stack of 8000.",2024-04-17T20:37:03.088Z,171338622308800
"The player ""dampfloorsign @ 8qixj7yG1R"" quits the game with a stack of 0.",2024-04-17T20:31:17.052Z,171338587705200
"-- ending hand #31 --",2024-04-17T20:31:11.009Z,171338587100901
"""Til-Ted Uphill @ 9XVJnr5eQi"" collected 2994 from pot with Pair, Q's (combination: Q♠, Q♥, K♠, J♦, 8♣)",2024-04-17T20:31:11.009Z,171338587100900
"River: Q♥, K♠, 8♣, 4♠ [7♥]",2024-04-17T20:31:06.991Z,171338586699100
"Turn: Q♥, K♠, 8♣ [4♠]",2024-04-17T20:31:02.981Z,171338586298100
"Flop:  [Q♥, K♠, 8♣]",2024-04-17T20:30:58.913Z,171338585891300
"""dampfloorsign @ 8qixj7yG1R"" shows a 5♠, 5♦.",2024-04-17T20:30:54.905Z,171338585490501
"""Til-Ted Uphill @ 9XVJnr5eQi"" shows a Q♠, J♦.",2024-04-17T20:30:54.905Z,171338585490500
"""dampfloorsign @ 8qixj7yG1R"" calls 1497 and go all in",2024-04-17T20:30:54.069Z,171338585406900
"""Til-Ted Uphill @ 9XVJnr5eQi"" raises to 1497",2024-04-17T20:30:52.168Z,171338585216800
"""dampfloorsign @ 8qixj7yG1R"" raises to 300",2024-04-17T20:30:49.547Z,171338584954700
"""Til-Ted Uphill @ 9XVJnr5eQi"" posts a big blind of 150",2024-04-17T20:30:45.210Z,171338584521005
"""dampfloorsign @ 8qixj7yG1R"" posts a small blind of 75",2024-04-17T20:30:45.210Z,171338584521004
"Player stacks: #1 ""Til-Ted Uphill @ 9XVJnr5eQi"" (6503) | #7 ""dampfloorsign @ 8qixj7yG1R"" (1497)",2024-04-17T20:30:45.210Z,171338584521001
"-- starting hand #31 (id: c52q00lih2hx)  (No Limit Texas Hold'em) (dealer: ""dampfloorsign @ 8qixj7yG1R"") --",2024-04-17T20:30:45.210Z,171338584521000
"-- ending hand #30 --",2024-04-17T20:30:42.267Z,171338584226702
"""dampfloorsign @ 8qixj7yG1R"" collected 300 from pot",2024-04-17T20:30:42.267Z,171338584226701
"Uncalled bet of 1197 returned to ""dampfloorsign @ 8qixj7yG1R""",2024-04-17T20:30:42.267Z,171338584226700
"""Til-Ted Uphill @ 9XVJnr5eQi"" folds",2024-04-17T20:30:41.457Z,171338584145700
"""dampfloorsign @ 8qixj7yG1R"" raises to 1347 and go all in",2024-04-17T20:30:39.780Z,171338583978000
"""Til-Ted Uphill @ 9XVJnr5eQi"" calls 150",2024-04-17T20:30:35.932Z,171338583593200
"""dampfloorsign @ 8qixj7yG1R"" posts a big blind of 150",2024-04-17T20:30:34.574Z,171338583457405
"""Til-Ted Uphill @ 9XVJnr5eQi"" posts a small blind of 75",2024-04-17T20:30:34.574Z,171338583457404
