entry,at,order
"The player ""Marko17 @ bFaO4IZzQc"" quits the game with a stack of 5039.",2024-04-26T17:18:21.364Z,171415190136400
"The player ""Gia An @ yUNgcw04UV"" quits the game with a stack of 0.",2024-04-26T17:12:21.315Z,171415154131500
"-- ending hand #27 --",2024-04-26T17:12:15.292Z,171415153529201
"""Marko17 @ bFaO4IZzQc"" collected 962 from pot with Straight, A High (combination: A♣, K♠, Q♠, J♠, 10♥)",2024-04-26T17:12:15.292Z,171415153529200
"River: 7♦, K♠, J♠, Q♠ [Q♣]",2024-04-26T17:12:11.240Z,171415153124000
"Turn: 7♦, K♠, J♠ [Q♠]",2024-04-26T17:12:07.229Z,171415152722900
"Flop:  [7♦, K♠, J♠]",2024-04-26T17:12:03.177Z,171415152317700
"""Marko17 @ bFaO4IZzQc"" shows a A♣, 10♥.",2024-04-26T17:11:59.160Z,171415151916001
"""Gia An @ yUNgcw04UV"" shows a K♦, 3♥.",2024-04-26T17:11:59.160Z,171415151916000
"""Gia An @ yUNgcw04UV"" calls 481 and go all in",2024-04-26T17:11:58.306Z,171415151830600
"""Marko17 @ bFaO4IZzQc"" raises to 481",2024-04-26T17:11:56.838Z,171415151683800
"""Gia An @ yUNgcw04UV"" posts a big blind of 60",2024-04-26T17:11:54.312Z,171415151431205
"""Marko17 @ bFaO4IZzQc"" posts a small blind of 30",2024-04-26T17:11:54.312Z,171415151431204
"Player stacks: #4 ""Gia An @ yUNgcw04UV"" (481) | #7 ""Marko17 @ bFaO4IZzQc"" (4558)",2024-04-26T17:11:54.312Z,171415151431201
"-- starting hand #27 (id: yvx4vaecxzjm)  (No Limit Texas Hold'em) (dealer: ""Marko17 @ bFaO4IZzQc"") --",2024-04-26T17:11:54.312Z,171415151431200
"-- ending hand #26 --",2024-04-26T17:11:51.356Z,171415151135602
"""Gia An @ yUNgcw04UV"" collected 120 from pot",2024-04-26T17:11:51.356Z,171415151135601
"Uncalled bet of 361 returned to ""Gia An @ yUNgcw04UV""",2024-04-26T17:11:51.356Z,171415151135600
"""Marko17 @ bFaO4IZzQc"" folds",2024-04-26T17:11:50.550Z,171415151055000
"""Gia An @ yUNgcw04UV"" raises to 421 and go all in",2024-04-26T17:11:48.275Z,171415150827500
"""Marko17 @ bFaO4IZzQc"" posts a big blind of 60",2024-04-26T17:11:45.356Z,171415150535606
"""Gia An @ yUNgcw04UV"" posts a small blind of 30",2024-04-26T17:11:45.356Z,171415150535605
