entry,at,order
"The player ""disagr33mentda @ 5sM4Y5Ur76"" quits the game with a stack of 8000.",2024-04-17T21:06:47.889Z,171338800788900
"The player ""6nine @ xg9VFBVK_5"" quits the game with a stack of 0.",2024-04-17T21:01:05.940Z,171338766594000
"-- ending hand #27 --",2024-04-17T21:00:59.935Z,171338765993501
"""disagr33mentda @ 5sM4Y5Ur76"" collected 3360 from pot with Pair, A's (combination: A♣, A♠, Q♠, J♠, 6♥)",2024-04-17T21:00:59.935Z,171338765993500
"River: 4♦, A♣, 6♥, A♠ [5♦]",2024-04-17T21:00:55.931Z,171338765593100
"Turn: 4♦, A♣, 6♥ [A♠]",2024-04-17T21:00:51.875Z,171338765187500
"Flop:  [4♦, A♣, 6♥]",2024-04-17T21:00:47.780Z,171338764778000
"""disagr33mentda @ 5sM4Y5Ur76"" shows a Q♠, J♠.",2024-04-17T21:00:43.748Z,171338764374801
"""6nine @ xg9VFBVK_5"" shows a 10♠, Q♥.",2024-04-17T21:00:43.748Z,171338764374800
"""disagr33mentda @ 5sM4Y5Ur76"" calls 1680",2024-04-17T21:00:42.944Z,171338764294400
"""6nine @ xg9VFBVK_5"" raises to 1680 and go all in",2024-04-17T21:00:41.446Z,171338764144600
"""disagr33mentda @ 5sM4Y5Ur76"" posts a big blind of 150",2024-04-17T21:00:39.254Z,171338763925405
"""6nine @ xg9VFBVK_5"" posts a small blind of 75",2024-04-17T21:00:39.254Z,171338763925404
"Player stacks: #6 ""6nine @ xg9VFBVK_5"" (1680) | #8 ""disagr33mentda @ 5sM4Y5Ur76"" (6320)",2024-04-17T21:00:39.254Z,171338763925401
"-- starting hand #27 (id: 0sa4wogbep2d)  (No Limit Texas Hold'em) (dealer: ""6nine @ xg9VFBVK_5"") --",2024-04-17T21:00:39.254Z,171338763925400
"-- ending hand #26 --",2024-04-17T21:00:33.248Z,171338763324801
"""disagr33mentda @ 5sM4Y5Ur76"" collected 6320 from pot with Two Pair, K's & J's (combination: K♣, K♥, J♠, J♥, A♠)",2024-04-17T21:00:33.248Z,171338763324800
"River: J♥, 5♣, 6♦, A♠ [K♥]",2024-04-17T21:00:29.236Z,171338762923600
"Turn: J♥, 5♣, 6♦ [A♠]",2024-04-17T21:00:25.191Z,171338762519100
"Flop:  [J♥, 5♣, 6♦]",2024-04-17T21:00:21.189Z,171338762118900
"""disagr33mentda @ 5sM4Y5Ur76"" shows a J♠, K♣.",2024-04-17T21:00:17.160Z,171338761716001
"""6nine @ xg9VFBVK_5"" shows a Q♦, Q♠.",2024-04-17T21:00:17.160Z,171338761716000
"""6nine @ xg9VFBVK_5"" calls 3160",2024-04-17T21:00:16.319Z,171338761631900
"""disagr33mentda @ 5sM4Y5Ur76"" raises to 3160 and go all in",2024-04-17T21:00:14.841Z,171338761484100
"""6nine @ xg9VFBVK_5"" posts a big blind of 150",2024-04-17T21:00:11.548Z,171338761154805
"""disagr33mentda @ 5sM4Y5Ur76"" posts a small blind of 75",2024-04-17T21:00:11.548Z,171338761154804
"Player stacks: #6 ""6nine @ xg9VFBVK_5"" (4840) | #8 ""disagr33mentda @ 5sM4Y5Ur76"" (3160)",2024-04-17T21:00:11.548Z,171338761154801
"-- starting hand #26 (id: hafkkkwtdvam)  (No Limit Texas Hold'em) (dealer: ""disagr33mentda @ 5sM4Y5Ur76"") --",2024-04-17T21:00:11.548Z,171338761154800
"-- ending hand #25 --",2024-04-17T21:00:05.534Z,171338760553401
"""disagr33mentda @ 5sM4Y5Ur76"" collected 3160 from pot with Full House, 6's over J's (combination: 6♥, 6♣, 6♦, J♠, J♣)",2024-04-17T21:00:05.534Z,171338760553400
"River: 6♥, 6♣, J♣, 3♠ [6♦]",2024-04-17T21:00:01.524Z,171338760152400
"Turn: 6♥, 6♣, J♣ [3♠]",2024-04-17T20:59:57.521Z,171338759752100
"Flop:  [6♥, 6♣, J♣]",2024-04-17T20:59:53.518Z,171338759351800
"""disagr33mentda @ 5sM4Y5Ur76"" shows a J♠, 9♥.",2024-04-17T20:59:49.478Z,171338758947801
