entry,at,order
"The player ""JustinS @ 1VDWHDzw9I"" quits the game with a stack of 8000.",2024-04-26T18:17:04.277Z,171415542427700
"The player ""albs @ ssNGMVFlqq"" quits the game with a stack of 0.",2024-04-26T17:50:06.209Z,171415380620900
"-- ending hand #43 --",2024-04-26T17:50:00.148Z,171415380014801
"""JustinS @ 1VDWHDzw9I"" collected 7300 from pot with Two Pair, K's & 6's (combination: K♥, K♠, 6♠, 6♣, Q♣)",2024-04-26T17:50:00.148Z,171415380014800
"River: 8♦, Q♣, K♠, J♦ [6♣]",2024-04-26T17:49:56.069Z,171415379606900
"""JustinS @ 1VDWHDzw9I"" shows a 6♠, K♥.",2024-04-26T17:49:52.048Z,171415379204801
"""albs @ ssNGMVFlqq"" shows a J♣, Q♠.",2024-04-26T17:49:52.048Z,171415379204800
"""albs @ ssNGMVFlqq"" calls 1250 and go all in",2024-04-26T17:49:51.209Z,171415379120900
"""JustinS @ 1VDWHDzw9I"" bets 1250",2024-04-26T17:49:49.863Z,171415378986300
"Turn: 8♦, Q♣, K♠ [J♦]",2024-04-26T17:49:46.643Z,171415378664300
"""JustinS @ 1VDWHDzw9I"" calls 2000",2024-04-26T17:49:45.835Z,171415378583500
"""albs @ ssNGMVFlqq"" raises to 2000",2024-04-26T17:49:42.048Z,171415378204800
"""JustinS @ 1VDWHDzw9I"" bets 200",2024-04-26T17:49:35.112Z,171415377511200
"Flop:  [8♦, Q♣, K♠]",2024-04-26T17:49:31.604Z,171415377160400
"""JustinS @ 1VDWHDzw9I"" calls 400",2024-04-26T17:49:30.783Z,171415377078300
"""albs @ ssNGMVFlqq"" raises to 400",2024-04-26T17:49:28.619Z,171415376861900
"""JustinS @ 1VDWHDzw9I"" posts a big blind of 200",2024-04-26T17:49:22.712Z,171415376271205
"""albs @ ssNGMVFlqq"" posts a small blind of 100",2024-04-26T17:49:22.712Z,171415376271204
"Player stacks: #5 ""albs @ ssNGMVFlqq"" (3650) | #6 ""JustinS @ 1VDWHDzw9I"" (4350)",2024-04-26T17:49:22.712Z,171415376271201
"-- starting hand #43 (id: eernyg19uxmz)  (No Limit Texas Hold'em) (dealer: ""albs @ ssNGMVFlqq"") --",2024-04-26T17:49:22.712Z,171415376271200
"-- ending hand #42 --",2024-04-26T17:49:19.759Z,171415375975902
"""JustinS @ 1VDWHDzw9I"" collected 400 from pot",2024-04-26T17:49:19.759Z,171415375975901
"Uncalled bet of 3650 returned to ""JustinS @ 1VDWHDzw9I""",2024-04-26T17:49:19.759Z,171415375975900
"""albs @ ssNGMVFlqq"" folds",2024-04-26T17:49:18.953Z,171415375895300
"""JustinS @ 1VDWHDzw9I"" raises to 3850",2024-04-26T17:49:17.322Z,171415375732200
"""albs @ ssNGMVFlqq"" posts a big blind of 200",2024-04-26T17:49:14.951Z,171415375495105
"""JustinS @ 1VDWHDzw9I"" posts a small blind of 100",2024-04-26T17:49:14.951Z,171415375495104
"Player stacks: #5 ""albs @ ssNGMVFlqq"" (3850) | #6 ""JustinS @ 1VDWHDzw9I"" (4150)",2024-04-26T17:49:14.951Z,171415375495101
"-- starting hand #42 (id: xwcczzp0iyhi)  (No Limit Texas Hold'em) (dealer: ""JustinS @ 1VDWHDzw9I"") --",2024-04-26T17:49:14.951Z,171415375495100
"-- ending hand #41 --",2024-04-26T17:49:08.905Z,171415374890501
"""albs @ ssNGMVFlqq"" collected 3850 from pot with Pair, 6's (combination: 6♥, 6♦, A♠, J♥, 10♣)",2024-04-26T17:49:08.905Z,171415374890500
"River: 7♣, 6♥, A♠, 8♠ [6♦]",2024-04-26T17:49:04.888Z,171415374488800
"""JustinS @ 1VDWHDzw9I"" shows a 3♣, 9♣.",2024-04-26T17:49:00.863Z,171415374086301
"""albs @ ssNGMVFlqq"" shows a J♥, 10♣.",2024-04-26T17:49:00.863Z,171415374086300
"""albs @ ssNGMVFlqq"" calls 1525 and go all in",2024-04-26T17:49:00.059Z,171415374005900
"""JustinS @ 1VDWHDzw9I"" bets 1525",2024-04-26T17:48:58.703Z,171415373870300
"Turn: 7♣, 6♥, A♠ [8♠]",2024-04-26T17:48:50.906Z,171415373090600
"""albs @ ssNGMVFlqq"" checks",2024-04-26T17:48:50.064Z,171415373006400
"""JustinS @ 1VDWHDzw9I"" checks",2024-04-26T17:48:48.903Z,171415372890300
"Flop:  [7♣, 6♥, A♠]",2024-04-26T17:48:45.252Z,171415372525200
"""JustinS @ 1VDWHDzw9I"" calls 400",2024-04-26T17:48:44.342Z,171415372434200
"""albs @ ssNGMVFlqq"" raises to 400",2024-04-26T17:48:37.618Z,171415371761800
"""JustinS @ 1VDWHDzw9I"" posts a big blind of 200",2024-04-26T17:48:33.456Z,171415371345605
"""albs @ ssNGMVFlqq"" posts a small blind of 100",2024-04-26T17:48:33.456Z,171415371345604
"Player stacks: #5 ""albs @ ssNGMVFlqq"" (1925) | #6 ""JustinS @ 1VDWHDzw9I"" (6075)",2024-04-26T17:48:33.456Z,171415371345601
"-- starting hand #41 (id: 4mta8cmyqxek)  (No Limit Texas Hold'em) (dealer: ""albs @ ssNGMVFlqq"") --",2024-04-26T17:48:33.456Z,171415371345600
"-- ending hand #40 --",2024-04-26T17:48:30.444Z,171415371044402
"""albs @ ssNGMVFlqq"" collected 200 from pot",2024-04-26T17:48:30.444Z,171415371044401
"Uncalled bet of 100 returned to ""albs @ ssNGMVFlqq""",2024-04-26T17:48:30.444Z,171415371044400
"""JustinS @ 1VDWHDzw9I"" folds",2024-04-26T17:48:29.638Z,171415370963800
