entry,at,order
"The player ""durbeyfield @ ODN1Z5CDNF"" quits the game with a stack of 8000.",2024-04-17T20:31:30.667Z,171338589066700
"The player ""jexx @ AetKKF8swd"" quits the game with a stack of 0.",2024-04-17T20:26:02.677Z,171338556267700
"-- ending hand #65 --",2024-04-17T20:25:56.635Z,171338555663501
"""durbeyfield @ ODN1Z5CDNF"" collected 1400 from pot with Pair, 9's (combination: 9♣, 9♥, A♠, K♣, 7♣)",2024-04-17T20:25:56.635Z,171338555663500
"River: 6♦, 7♣, A♠, 3♣ [9♥]",2024-04-17T20:25:52.623Z,171338555262300
"Turn: 6♦, 7♣, A♠ [3♣]",2024-04-17T20:25:48.620Z,171338554862000
"Flop:  [6♦, 7♣, A♠]",2024-04-17T20:25:44.613Z,171338554461300
"""jexx @ AetKKF8swd"" shows a 4♥, K♦.",2024-04-17T20:25:40.608Z,171338554060801
"""durbeyfield @ ODN1Z5CDNF"" shows a 9♣, K♣.",2024-04-17T20:25:40.608Z,171338554060800
"""jexx @ AetKKF8swd"" calls 700 and go all in",2024-04-17T20:25:39.775Z,171338553977500
"""durbeyfield @ ODN1Z5CDNF"" raises to 700",2024-04-17T20:25:37.014Z,171338553701400
"""jexx @ AetKKF8swd"" posts a big blind of 300",2024-04-17T20:25:33.496Z,171338553349605
"""durbeyfield @ ODN1Z5CDNF"" posts a small blind of 150",2024-04-17T20:25:33.496Z,171338553349604
"Player stacks: #3 ""durbeyfield @ ODN1Z5CDNF"" (7300) | #6 ""jexx @ AetKKF8swd"" (700)",2024-04-17T20:25:33.496Z,171338553349601
"-- starting hand #65 (id: ykgcle831d2g)  (No Limit Texas Hold'em) (dealer: ""durbeyfield @ ODN1Z5CDNF"") --",2024-04-17T20:25:33.496Z,171338553349600
"-- ending hand #64 --",2024-04-17T20:25:30.548Z,171338553054802
"""durbeyfield @ ODN1Z5CDNF"" collected 300 from pot",2024-04-17T20:25:30.548Z,171338553054801
"Uncalled bet of 150 returned to ""durbeyfield @ ODN1Z5CDNF""",2024-04-17T20:25:30.548Z,171338553054800
"""jexx @ AetKKF8swd"" folds",2024-04-17T20:25:29.717Z,171338552971700
"""durbeyfield @ ODN1Z5CDNF"" posts a big blind of 300",2024-04-17T20:25:22.336Z,171338552233605
"""jexx @ AetKKF8swd"" posts a small blind of 150",2024-04-17T20:25:22.336Z,171338552233604
"Player stacks: #3 ""durbeyfield @ ODN1Z5CDNF"" (7150) | #6 ""jexx @ AetKKF8swd"" (850)",2024-04-17T20:25:22.336Z,171338552233601
"-- starting hand #64 (id: cklkrwg72nhn)  (No Limit Texas Hold'em) (dealer: ""jexx @ AetKKF8swd"") --",2024-04-17T20:25:22.336Z,171338552233600
"-- ending hand #63 --",2024-04-17T20:25:19.414Z,171338551941402
"""durbeyfield @ ODN1Z5CDNF"" collected 600 from pot",2024-04-17T20:25:19.414Z,171338551941401
"Uncalled bet of 300 returned to ""durbeyfield @ ODN1Z5CDNF""",2024-04-17T20:25:19.414Z,171338551941400
"""jexx @ AetKKF8swd"" folds",2024-04-17T20:25:18.578Z,171338551857800
"""durbeyfield @ ODN1Z5CDNF"" bets 300",2024-04-17T20:25:17.096Z,171338551709600
"""jexx @ AetKKF8swd"" checks",2024-04-17T20:25:14.575Z,171338551457500
"Flop:  [J♠, 6♣, 3♥]",2024-04-17T20:25:11.354Z,171338551135400
"""jexx @ AetKKF8swd"" checks",2024-04-17T20:25:10.513Z,171338551051300
"""durbeyfield @ ODN1Z5CDNF"" calls 300",2024-04-17T20:25:06.382Z,171338550638200
"""jexx @ AetKKF8swd"" posts a big blind of 300",2024-04-17T20:25:02.747Z,171338550274705
"""durbeyfield @ ODN1Z5CDNF"" posts a small blind of 150",2024-04-17T20:25:02.747Z,171338550274704
"Player stacks: #3 ""durbeyfield @ ODN1Z5CDNF"" (6850) | #6 ""jexx @ AetKKF8swd"" (1150)",2024-04-17T20:25:02.747Z,171338550274701
"-- starting hand #63 (id: m8cld79fkwjy)  (No Limit Texas Hold'em) (dealer: ""durbeyfield @ ODN1Z5CDNF"") --",2024-04-17T20:25:02.747Z,171338550274700
"-- ending hand #62 --",2024-04-17T20:24:59.830Z,171338549983002
