entry,at,order
"The player ""dboy @ Dnl0RSM8vi"" quits the game with a stack of 8000.",2024-04-17T20:40:29.547Z,171338642954700
"The player ""shima @ dXZiiXY__q"" quits the game with a stack of 0.",2024-04-17T20:34:35.439Z,171338607543900
"-- ending hand #47 --",2024-04-17T20:34:29.433Z,171338606943301
"""dboy @ Dnl0RSM8vi"" collected 4000 from pot with Three of a Kind, 2's (combination: 2♦, 2♥, 2♠, J♦, 10♦)",2024-04-17T20:34:29.433Z,171338606943300
"River: 4♥, 2♠, 10♦, J♦ [3♠]",2024-04-17T20:34:25.427Z,171338606542700
"Turn: 4♥, 2♠, 10♦ [J♦]",2024-04-17T20:34:21.371Z,171338606137100
"""shima @ dXZiiXY__q"" shows a A♠, 9♣.",2024-04-17T20:34:17.365Z,171338605736501
"""dboy @ Dnl0RSM8vi"" shows a 2♦, 2♥.",2024-04-17T20:34:17.365Z,171338605736500
"""dboy @ Dnl0RSM8vi"" calls 1400",2024-04-17T20:34:16.519Z,171338605651900
"""shima @ dXZiiXY__q"" raises to 1400 and go all in",2024-04-17T20:34:14.653Z,171338605465300
"""dboy @ Dnl0RSM8vi"" bets 400",2024-04-17T20:34:12.121Z,171338605212100
"Flop:  [4♥, 2♠, 10♦]",2024-04-17T20:34:00.544Z,171338604054400
"""shima @ dXZiiXY__q"" calls 600",2024-04-17T20:33:59.694Z,171338603969400
"""dboy @ Dnl0RSM8vi"" raises to 600",2024-04-17T20:33:58.053Z,171338603805300
"""shima @ dXZiiXY__q"" calls 200",2024-04-17T20:33:54.752Z,171338603475200
"""dboy @ Dnl0RSM8vi"" posts a big blind of 200",2024-04-17T20:33:53.481Z,171338603348105
"""shima @ dXZiiXY__q"" posts a small blind of 100",2024-04-17T20:33:53.481Z,171338603348104
"Player stacks: #1 ""dboy @ Dnl0RSM8vi"" (6000) | #3 ""shima @ dXZiiXY__q"" (2000)",2024-04-17T20:33:53.481Z,171338603348101
"-- starting hand #47 (id: vrtqwzbb8lho)  (No Limit Texas Hold'em) (dealer: ""shima @ dXZiiXY__q"") --",2024-04-17T20:33:53.481Z,171338603348100
"-- ending hand #46 --",2024-04-17T20:33:50.565Z,171338603056502
"""shima @ dXZiiXY__q"" collected 200 from pot",2024-04-17T20:33:50.565Z,171338603056501
"Uncalled bet of 100 returned to ""shima @ dXZiiXY__q""",2024-04-17T20:33:50.565Z,171338603056500
"""dboy @ Dnl0RSM8vi"" folds",2024-04-17T20:33:49.720Z,171338602972000
"""shima @ dXZiiXY__q"" posts a big blind of 200",2024-04-17T20:33:47.875Z,171338602787505
"""dboy @ Dnl0RSM8vi"" posts a small blind of 100",2024-04-17T20:33:47.875Z,171338602787504
"Player stacks: #1 ""dboy @ Dnl0RSM8vi"" (6100) | #3 ""shima @ dXZiiXY__q"" (1900)",2024-04-17T20:33:47.875Z,171338602787501
"-- starting hand #46 (id: wvihrsx9jzlx)  (No Limit Texas Hold'em) (dealer: ""dboy @ Dnl0RSM8vi"") --",2024-04-17T20:33:47.875Z,171338602787500
"-- ending hand #45 --",2024-04-17T20:33:44.958Z,171338602495802
"""dboy @ Dnl0RSM8vi"" collected 200 from pot",2024-04-17T20:33:44.958Z,171338602495801
"Uncalled bet of 100 returned to ""dboy @ Dnl0RSM8vi""",2024-04-17T20:33:44.958Z,171338602495800
"""shima @ dXZiiXY__q"" folds",2024-04-17T20:33:44.148Z,171338602414800
"""dboy @ Dnl0RSM8vi"" posts a big blind of 200",2024-04-17T20:33:42.755Z,171338602275505
"""shima @ dXZiiXY__q"" posts a small blind of 100",2024-04-17T20:33:42.755Z,171338602275504
"Player stacks: #1 ""dboy @ Dnl0RSM8vi"" (6000) | #3 ""shima @ dXZiiXY__q"" (2000)",2024-04-17T20:33:42.755Z,171338602275501
"-- starting hand #45 (id: um28hcoxat4n)  (No Limit Texas Hold'em) (dealer: ""shima @ dXZiiXY__q"") --",2024-04-17T20:33:42.755Z,171338602275500
"-- ending hand #44 --",2024-04-17T20:33:39.826Z,171338601982602
"""dboy @ Dnl0RSM8vi"" collected 400 from pot",2024-04-17T20:33:39.826Z,171338601982601
"Uncalled bet of 400 returned to ""dboy @ Dnl0RSM8vi""",2024-04-17T20:33:39.826Z,171338601982600
"""shima @ dXZiiXY__q"" folds",2024-04-17T20:33:38.992Z,171338601899200
"""dboy @ Dnl0RSM8vi"" raises to 600",2024-04-17T20:33:37.883Z,171338601788300
"""shima @ dXZiiXY__q"" posts a big blind of 200",2024-04-17T20:33:34.553Z,171338601455305
"""dboy @ Dnl0RSM8vi"" posts a small blind of 100",2024-04-17T20:33:34.553Z,171338601455304
"Player stacks: #1 ""dboy @ Dnl0RSM8vi"" (5800) | #3 ""shima @ dXZiiXY__q"" (2200)",2024-04-17T20:33:34.553Z,171338601455301
"-- starting hand #44 (id: mdm55ql6hisf)  (No Limit Texas Hold'em) (dealer: ""dboy @ Dnl0RSM8vi"") --",2024-04-17T20:33:34.553Z,171338601455300
"-- ending hand #43 --",2024-04-17T20:33:31.612Z,171338601161202
"""dboy @ Dnl0RSM8vi"" collected 200 from pot",2024-04-17T20:33:31.612Z,171338601161201
"Uncalled bet of 100 returned to ""dboy @ Dnl0RSM8vi""",2024-04-17T20:33:31.612Z,171338601161200
"""shima @ dXZiiXY__q"" folds",2024-04-17T20:33:30.753Z,171338601075300
"""dboy @ Dnl0RSM8vi"" posts a big blind of 200",2024-04-17T20:33:27.832Z,171338600783205
"""shima @ dXZiiXY__q"" posts a small blind of 100",2024-04-17T20:33:27.832Z,171338600783204
"Player stacks: #1 ""dboy @ Dnl0RSM8vi"" (5700) | #3 ""shima @ dXZiiXY__q"" (2300)",2024-04-17T20:33:27.832Z,171338600783201
"-- starting hand #43 (id: py1yi5yy4dn2)  (No Limit Texas Hold'em) (dealer: ""shima @ dXZiiXY__q"") --",2024-04-17T20:33:27.832Z,171338600783200
"-- ending hand #42 --",2024-04-17T20:33:24.921Z,171338600492102
"""shima @ dXZiiXY__q"" collected 200 from pot",2024-04-17T20:33:24.921Z,171338600492101
"Uncalled bet of 100 returned to ""shima @ dXZiiXY__q""",2024-04-17T20:33:24.921Z,171338600492100
"""dboy @ Dnl0RSM8vi"" folds",2024-04-17T20:33:24.070Z,171338600407000
"""shima @ dXZiiXY__q"" posts a big blind of 200",2024-04-17T20:33:16.708Z,171338599670805
"""dboy @ Dnl0RSM8vi"" posts a small blind of 100",2024-04-17T20:33:16.708Z,171338599670804
"Player stacks: #1 ""dboy @ Dnl0RSM8vi"" (5800) | #3 ""shima @ dXZiiXY__q"" (2200)",2024-04-17T20:33:16.708Z,171338599670801
"-- starting hand #42 (id: tlykcheunyxx)  (No Limit Texas Hold'em) (dealer: ""dboy @ Dnl0RSM8vi"") --",2024-04-17T20:33:16.708Z,171338599670800
"-- ending hand #41 --",2024-04-17T20:33:13.755Z,171338599375502
"""dboy @ Dnl0RSM8vi"" collected 200 from pot",2024-04-17T20:33:13.755Z,171338599375501
"Uncalled bet of 100 returned to ""dboy @ Dnl0RSM8vi""",2024-04-17T20:33:13.755Z,171338599375500
"""shima @ dXZiiXY__q"" folds",2024-04-17T20:33:12.932Z,171338599293200
"""dboy @ Dnl0RSM8vi"" posts a big blind of 200",2024-04-17T20:33:10.228Z,171338599022805
"""shima @ dXZiiXY__q"" posts a small blind of 100",2024-04-17T20:33:10.228Z,171338599022804
"Player stacks: #1 ""dboy @ Dnl0RSM8vi"" (5700) | #3 ""shima @ dXZiiXY__q"" (2300)",2024-04-17T20:33:10.228Z,171338599022801
"-- starting hand #41 (id: pht5ydh3zd7d)  (No Limit Texas Hold'em) (dealer: ""shima @ dXZiiXY__q"") --",2024-04-17T20:33:10.228Z,171338599022800
"-- ending hand #40 --",2024-04-17T20:33:07.304Z,171338598730402
"""dboy @ Dnl0RSM8vi"" collected 400 from pot",2024-04-17T20:33:07.304Z,171338598730401
"Uncalled bet of 300 returned to ""dboy @ Dnl0RSM8vi""",2024-04-17T20:33:07.304Z,171338598730400
"""shima @ dXZiiXY__q"" folds",2024-04-17T20:33:06.496Z,171338598649600
"""dboy @ Dnl0RSM8vi"" bets 300",2024-04-17T20:33:05.405Z,171338598540500
"""shima @ dXZiiXY__q"" checks",2024-04-17T20:32:56.774Z,171338597677400
"Turn: 6♠, 3♥, 3♦ [7♥]",2024-04-17T20:32:54.724Z,171338597472400
"""dboy @ Dnl0RSM8vi"" checks",2024-04-17T20:32:53.911Z,171338597391100
"""shima @ dXZiiXY__q"" checks",2024-04-17T20:32:52.632Z,171338597263200
"Flop:  [6♠, 3♥, 3♦]",2024-04-17T20:32:50.956Z,171338597095600
"""shima @ dXZiiXY__q"" checks",2024-04-17T20:32:50.132Z,171338597013200
"""dboy @ Dnl0RSM8vi"" calls 200",2024-04-17T20:32:41.700Z,171338596170000
"""shima @ dXZiiXY__q"" posts a big blind of 200",2024-04-17T20:32:36.859Z,171338595685905
"""dboy @ Dnl0RSM8vi"" posts a small blind of 100",2024-04-17T20:32:36.859Z,171338595685904
"Player stacks: #1 ""dboy @ Dnl0RSM8vi"" (5500) | #3 ""shima @ dXZiiXY__q"" (2500)",2024-04-17T20:32:36.859Z,171338595685901
"-- starting hand #40 (id: zeq2h7nvpiat)  (No Limit Texas Hold'em) (dealer: ""dboy @ Dnl0RSM8vi"") --",2024-04-17T20:32:36.859Z,171338595685900
"-- ending hand #39 --",2024-04-17T20:32:30.829Z,171338595082901
"""shima @ dXZiiXY__q"" collected 2500 from pot with Two Pair, Q's & 2's (combination: Q♣, Q♥, 2♠, 2♦, K♥)",2024-04-17T20:32:30.829Z,171338595082900
"River: 2♠, 2♦, K♥, 7♣ [Q♥]",2024-04-17T20:32:26.822Z,171338594682200
"Turn: 2♠, 2♦, K♥ [7♣]",2024-04-17T20:32:22.783Z,171338594278300
"Flop:  [2♠, 2♦, K♥]",2024-04-17T20:32:18.777Z,171338593877700
"""shima @ dXZiiXY__q"" shows a J♦, Q♣.",2024-04-17T20:32:14.769Z,171338593476901
"""dboy @ Dnl0RSM8vi"" shows a 4♠, 4♣.",2024-04-17T20:32:14.769Z,171338593476900
"""shima @ dXZiiXY__q"" calls 1250 and go all in",2024-04-17T20:32:13.955Z,171338593395500
"""dboy @ Dnl0RSM8vi"" raises to 1250",2024-04-17T20:32:12.584Z,171338593258400
"""shima @ dXZiiXY__q"" raises to 400",2024-04-17T20:32:09.932Z,171338592993200
"""dboy @ Dnl0RSM8vi"" posts a big blind of 200",2024-04-17T20:32:07.204Z,171338592720405
"""shima @ dXZiiXY__q"" posts a small blind of 100",2024-04-17T20:32:07.204Z,171338592720404
"Player stacks: #1 ""dboy @ Dnl0RSM8vi"" (6750) | #3 ""shima @ dXZiiXY__q"" (1250)",2024-04-17T20:32:07.204Z,171338592720401
"-- starting hand #39 (id: sduv5xsesd0w)  (No Limit Texas Hold'em) (dealer: ""shima @ dXZiiXY__q"") --",2024-04-17T20:32:07.204Z,171338592720400
"-- ending hand #38 --",2024-04-17T20:32:04.296Z,171338592429602
"""dboy @ Dnl0RSM8vi"" collected 400 from pot",2024-04-17T20:32:04.296Z,171338592429601
"Uncalled bet of 300 returned to ""dboy @ Dnl0RSM8vi""",2024-04-17T20:32:04.296Z,171338592429600
"""shima @ dXZiiXY__q"" folds",2024-04-17T20:32:03.419Z,171338592341900
"""dboy @ Dnl0RSM8vi"" raises to 500",2024-04-17T20:32:02.480Z,171338592248000
"""shima @ dXZiiXY__q"" posts a big blind of 200",2024-04-17T20:31:55.119Z,171338591511905
"""dboy @ Dnl0RSM8vi"" posts a small blind of 100",2024-04-17T20:31:55.119Z,171338591511904
"Player stacks: #1 ""dboy @ Dnl0RSM8vi"" (6550) | #3 ""shima @ dXZiiXY__q"" (1450)",2024-04-17T20:31:55.119Z,171338591511901
"-- starting hand #38 (id: alu73wfel5zg)  (No Limit Texas Hold'em) (dealer: ""dboy @ Dnl0RSM8vi"") --",2024-04-17T20:31:55.119Z,171338591511900
"-- ending hand #37 --",2024-04-17T20:31:52.193Z,171338591219302
"""dboy @ Dnl0RSM8vi"" collected 200 from pot",2024-04-17T20:31:52.193Z,171338591219301
"Uncalled bet of 100 returned to ""dboy @ Dnl0RSM8vi""",2024-04-17T20:31:52.193Z,171338591219300
"""shima @ dXZiiXY__q"" folds",2024-04-17T20:31:51.380Z,171338591138000
"""dboy @ Dnl0RSM8vi"" posts a big blind of 200",2024-04-17T20:31:50.295Z,171338591029505
"""shima @ dXZiiXY__q"" posts a small blind of 100",2024-04-17T20:31:50.295Z,171338591029504
"Player stacks: #1 ""dboy @ Dnl0RSM8vi"" (6450) | #3 ""shima @ dXZiiXY__q"" (1550)",2024-04-17T20:31:50.295Z,171338591029501
"-- starting hand #37 (id: qmonyiahfz83)  (No Limit Texas Hold'em) (dealer: ""shima @ dXZiiXY__q"") --",2024-04-17T20:31:50.295Z,171338591029500
"-- ending hand #36 --",2024-04-17T20:31:47.328Z,171338590732802
"""dboy @ Dnl0RSM8vi"" collected 400 from pot",2024-04-17T20:31:47.328Z,171338590732801
"Uncalled bet of 200 returned to ""dboy @ Dnl0RSM8vi""",2024-04-17T20:31:47.328Z,171338590732800
"""shima @ dXZiiXY__q"" folds",2024-04-17T20:31:46.495Z,171338590649500
"""dboy @ Dnl0RSM8vi"" bets 200",2024-04-17T20:31:45.376Z,171338590537600
"""shima @ dXZiiXY__q"" checks",2024-04-17T20:31:41.572Z,171338590157200
"Flop:  [2♠, 4♣, 7♥]",2024-04-17T20:31:40.288Z,171338590028800
"""shima @ dXZiiXY__q"" checks",2024-04-17T20:31:39.413Z,171338589941300
"""dboy @ Dnl0RSM8vi"" calls 200",2024-04-17T20:31:38.400Z,171338589840000
"""shima @ dXZiiXY__q"" posts a big blind of 200",2024-04-17T20:31:35.385Z,171338589538505
"""dboy @ Dnl0RSM8vi"" posts a small blind of 100",2024-04-17T20:31:35.385Z,171338589538504
"Player stacks: #1 ""dboy @ Dnl0RSM8vi"" (6250) | #3 ""shima @ dXZiiXY__q"" (1750)",2024-04-17T20:31:35.385Z,171338589538501
"-- starting hand #36 (id: lyuv6kwvfxls)  (No Limit Texas Hold'em) (dealer: ""dboy @ Dnl0RSM8vi"") --",2024-04-17T20:31:35.385Z,171338589538500
"-- ending hand #35 --",2024-04-17T20:31:32.468Z,171338589246802
"""dboy @ Dnl0RSM8vi"" collected 200 from pot",2024-04-17T20:31:32.468Z,171338589246801
"Uncalled bet of 100 returned to ""dboy @ Dnl0RSM8vi""",2024-04-17T20:31:32.468Z,171338589246800
"""shima @ dXZiiXY__q"" folds",2024-04-17T20:31:31.653Z,171338589165300
"""dboy @ Dnl0RSM8vi"" posts a big blind of 200",2024-04-17T20:31:29.506Z,171338588950606
"""shima @ dXZiiXY__q"" posts a small blind of 100",2024-04-17T20:31:29.506Z,171338588950605
"Player stacks: #1 ""dboy @ Dnl0RSM8vi"" (6150) | #3 ""shima @ dXZiiXY__q"" (1850)",2024-04-17T20:31:29.506Z,171338588950602
"-- starting hand #35 (id: eevphinzwe0d)  (No Limit Texas Hold'em) (dealer: ""shima @ dXZiiXY__q"") --",2024-04-17T20:31:29.506Z,171338588950601
"The player ""BROSKI @ 2BGKSmmdRa"" quits the game with a stack of 0.",2024-04-17T20:31:29.506Z,171338588950600
"-- ending hand #34 --",2024-04-17T20:31:23.495Z,171338588349502
"""dboy @ Dnl0RSM8vi"" collected 350 from pot with Two Pair, A's & 2's (combination: A♥, A♣, 2♥, 2♠, 6♥)",2024-04-17T20:31:23.495Z,171338588349501
"""dboy @ Dnl0RSM8vi"" collected 75 from pot with Two Pair, A's & 2's (combination: A♥, A♣, 2♥, 2♠, 6♥)",2024-04-17T20:31:23.495Z,171338588349500
"River: 3♣, A♣, 2♥, 6♥ [2♠]",2024-04-17T20:31:19.489Z,171338587948900
"Turn: 3♣, A♣, 2♥ [6♥]",2024-04-17T20:31:15.486Z,171338587548600
"""BROSKI @ 2BGKSmmdRa"" shows a 9♦, 4♠.",2024-04-17T20:31:11.472Z,171338587147202
"""dboy @ Dnl0RSM8vi"" shows a A♥, 4♣.",2024-04-17T20:31:11.472Z,171338587147201
"Uncalled bet of 318 returned to ""dboy @ Dnl0RSM8vi""",2024-04-17T20:31:11.472Z,171338587147200
"""shima @ dXZiiXY__q"" folds",2024-04-17T20:31:10.650Z,171338587065000
"""dboy @ Dnl0RSM8vi"" bets 318",2024-04-17T20:31:09.677Z,171338586967700
"""shima @ dXZiiXY__q"" checks",2024-04-17T20:31:02.274Z,171338586227400
"Flop:  [3♣, A♣, 2♥]",2024-04-17T20:31:00.860Z,171338586086000
"""shima @ dXZiiXY__q"" calls 200",2024-04-17T20:31:00.044Z,171338586004400
"""dboy @ Dnl0RSM8vi"" calls 200",2024-04-17T20:30:57.655Z,171338585765500
"""BROSKI @ 2BGKSmmdRa"" posts a big blind of 25 and go all in ",2024-04-17T20:30:54.219Z,171338585421906
"""shima @ dXZiiXY__q"" posts a small blind of 100",2024-04-17T20:30:54.219Z,171338585421905
"Player stacks: #1 ""dboy @ Dnl0RSM8vi"" (5925) | #3 ""shima @ dXZiiXY__q"" (2050) | #4 ""BROSKI @ 2BGKSmmdRa"" (25)",2024-04-17T20:30:54.219Z,171338585421901
"-- starting hand #34 (id: hhxnzqulh3ks)  (No Limit Texas Hold'em) (dealer: ""dboy @ Dnl0RSM8vi"") --",2024-04-17T20:30:54.219Z,171338585421900
"-- ending hand #33 --",2024-04-17T20:30:51.302Z,171338585130202
"""dboy @ Dnl0RSM8vi"" collected 400 from pot",2024-04-17T20:30:51.302Z,171338585130201
"Uncalled bet of 200 returned to ""dboy @ Dnl0RSM8vi""",2024-04-17T20:30:51.302Z,171338585130200
"""shima @ dXZiiXY__q"" folds",2024-04-17T20:30:50.460Z,171338585046000
"""dboy @ Dnl0RSM8vi"" bets 200",2024-04-17T20:30:49.482Z,171338584948200
"River: 8♠, A♥, A♦, 6♦ [8♣]",2024-04-17T20:30:45.549Z,171338584554900
"""shima @ dXZiiXY__q"" checks",2024-04-17T20:30:44.715Z,171338584471500
"""dboy @ Dnl0RSM8vi"" checks",2024-04-17T20:30:43.312Z,171338584331200
"Turn: 8♠, A♥, A♦ [6♦]",2024-04-17T20:30:40.206Z,171338584020600
"""shima @ dXZiiXY__q"" checks",2024-04-17T20:30:39.365Z,171338583936500
"""dboy @ Dnl0RSM8vi"" checks",2024-04-17T20:30:38.335Z,171338583833500
"Flop:  [8♠, A♥, A♦]",2024-04-17T20:30:33.261Z,171338583326100
"""shima @ dXZiiXY__q"" checks",2024-04-17T20:30:32.454Z,171338583245400
"""dboy @ Dnl0RSM8vi"" calls 200",2024-04-17T20:30:29.302Z,171338582930200
"""BROSKI @ 2BGKSmmdRa"" folds",2024-04-17T20:30:22.949Z,171338582294909
"""shima @ dXZiiXY__q"" posts a big blind of 200",2024-04-17T20:30:22.949Z,171338582294908
"""dboy @ Dnl0RSM8vi"" posts a small blind of 100",2024-04-17T20:30:22.949Z,171338582294907
"Player stacks: #1 ""dboy @ Dnl0RSM8vi"" (5725) | #3 ""shima @ dXZiiXY__q"" (2250) | #4 ""BROSKI @ 2BGKSmmdRa"" (25)",2024-04-17T20:30:22.949Z,171338582294903
"-- starting hand #33 (id: v5zpmnb0qxd9)  (No Limit Texas Hold'em) (dealer: ""BROSKI @ 2BGKSmmdRa"") --",2024-04-17T20:30:22.949Z,171338582294902
"The game's big blind was changed from 150 to 200.",2024-04-17T20:30:22.949Z,171338582294901
"The game's small blind was changed from 75 to 100.",2024-04-17T20:30:22.949Z,171338582294900
"-- ending hand #32 --",2024-04-17T20:30:20.043Z,171338582004302
"""dboy @ Dnl0RSM8vi"" collected 2325 from pot",2024-04-17T20:30:20.043Z,171338582004301
"Uncalled bet of 2250 returned to ""dboy @ Dnl0RSM8vi""",2024-04-17T20:30:20.043Z,171338582004300
"""shima @ dXZiiXY__q"" folds",2024-04-17T20:30:19.187Z,171338581918700
"""dboy @ Dnl0RSM8vi"" bets 2250",2024-04-17T20:30:16.567Z,171338581656700
"Flop:  [9♠, J♣, 9♦]",2024-04-17T20:30:10.107Z,171338581010700
"""shima @ dXZiiXY__q"" calls 1125",2024-04-17T20:30:09.302Z,171338580930200
"""dboy @ Dnl0RSM8vi"" raises to 1125",2024-04-17T20:30:04.473Z,171338580447300
"""BROSKI @ 2BGKSmmdRa"" folds",2024-04-17T20:29:59.484Z,171338579948400
"""shima @ dXZiiXY__q"" raises to 300",2024-04-17T20:29:58.670Z,171338579867000
"""dboy @ Dnl0RSM8vi"" posts a big blind of 150",2024-04-17T20:29:56.202Z,171338579620206
"""BROSKI @ 2BGKSmmdRa"" posts a small blind of 75",2024-04-17T20:29:56.202Z,171338579620205
"Player stacks: #1 ""dboy @ Dnl0RSM8vi"" (4525) | #3 ""shima @ dXZiiXY__q"" (3375) | #4 ""BROSKI @ 2BGKSmmdRa"" (100)",2024-04-17T20:29:56.202Z,171338579620201
"-- starting hand #32 (id: 48nzwf3g2fps)  (No Limit Texas Hold'em) (dealer: ""shima @ dXZiiXY__q"") --",2024-04-17T20:29:56.202Z,171338579620200
"-- ending hand #31 --",2024-04-17T20:29:53.267Z,171338579326702
"""dboy @ Dnl0RSM8vi"" collected 450 from pot",2024-04-17T20:29:53.267Z,171338579326701
"Uncalled bet of 150 returned to ""dboy @ Dnl0RSM8vi""",2024-04-17T20:29:53.267Z,171338579326700
"""BROSKI @ 2BGKSmmdRa"" folds",2024-04-17T20:29:52.465Z,171338579246500
"""shima @ dXZiiXY__q"" folds",2024-04-17T20:29:51.659Z,171338579165900
"""dboy @ Dnl0RSM8vi"" bets 150",2024-04-17T20:29:50.574Z,171338579057400
"""BROSKI @ 2BGKSmmdRa"" checks",2024-04-17T20:29:44.192Z,171338578419200
"""shima @ dXZiiXY__q"" checks",2024-04-17T20:29:43.352Z,171338578335200
