entry,at,order
"The player ""Shipland1 @ H0jpzO5Rav"" quits the game with a stack of 8000.",2024-04-26T16:24:03.869Z,171414864386900
"The player ""BillHwang @ 1x-dFflqQr"" quits the game with a stack of 0.",2024-04-26T16:18:43.208Z,171414832320800
"-- ending hand #42 --",2024-04-26T16:18:37.183Z,171414831718301
"""Shipland1 @ H0jpzO5Rav"" collected 3676 from pot with Two Pair, K's & J's (combination: K♣, K♥, J♠, J♦, 10♥)",2024-04-26T16:18:37.183Z,171414831718300
"River: 4♦, J♠, 10♥, K♥ [J♦]",2024-04-26T16:18:33.110Z,171414831311000
"Turn: 4♦, J♠, 10♥ [K♥]",2024-04-26T16:18:29.096Z,171414830909600
"""BillHwang @ 1x-dFflqQr"" shows a 6♠, A♦.",2024-04-26T16:18:25.021Z,171414830502101
"""Shipland1 @ H0jpzO5Rav"" shows a 8♠, K♣.",2024-04-26T16:18:25.021Z,171414830502100
"""Shipland1 @ H0jpzO5Rav"" calls 1238",2024-04-26T16:18:24.205Z,171414830420500
"""BillHwang @ 1x-dFflqQr"" bets 1238 and go all in",2024-04-26T16:18:23.170Z,171414830317000
"Flop:  [4♦, J♠, 10♥]",2024-04-26T16:18:20.086Z,171414830008600
"""Shipland1 @ H0jpzO5Rav"" calls 600",2024-04-26T16:18:19.176Z,171414829917600
"""BillHwang @ 1x-dFflqQr"" raises to 600",2024-04-26T16:18:17.402Z,171414829740200
"""Shipland1 @ H0jpzO5Rav"" calls 200",2024-04-26T16:18:13.997Z,171414829399700
"""BillHwang @ 1x-dFflqQr"" posts a big blind of 200",2024-04-26T16:18:12.272Z,171414829227205
"""Shipland1 @ H0jpzO5Rav"" posts a small blind of 100",2024-04-26T16:18:12.272Z,171414829227204
"Player stacks: #4 ""Shipland1 @ H0jpzO5Rav"" (6162) | #5 ""BillHwang @ 1x-dFflqQr"" (1838)",2024-04-26T16:18:12.272Z,171414829227201
"-- starting hand #42 (id: 7gr3icnjhavw)  (No Limit Texas Hold'em) (dealer: ""Shipland1 @ H0jpzO5Rav"") --",2024-04-26T16:18:12.272Z,171414829227200
"-- ending hand #41 --",2024-04-26T16:18:09.270Z,171414828927002
"""BillHwang @ 1x-dFflqQr"" collected 1200 from pot",2024-04-26T16:18:09.270Z,171414828927001
"Uncalled bet of 638 returned to ""BillHwang @ 1x-dFflqQr""",2024-04-26T16:18:09.270Z,171414828927000
"""Shipland1 @ H0jpzO5Rav"" folds",2024-04-26T16:18:08.407Z,171414828840700
"""BillHwang @ 1x-dFflqQr"" bets 638 and go all in",2024-04-26T16:18:06.389Z,171414828638900
"""Shipland1 @ H0jpzO5Rav"" checks",2024-04-26T16:18:03.793Z,171414828379300
"Flop:  [3♦, 4♣, 7♦]",2024-04-26T16:18:00.842Z,171414828084200
"""Shipland1 @ H0jpzO5Rav"" calls 600",2024-04-26T16:17:59.949Z,171414827994900
"""BillHwang @ 1x-dFflqQr"" raises to 600",2024-04-26T16:17:54.042Z,171414827404200
"""Shipland1 @ H0jpzO5Rav"" posts a big blind of 200",2024-04-26T16:17:51.031Z,171414827103105
"""BillHwang @ 1x-dFflqQr"" posts a small blind of 100",2024-04-26T16:17:51.031Z,171414827103104
"Player stacks: #4 ""Shipland1 @ H0jpzO5Rav"" (6762) | #5 ""BillHwang @ 1x-dFflqQr"" (1238)",2024-04-26T16:17:51.031Z,171414827103101
"-- starting hand #41 (id: gr8jiekkwhan)  (No Limit Texas Hold'em) (dealer: ""BillHwang @ 1x-dFflqQr"") --",2024-04-26T16:17:51.031Z,171414827103100
"-- ending hand #40 --",2024-04-26T16:17:48.097Z,171414826809702
"""BillHwang @ 1x-dFflqQr"" collected 200 from pot",2024-04-26T16:17:48.097Z,171414826809701
"Uncalled bet of 100 returned to ""BillHwang @ 1x-dFflqQr""",2024-04-26T16:17:48.097Z,171414826809700
"""Shipland1 @ H0jpzO5Rav"" folds",2024-04-26T16:17:47.290Z,171414826729000
"""BillHwang @ 1x-dFflqQr"" posts a big blind of 200",2024-04-26T16:17:45.166Z,171414826516605
"""Shipland1 @ H0jpzO5Rav"" posts a small blind of 100",2024-04-26T16:17:45.166Z,171414826516604
"Player stacks: #4 ""Shipland1 @ H0jpzO5Rav"" (6862) | #5 ""BillHwang @ 1x-dFflqQr"" (1138)",2024-04-26T16:17:45.166Z,171414826516601
"-- starting hand #40 (id: lgxoehrtbjir)  (No Limit Texas Hold'em) (dealer: ""Shipland1 @ H0jpzO5Rav"") --",2024-04-26T16:17:45.166Z,171414826516600
"-- ending hand #39 --",2024-04-26T16:17:39.159Z,171414825915902
"""Shipland1 @ H0jpzO5Rav"" collected 800 from pot with Pair, 5's (combination: 5♠, 5♦, A♣, 9♦, 7♥)",2024-04-26T16:17:39.159Z,171414825915901
"""Shipland1 @ H0jpzO5Rav"" shows a A♣, 5♠.",2024-04-26T16:17:39.159Z,171414825915900
"""BillHwang @ 1x-dFflqQr"" calls 200",2024-04-26T16:17:38.349Z,171414825834900
"""Shipland1 @ H0jpzO5Rav"" bets 200",2024-04-26T16:17:37.318Z,171414825731800
"River: 9♦, 3♠, 7♥, 4♠ [5♦]",2024-04-26T16:17:35.050Z,171414825505000
"""BillHwang @ 1x-dFflqQr"" checks",2024-04-26T16:17:34.244Z,171414825424400
"""Shipland1 @ H0jpzO5Rav"" checks",2024-04-26T16:17:33.295Z,171414825329500
"Turn: 9♦, 3♠, 7♥ [4♠]",2024-04-26T16:17:31.374Z,171414825137400
"""BillHwang @ 1x-dFflqQr"" checks",2024-04-26T16:17:30.557Z,171414825055700
"""Shipland1 @ H0jpzO5Rav"" checks",2024-04-26T16:17:29.612Z,171414824961200
"Flop:  [9♦, 3♠, 7♥]",2024-04-26T16:17:27.363Z,171414824736300
"""Shipland1 @ H0jpzO5Rav"" checks",2024-04-26T16:17:26.504Z,171414824650400
"""BillHwang @ 1x-dFflqQr"" calls 200",2024-04-26T16:17:23.019Z,171414824301900
"""Shipland1 @ H0jpzO5Rav"" posts a big blind of 200",2024-04-26T16:17:20.631Z,171414824063106
"""BillHwang @ 1x-dFflqQr"" posts a small blind of 100",2024-04-26T16:17:20.631Z,171414824063105
"Player stacks: #4 ""Shipland1 @ H0jpzO5Rav"" (6462) | #5 ""BillHwang @ 1x-dFflqQr"" (1538)",2024-04-26T16:17:20.631Z,171414824063102
"-- starting hand #39 (id: xvl5yfroe2mb)  (No Limit Texas Hold'em) (dealer: ""BillHwang @ 1x-dFflqQr"") --",2024-04-26T16:17:20.631Z,171414824063101
"The player ""PokerLobo @ Hk6Ia_x0Hn"" quits the game with a stack of 0.",2024-04-26T16:17:20.631Z,171414824063100
"-- ending hand #38 --",2024-04-26T16:17:14.627Z,171414823462705
"""Shipland1 @ H0jpzO5Rav"" collected 236 from pot with Pair, 4's (combination: 4♠, 4♥, Q♣, J♠, 9♣)",2024-04-26T16:17:14.627Z,171414823462704
