entry,at,order
"The player ""Chubbs8 @ W3bjiNuazD"" quits the game with a stack of 7030.",2024-04-17T21:36:18.217Z,171338977821700
"The player ""jblvn @ D7EZCpTbav"" quits the game with a stack of 0.",2024-04-17T21:31:59.430Z,171338951943000
"-- ending hand #55 --",2024-04-17T21:31:53.366Z,171338951336601
"""Chubbs8 @ W3bjiNuazD"" collected 280 from pot with Two Pair, 9's & 8's (combination: 9♦, 9♥, 8♣, 8♥, A♦)",2024-04-17T21:31:53.366Z,171338951336600
"River: 3♥, A♦, 8♥, 10♠ [9♥]",2024-04-17T21:31:49.357Z,171338950935700
"Turn: 3♥, A♦, 8♥ [10♠]",2024-04-17T21:31:45.297Z,171338950529700
"Flop:  [3♥, A♦, 8♥]",2024-04-17T21:31:41.292Z,171338950129200
"""jblvn @ D7EZCpTbav"" shows a J♣, 3♦.",2024-04-17T21:31:37.285Z,171338949728502
"""Chubbs8 @ W3bjiNuazD"" shows a 9♦, 8♣.",2024-04-17T21:31:37.285Z,171338949728501
"Uncalled bet of 10 returned to ""Chubbs8 @ W3bjiNuazD""",2024-04-17T21:31:37.285Z,171338949728500
"""jblvn @ D7EZCpTbav"" posts a big blind of 140 and go all in ",2024-04-17T21:31:36.461Z,171338949646106
"""Chubbs8 @ W3bjiNuazD"" posts a small blind of 150",2024-04-17T21:31:36.461Z,171338949646105
"Player stacks: #4 ""Chubbs8 @ W3bjiNuazD"" (6890) | #8 ""jblvn @ D7EZCpTbav"" (140)",2024-04-17T21:31:36.461Z,171338949646102
"-- starting hand #55 (id: ngklulqw7zyv)  (No Limit Texas Hold'em) (dealer: ""Chubbs8 @ W3bjiNuazD"") --",2024-04-17T21:31:36.461Z,171338949646101
"The player ""brian1015jae @ rk6JeAA_6S"" quits the game with a stack of 0.",2024-04-17T21:31:36.461Z,171338949646100
"-- ending hand #54 --",2024-04-17T21:31:30.447Z,171338949044701
"""Chubbs8 @ W3bjiNuazD"" collected 2560 from pot with Two Pair, A's & K's (combination: A♣, A♦, K♦, K♣, 9♦)",2024-04-17T21:31:30.447Z,171338949044700
"River: 9♦, A♦, 9♠, 7♠ [K♣]",2024-04-17T21:31:26.442Z,171338948644200
"Turn: 9♦, A♦, 9♠ [7♠]",2024-04-17T21:31:22.439Z,171338948243900
"Flop:  [9♦, A♦, 9♠]",2024-04-17T21:31:18.432Z,171338947843200
"""Chubbs8 @ W3bjiNuazD"" shows a K♦, A♣.",2024-04-17T21:31:14.430Z,171338947443001
"""brian1015jae @ rk6JeAA_6S"" shows a 8♥, 8♣.",2024-04-17T21:31:14.430Z,171338947443000
"""Chubbs8 @ W3bjiNuazD"" calls 1130",2024-04-17T21:31:13.623Z,171338947362300
"""brian1015jae @ rk6JeAA_6S"" raises to 1130 and go all in",2024-04-17T21:31:06.587Z,171338946658700
"""jblvn @ D7EZCpTbav"" folds",2024-04-17T21:31:04.448Z,171338946444800
"""Chubbs8 @ W3bjiNuazD"" raises to 600",2024-04-17T21:30:58.196Z,171338945819600
"""brian1015jae @ rk6JeAA_6S"" calls 300",2024-04-17T21:30:54.668Z,171338945466800
"""jblvn @ D7EZCpTbav"" posts a big blind of 300",2024-04-17T21:30:51.087Z,171338945108706
"""Chubbs8 @ W3bjiNuazD"" posts a small blind of 150",2024-04-17T21:30:51.087Z,171338945108705
"Player stacks: #1 ""brian1015jae @ rk6JeAA_6S"" (1130) | #4 ""Chubbs8 @ W3bjiNuazD"" (5460) | #8 ""jblvn @ D7EZCpTbav"" (440)",2024-04-17T21:30:51.087Z,171338945108701
"-- starting hand #54 (id: tdtmehvg6ebk)  (No Limit Texas Hold'em) (dealer: ""brian1015jae @ rk6JeAA_6S"") --",2024-04-17T21:30:51.087Z,171338945108700
"-- ending hand #53 --",2024-04-17T21:30:48.113Z,171338944811302
"""Chubbs8 @ W3bjiNuazD"" collected 300 from pot",2024-04-17T21:30:48.113Z,171338944811301
"Uncalled bet of 150 returned to ""Chubbs8 @ W3bjiNuazD""",2024-04-17T21:30:48.113Z,171338944811300
"""brian1015jae @ rk6JeAA_6S"" folds",2024-04-17T21:30:47.282Z,171338944728200
"""jblvn @ D7EZCpTbav"" folds",2024-04-17T21:30:45.791Z,171338944579100
"""Chubbs8 @ W3bjiNuazD"" posts a big blind of 300",2024-04-17T21:30:43.311Z,171338944331106
"""brian1015jae @ rk6JeAA_6S"" posts a small blind of 150",2024-04-17T21:30:43.311Z,171338944331105
"Player stacks: #1 ""brian1015jae @ rk6JeAA_6S"" (1280) | #4 ""Chubbs8 @ W3bjiNuazD"" (5310) | #8 ""jblvn @ D7EZCpTbav"" (440)",2024-04-17T21:30:43.311Z,171338944331101
"-- starting hand #53 (id: ljw0g5gnqu0i)  (No Limit Texas Hold'em) (dealer: ""jblvn @ D7EZCpTbav"") --",2024-04-17T21:30:43.311Z,171338944331100
"-- ending hand #52 --",2024-04-17T21:30:37.306Z,171338943730601
"""jblvn @ D7EZCpTbav"" collected 440 from pot with Pair, 8's (combination: 8♥, 8♦, K♥, Q♥, 7♣)",2024-04-17T21:30:37.306Z,171338943730600
"River: 8♦, Q♥, 7♣, K♥ [4♣]",2024-04-17T21:30:33.280Z,171338943328000
"Turn: 8♦, Q♥, 7♣ [K♥]",2024-04-17T21:30:29.263Z,171338942926300
"Flop:  [8♦, Q♥, 7♣]",2024-04-17T21:30:25.258Z,171338942525800
"""jblvn @ D7EZCpTbav"" shows a 6♠, 8♥.",2024-04-17T21:30:21.254Z,171338942125402
"""brian1015jae @ rk6JeAA_6S"" shows a 5♥, 3♥.",2024-04-17T21:30:21.254Z,171338942125401
"Uncalled bet of 80 returned to ""brian1015jae @ rk6JeAA_6S""",2024-04-17T21:30:21.254Z,171338942125400
"""jblvn @ D7EZCpTbav"" calls 220 and go all in",2024-04-17T21:30:20.418Z,171338942041800
"""Chubbs8 @ W3bjiNuazD"" folds",2024-04-17T21:30:16.098Z,171338941609800
"""brian1015jae @ rk6JeAA_6S"" posts a big blind of 300",2024-04-17T21:30:14.469Z,171338941446908
"""jblvn @ D7EZCpTbav"" posts a small blind of 150",2024-04-17T21:30:14.469Z,171338941446907
"Player stacks: #1 ""brian1015jae @ rk6JeAA_6S"" (1500) | #4 ""Chubbs8 @ W3bjiNuazD"" (5310) | #8 ""jblvn @ D7EZCpTbav"" (220)",2024-04-17T21:30:14.469Z,171338941446903
"-- starting hand #52 (id: 8tfiqxdipbae)  (No Limit Texas Hold'em) (dealer: ""Chubbs8 @ W3bjiNuazD"") --",2024-04-17T21:30:14.469Z,171338941446902
"The game's big blind was changed from 200 to 300.",2024-04-17T21:30:14.469Z,171338941446901
"The game's small blind was changed from 100 to 150.",2024-04-17T21:30:14.469Z,171338941446900
"""brian1015jae @ rk6JeAA_6S"" shows a 3♠, A♦.",2024-04-17T21:30:09.680Z,171338940968000
"-- ending hand #51 --",2024-04-17T21:30:07.960Z,171338940796002
"""Chubbs8 @ W3bjiNuazD"" collected 2200 from pot with Straight, 5 High (combination: 5♠, 4♠, 3♦, 2♣, A♥)",2024-04-17T21:30:07.960Z,171338940796001
"""Chubbs8 @ W3bjiNuazD"" shows a 5♠, 3♦.",2024-04-17T21:30:07.960Z,171338940796000
"""brian1015jae @ rk6JeAA_6S"" calls 600",2024-04-17T21:30:07.103Z,171338940710300
"""Chubbs8 @ W3bjiNuazD"" bets 600",2024-04-17T21:30:04.927Z,171338940492700
"River: 4♠, 3♥, 2♣, A♥ [8♣]",2024-04-17T21:29:56.370Z,171338939637000
"""brian1015jae @ rk6JeAA_6S"" calls 200",2024-04-17T21:29:55.501Z,171338939550100
"""jblvn @ D7EZCpTbav"" folds",2024-04-17T21:29:47.983Z,171338938798300
"""Chubbs8 @ W3bjiNuazD"" bets 200",2024-04-17T21:29:42.169Z,171338938216900
"Turn: 4♠, 3♥, 2♣ [A♥]",2024-04-17T21:29:37.894Z,171338937789400
"""brian1015jae @ rk6JeAA_6S"" checks",2024-04-17T21:29:37.088Z,171338937708800
"""jblvn @ D7EZCpTbav"" checks",2024-04-17T21:29:31.747Z,171338937174700
"""Chubbs8 @ W3bjiNuazD"" checks",2024-04-17T21:29:23.620Z,171338936362000
"Flop:  [4♠, 3♥, 2♣]",2024-04-17T21:29:16.920Z,171338935692000
"""jblvn @ D7EZCpTbav"" checks",2024-04-17T21:29:16.107Z,171338935610700
"""Chubbs8 @ W3bjiNuazD"" calls 200",2024-04-17T21:29:10.712Z,171338935071200
"""brian1015jae @ rk6JeAA_6S"" calls 200",2024-04-17T21:29:09.689Z,171338934968900
"""jblvn @ D7EZCpTbav"" posts a big blind of 200",2024-04-17T21:29:07.667Z,171338934766706
"""Chubbs8 @ W3bjiNuazD"" posts a small blind of 100",2024-04-17T21:29:07.667Z,171338934766705
