entry,at,order
"The player ""Alex Starburns @ rT4CAYhtN-"" quits the game with a stack of 6000.",2024-04-26T17:11:40.551Z,171415150055100
"The player ""CD1 @ JyH_T37Xfx"" quits the game with a stack of 0.",2024-04-26T17:05:46.522Z,171415114652200
"-- ending hand #44 --",2024-04-26T17:05:40.499Z,171415114049901
"""Alex Starburns @ rT4CAYhtN-"" collected 160 from pot with Pair, 5's (combination: 5♠, 5♣, Q♠, J♠, 8♣)",2024-04-26T17:05:40.499Z,171415114049900
"River: 8♣, Q♠, 5♣, 4♣ [7♦]",2024-04-26T17:05:36.465Z,171415113646500
"Turn: 8♣, Q♠, 5♣ [4♣]",2024-04-26T17:05:32.455Z,171415113245500
"Flop:  [8♣, Q♠, 5♣]",2024-04-26T17:05:28.449Z,171415112844900
"""Alex Starburns @ rT4CAYhtN-"" shows a J♠, 5♠.",2024-04-26T17:05:24.443Z,171415112444302
"""CD1 @ JyH_T37Xfx"" shows a A♣, 10♥.",2024-04-26T17:05:24.443Z,171415112444301
"Uncalled bet of 20 returned to ""Alex Starburns @ rT4CAYhtN-""",2024-04-26T17:05:24.443Z,171415112444300
"""CD1 @ JyH_T37Xfx"" posts a big blind of 80 and go all in ",2024-04-26T17:05:23.548Z,171415112354806
"""Alex Starburns @ rT4CAYhtN-"" posts a small blind of 100",2024-04-26T17:05:23.548Z,171415112354805
"Player stacks: #3 ""CD1 @ JyH_T37Xfx"" (80) | #4 ""Alex Starburns @ rT4CAYhtN-"" (5920)",2024-04-26T17:05:23.548Z,171415112354802
"-- starting hand #44 (id: j9ixsekz7q06)  (No Limit Texas Hold'em) (dealer: ""Alex Starburns @ rT4CAYhtN-"") --",2024-04-26T17:05:23.548Z,171415112354801
"The player ""debussy @ UpDpmf5vIz"" quits the game with a stack of 0.",2024-04-26T17:05:23.548Z,171415112354800
"-- ending hand #43 --",2024-04-26T17:05:17.484Z,171415111748401
"""Alex Starburns @ rT4CAYhtN-"" collected 2640 from pot with Flush, As High (combination: A♠, Q♠, J♠, 8♠, 4♠)",2024-04-26T17:05:17.484Z,171415111748400
"River: 3♦, 4♠, Q♠, A♥ [8♠]",2024-04-26T17:05:13.476Z,171415111347600
"Turn: 3♦, 4♠, Q♠ [A♥]",2024-04-26T17:05:09.413Z,171415110941300
"""Alex Starburns @ rT4CAYhtN-"" shows a J♠, A♠.",2024-04-26T17:05:05.409Z,171415110540901
"""debussy @ UpDpmf5vIz"" shows a K♠, Q♦.",2024-04-26T17:05:05.409Z,171415110540900
"""Alex Starburns @ rT4CAYhtN-"" calls 320",2024-04-26T17:05:04.505Z,171415110450500
"""debussy @ UpDpmf5vIz"" raises to 320 and go all in",2024-04-26T17:05:02.960Z,171415110296000
"""Alex Starburns @ rT4CAYhtN-"" bets 200",2024-04-26T17:05:00.363Z,171415110036300
"Flop:  [3♦, 4♠, Q♠]",2024-04-26T17:04:58.194Z,171415109819400
"""Alex Starburns @ rT4CAYhtN-"" calls 1000",2024-04-26T17:04:57.358Z,171415109735800
"""debussy @ UpDpmf5vIz"" raises to 1000",2024-04-26T17:04:51.709Z,171415109170900
"""Alex Starburns @ rT4CAYhtN-"" raises to 400",2024-04-26T17:04:39.389Z,171415107938900
"""CD1 @ JyH_T37Xfx"" folds",2024-04-26T17:04:35.929Z,171415107592900
"""debussy @ UpDpmf5vIz"" posts a big blind of 200",2024-04-26T17:04:33.632Z,171415107363206
"""Alex Starburns @ rT4CAYhtN-"" posts a small blind of 100",2024-04-26T17:04:33.632Z,171415107363205
"Player stacks: #2 ""debussy @ UpDpmf5vIz"" (1320) | #3 ""CD1 @ JyH_T37Xfx"" (80) | #4 ""Alex Starburns @ rT4CAYhtN-"" (4600)",2024-04-26T17:04:33.632Z,171415107363201
"-- starting hand #43 (id: pffvqxuzorur)  (No Limit Texas Hold'em) (dealer: ""CD1 @ JyH_T37Xfx"") --",2024-04-26T17:04:33.632Z,171415107363200
"-- ending hand #42 --",2024-04-26T17:04:27.611Z,171415106761101
"""CD1 @ JyH_T37Xfx"" collected 80 from pot with Two Pair, J's & 7's (combination: J♣, J♠, 7♣, 7♥, 10♦)",2024-04-26T17:04:27.611Z,171415106761100
"River: 7♥, 5♠, 10♦, J♣ [J♠]",2024-04-26T17:04:23.599Z,171415106359900
"Turn: 7♥, 5♠, 10♦ [J♣]",2024-04-26T17:04:19.594Z,171415105959400
"Flop:  [7♥, 5♠, 10♦]",2024-04-26T17:04:15.583Z,171415105558300
"""Alex Starburns @ rT4CAYhtN-"" shows a 6♦, K♠.",2024-04-26T17:04:11.528Z,171415105152802
"""CD1 @ JyH_T37Xfx"" shows a 4♦, 7♣.",2024-04-26T17:04:11.528Z,171415105152801
"Uncalled bet of 160 returned to ""Alex Starburns @ rT4CAYhtN-""",2024-04-26T17:04:11.528Z,171415105152800
"""debussy @ UpDpmf5vIz"" folds",2024-04-26T17:04:10.718Z,171415105071800
"""Alex Starburns @ rT4CAYhtN-"" posts a big blind of 200",2024-04-26T17:04:01.280Z,171415104128008
"""CD1 @ JyH_T37Xfx"" posts a small blind of 40 and go all in ",2024-04-26T17:04:01.280Z,171415104128007
"Player stacks: #2 ""debussy @ UpDpmf5vIz"" (1320) | #3 ""CD1 @ JyH_T37Xfx"" (40) | #4 ""Alex Starburns @ rT4CAYhtN-"" (4640)",2024-04-26T17:04:01.280Z,171415104128003
"-- starting hand #42 (id: shfzdwnbqp9c)  (No Limit Texas Hold'em) (dealer: ""debussy @ UpDpmf5vIz"") --",2024-04-26T17:04:01.280Z,171415104128002
"The game's big blind was changed from 150 to 200.",2024-04-26T17:04:01.280Z,171415104128001
"The game's small blind was changed from 75 to 100.",2024-04-26T17:04:01.280Z,171415104128000
"-- ending hand #41 --",2024-04-26T17:03:55.251Z,171415103525101
"""debussy @ UpDpmf5vIz"" collected 1320 from pot with Pair, A's (combination: A♣, A♦, K♦, J♦, 6♣)",2024-04-26T17:03:55.251Z,171415103525100
"River: A♦, 4♣, 2♥, 6♣ [K♦]",2024-04-26T17:03:51.246Z,171415103124600
"Turn: A♦, 4♣, 2♥ [6♣]",2024-04-26T17:03:47.231Z,171415102723100
"Flop:  [A♦, 4♣, 2♥]",2024-04-26T17:03:43.223Z,171415102322300
"""CD1 @ JyH_T37Xfx"" shows a 7♥, 5♥.",2024-04-26T17:03:39.221Z,171415101922101
"""debussy @ UpDpmf5vIz"" shows a J♦, A♣.",2024-04-26T17:03:39.221Z,171415101922100
"""Alex Starburns @ rT4CAYhtN-"" folds",2024-04-26T17:03:38.377Z,171415101837700
"""CD1 @ JyH_T37Xfx"" calls 585",2024-04-26T17:03:33.857Z,171415101385700
"""debussy @ UpDpmf5vIz"" raises to 585 and go all in",2024-04-26T17:03:32.156Z,171415101215600
"""Alex Starburns @ rT4CAYhtN-"" calls 150",2024-04-26T17:03:24.049Z,171415100404900
"""CD1 @ JyH_T37Xfx"" posts a big blind of 150",2024-04-26T17:03:20.464Z,171415100046406
"""debussy @ UpDpmf5vIz"" posts a small blind of 75",2024-04-26T17:03:20.464Z,171415100046405
"Player stacks: #2 ""debussy @ UpDpmf5vIz"" (585) | #3 ""CD1 @ JyH_T37Xfx"" (625) | #4 ""Alex Starburns @ rT4CAYhtN-"" (4790)",2024-04-26T17:03:20.464Z,171415100046401
"-- starting hand #41 (id: yu1lafkbvxrb)  (No Limit Texas Hold'em) (dealer: ""Alex Starburns @ rT4CAYhtN-"") --",2024-04-26T17:03:20.464Z,171415100046400
"-- ending hand #40 --",2024-04-26T17:03:14.432Z,171415099443205
"""Alex Starburns @ rT4CAYhtN-"" collected 4790 from pot with Two Pair, K's & 4's (combination: K♣, K♥, 4♠, 4♦, J♥)",2024-04-26T17:03:14.432Z,171415099443204
"""Alex Starburns @ rT4CAYhtN-"" shows a K♣, 4♠.",2024-04-26T17:03:14.432Z,171415099443203
"""CD1 @ JyH_T37Xfx"" shows a Q♦, K♦.",2024-04-26T17:03:14.432Z,171415099443202
"""debussy @ UpDpmf5vIz"" collected 585 from pot with Flush, Kh High (combination: K♥, J♥, 10♥, 9♥, 8♥)",2024-04-26T17:03:14.432Z,171415099443201
"""debussy @ UpDpmf5vIz"" shows a 9♥, 10♥.",2024-04-26T17:03:14.432Z,171415099443200
"""Alex Starburns @ rT4CAYhtN-"" calls 2245 and go all in",2024-04-26T17:03:13.621Z,171415099362100
"""CD1 @ JyH_T37Xfx"" raises to 2245",2024-04-26T17:03:10.735Z,171415099073500
"""Alex Starburns @ rT4CAYhtN-"" bets 300",2024-04-26T17:03:07.621Z,171415098762100
"River: 8♥, J♥, 2♣, 4♦ [K♥]",2024-04-26T17:03:02.976Z,171415098297600
"""CD1 @ JyH_T37Xfx"" calls 150",2024-04-26T17:03:02.120Z,171415098212000
"""Alex Starburns @ rT4CAYhtN-"" bets 150",2024-04-26T17:02:58.492Z,171415097849200
"Turn: 8♥, J♥, 2♣ [4♦]",2024-04-26T17:02:51.439Z,171415097143900
"""Alex Starburns @ rT4CAYhtN-"" calls 45",2024-04-26T17:02:50.567Z,171415097056700
"""CD1 @ JyH_T37Xfx"" calls 45",2024-04-26T17:02:49.456Z,171415096945600
"""debussy @ UpDpmf5vIz"" bets 45 and go all in",2024-04-26T17:02:48.068Z,171415096806800
"""Alex Starburns @ rT4CAYhtN-"" checks",2024-04-26T17:02:45.118Z,171415096511800
"Flop:  [8♥, J♥, 2♣]",2024-04-26T17:02:42.710Z,171415096271000
"""debussy @ UpDpmf5vIz"" checks",2024-04-26T17:02:41.863Z,171415096186300
"""Alex Starburns @ rT4CAYhtN-"" calls 150",2024-04-26T17:02:32.679Z,171415095267900
"""CD1 @ JyH_T37Xfx"" calls 150",2024-04-26T17:02:30.858Z,171415095085800
"""debussy @ UpDpmf5vIz"" posts a big blind of 150",2024-04-26T17:02:27.738Z,171415094773806
"""Alex Starburns @ rT4CAYhtN-"" posts a small blind of 75",2024-04-26T17:02:27.738Z,171415094773805
"Player stacks: #2 ""debussy @ UpDpmf5vIz"" (195) | #3 ""CD1 @ JyH_T37Xfx"" (3215) | #4 ""Alex Starburns @ rT4CAYhtN-"" (2590)",2024-04-26T17:02:27.738Z,171415094773801
"-- starting hand #40 (id: 9rsw5wkehqu5)  (No Limit Texas Hold'em) (dealer: ""CD1 @ JyH_T37Xfx"") --",2024-04-26T17:02:27.738Z,171415094773800
"-- ending hand #39 --",2024-04-26T17:02:24.796Z,171415094479602
"""CD1 @ JyH_T37Xfx"" collected 300 from pot",2024-04-26T17:02:24.796Z,171415094479601
"Uncalled bet of 300 returned to ""CD1 @ JyH_T37Xfx""",2024-04-26T17:02:24.796Z,171415094479600
"""Alex Starburns @ rT4CAYhtN-"" folds",2024-04-26T17:02:23.950Z,171415094395000
"""CD1 @ JyH_T37Xfx"" raises to 450",2024-04-26T17:02:22.807Z,171415094280700
"""debussy @ UpDpmf5vIz"" folds",2024-04-26T17:02:18.082Z,171415093808200
"""Alex Starburns @ rT4CAYhtN-"" posts a big blind of 150",2024-04-26T17:02:09.042Z,171415092904206
"""CD1 @ JyH_T37Xfx"" posts a small blind of 75",2024-04-26T17:02:09.042Z,171415092904205
"Player stacks: #2 ""debussy @ UpDpmf5vIz"" (195) | #3 ""CD1 @ JyH_T37Xfx"" (3065) | #4 ""Alex Starburns @ rT4CAYhtN-"" (2740)",2024-04-26T17:02:09.042Z,171415092904201
"-- starting hand #39 (id: 9faqcusb113e)  (No Limit Texas Hold'em) (dealer: ""debussy @ UpDpmf5vIz"") --",2024-04-26T17:02:09.042Z,171415092904200
"-- ending hand #38 --",2024-04-26T17:02:03.019Z,171415092301902
