entry,at,order
"The player ""tms423 @ UNddA2Wojz"" quits the game with a stack of 6050.",2024-04-17T20:29:08.538Z,171338574853800
"The player ""Shipland1 @ H0jpzO5Rav"" quits the game with a stack of 0.",2024-04-17T20:23:18.476Z,171338539847600
"-- ending hand #47 --",2024-04-17T20:23:12.454Z,171338539245401
"""tms423 @ UNddA2Wojz"" collected 2310 from pot with Straight, 5 High (combination: 5♣, 4♠, 3♠, 2♣, A♦)",2024-04-17T20:23:12.454Z,171338539245400
"River: 3♠, 4♠, A♦, 2♣ [J♥]",2024-04-17T20:23:08.439Z,171338538843900
"Turn: 3♠, 4♠, A♦ [2♣]",2024-04-17T20:23:04.427Z,171338538442700
"Flop:  [3♠, 4♠, A♦]",2024-04-17T20:23:00.388Z,171338538038800
"""tms423 @ UNddA2Wojz"" shows a Q♣, 5♣.",2024-04-17T20:22:56.329Z,171338537632901
"""Shipland1 @ H0jpzO5Rav"" shows a 3♦, Q♦.",2024-04-17T20:22:56.329Z,171338537632900
"""Shipland1 @ H0jpzO5Rav"" calls 1155 and go all in",2024-04-17T20:22:55.473Z,171338537547300
"""tms423 @ UNddA2Wojz"" raises to 1155",2024-04-17T20:22:52.495Z,171338537249500
"""Shipland1 @ H0jpzO5Rav"" posts a big blind of 150",2024-04-17T20:22:50.518Z,171338537051805
"""tms423 @ UNddA2Wojz"" posts a small blind of 75",2024-04-17T20:22:50.518Z,171338537051804
"Player stacks: #1 ""Shipland1 @ H0jpzO5Rav"" (1155) | #5 ""tms423 @ UNddA2Wojz"" (4895)",2024-04-17T20:22:50.518Z,171338537051801
"-- starting hand #47 (id: nz7egacq1bzf)  (No Limit Texas Hold'em) (dealer: ""tms423 @ UNddA2Wojz"") --",2024-04-17T20:22:50.518Z,171338537051800
"-- ending hand #46 --",2024-04-17T20:22:47.556Z,171338536755602
"""Shipland1 @ H0jpzO5Rav"" collected 300 from pot",2024-04-17T20:22:47.556Z,171338536755601
"Uncalled bet of 855 returned to ""Shipland1 @ H0jpzO5Rav""",2024-04-17T20:22:47.556Z,171338536755600
"""tms423 @ UNddA2Wojz"" folds",2024-04-17T20:22:46.743Z,171338536674300
"""Shipland1 @ H0jpzO5Rav"" raises to 1005 and go all in",2024-04-17T20:22:43.953Z,171338536395300
"""tms423 @ UNddA2Wojz"" posts a big blind of 150",2024-04-17T20:22:39.248Z,171338535924805
"""Shipland1 @ H0jpzO5Rav"" posts a small blind of 75",2024-04-17T20:22:39.248Z,171338535924804
"Player stacks: #1 ""Shipland1 @ H0jpzO5Rav"" (1005) | #5 ""tms423 @ UNddA2Wojz"" (5045)",2024-04-17T20:22:39.248Z,171338535924801
"-- starting hand #46 (id: wayufysymt0y)  (No Limit Texas Hold'em) (dealer: ""Shipland1 @ H0jpzO5Rav"") --",2024-04-17T20:22:39.248Z,171338535924800
"-- ending hand #45 --",2024-04-17T20:22:36.307Z,171338535630702
"""Shipland1 @ H0jpzO5Rav"" collected 150 from pot",2024-04-17T20:22:36.307Z,171338535630701
"Uncalled bet of 75 returned to ""Shipland1 @ H0jpzO5Rav""",2024-04-17T20:22:36.307Z,171338535630700
"""tms423 @ UNddA2Wojz"" folds",2024-04-17T20:22:35.482Z,171338535548200
