entry,at,order
"The player ""Cael @ cfyx1uGNmM"" quits the game with a stack of 8000.",2024-04-26T18:15:46.602Z,171415534660200
"The player ""akq @ aho1Ke80_P"" quits the game with a stack of 0.",2024-04-26T18:10:09.450Z,171415500945000
"-- ending hand #53 --",2024-04-26T18:10:03.446Z,171415500344601
"""Cael @ cfyx1uGNmM"" collected 304 from pot with Straight, J High (combination: J♥, 10♥, 9♥, 8♥, 7♠)",2024-04-26T18:10:03.446Z,171415500344600
"River: 10♥, 3♦, 9♥, J♥ [8♣]",2024-04-26T18:09:59.429Z,171415499942900
"Turn: 10♥, 3♦, 9♥ [J♥]",2024-04-26T18:09:55.416Z,171415499541600
"Flop:  [10♥, 3♦, 9♥]",2024-04-26T18:09:51.392Z,171415499139200
"""Cael @ cfyx1uGNmM"" shows a 7♠, 8♥.",2024-04-26T18:09:47.357Z,171415498735702
"""akq @ aho1Ke80_P"" shows a 5♦, 2♦.",2024-04-26T18:09:47.357Z,171415498735701
"Uncalled bet of 98 returned to ""Cael @ cfyx1uGNmM""",2024-04-26T18:09:47.357Z,171415498735700
"""akq @ aho1Ke80_P"" posts a big blind of 152 and go all in ",2024-04-26T18:09:46.534Z,171415498653407
"""Cael @ cfyx1uGNmM"" posts a small blind of 250",2024-04-26T18:09:46.534Z,171415498653406
"Player stacks: #4 ""akq @ aho1Ke80_P"" (152) | #6 ""Cael @ cfyx1uGNmM"" (7848)",2024-04-26T18:09:46.534Z,171415498653403
"-- starting hand #53 (id: 8ijtqx0iqbie)  (No Limit Texas Hold'em) (dealer: ""Cael @ cfyx1uGNmM"") --",2024-04-26T18:09:46.534Z,171415498653402
"The game's big blind was changed from 300 to 500.",2024-04-26T18:09:46.534Z,171415498653401
"The game's small blind was changed from 150 to 250.",2024-04-26T18:09:46.534Z,171415498653400
"-- ending hand #52 --",2024-04-26T18:09:40.519Z,171415498051901
"""Cael @ cfyx1uGNmM"" collected 7848 from pot with Two Pair, J's & 7's (combination: J♣, J♥, 7♥, 7♦, Q♦)",2024-04-26T18:09:40.519Z,171415498051900
"River: J♥, Q♦, 4♣, 4♦ [7♦]",2024-04-26T18:09:36.512Z,171415497651200
"Turn: J♥, Q♦, 4♣ [4♦]",2024-04-26T18:09:32.501Z,171415497250100
"""Cael @ cfyx1uGNmM"" shows a 7♥, J♣.",2024-04-26T18:09:28.494Z,171415496849401
"""akq @ aho1Ke80_P"" shows a 6♣, A♠.",2024-04-26T18:09:28.494Z,171415496849400
"""Cael @ cfyx1uGNmM"" calls 3024 and go all in",2024-04-26T18:09:27.619Z,171415496761900
"""akq @ aho1Ke80_P"" bets 3024",2024-04-26T18:09:26.197Z,171415496619700
"""Cael @ cfyx1uGNmM"" checks",2024-04-26T18:09:21.171Z,171415496117100
"Flop:  [J♥, Q♦, 4♣]",2024-04-26T18:09:16.274Z,171415495627400
"""Cael @ cfyx1uGNmM"" calls 900",2024-04-26T18:09:15.435Z,171415495543500
"""akq @ aho1Ke80_P"" raises to 900",2024-04-26T18:09:13.043Z,171415495304300
"""Cael @ cfyx1uGNmM"" posts a big blind of 300",2024-04-26T18:09:05.151Z,171415494515105
"""akq @ aho1Ke80_P"" posts a small blind of 150",2024-04-26T18:09:05.151Z,171415494515104
"Player stacks: #4 ""akq @ aho1Ke80_P"" (4076) | #6 ""Cael @ cfyx1uGNmM"" (3924)",2024-04-26T18:09:05.151Z,171415494515101
