entry,at,order
"The player ""AbV @ mq_vGB-Xu6"" quits the game with a stack of 8000.",2024-04-17T20:17:23.983Z,171338504398300
"The player ""deech @ HCITKMF3z_"" quits the game with a stack of 0.",2024-04-17T20:11:29.906Z,171338468990600
"-- ending hand #28 --",2024-04-17T20:11:23.869Z,171338468386901
"""AbV @ mq_vGB-Xu6"" collected 40 from pot with Pair, 7's (combination: 7♥, 7♦, K♠, 10♦, 8♠)",2024-04-17T20:11:23.869Z,171338468386900
"River: 5♠, 7♥, 8♠, K♠ [7♦]",2024-04-17T20:11:19.850Z,171338467985000
"Turn: 5♠, 7♥, 8♠ [K♠]",2024-04-17T20:11:15.814Z,171338467581400
"Flop:  [5♠, 7♥, 8♠]",2024-04-17T20:11:11.775Z,171338467177500
"""AbV @ mq_vGB-Xu6"" shows a 10♦, 3♥.",2024-04-17T20:11:07.766Z,171338466776602
"""deech @ HCITKMF3z_"" shows a 3♦, 6♦.",2024-04-17T20:11:07.766Z,171338466776601
"Uncalled bet of 40 returned to ""AbV @ mq_vGB-Xu6""",2024-04-17T20:11:07.766Z,171338466776600
"""AbV @ mq_vGB-Xu6"" posts a big blind of 60",2024-04-17T20:11:06.914Z,171338466691405
"""deech @ HCITKMF3z_"" posts a small blind of 20 and go all in ",2024-04-17T20:11:06.914Z,171338466691404
"Player stacks: #1 ""deech @ HCITKMF3z_"" (20) | #2 ""AbV @ mq_vGB-Xu6"" (7980)",2024-04-17T20:11:06.914Z,171338466691401
"-- starting hand #28 (id: v6wmyl4qb9zn)  (No Limit Texas Hold'em) (dealer: ""deech @ HCITKMF3z_"") --",2024-04-17T20:11:06.914Z,171338466691400
"-- ending hand #27 --",2024-04-17T20:11:03.991Z,171338466399102
"""AbV @ mq_vGB-Xu6"" collected 120 from pot",2024-04-17T20:11:03.991Z,171338466399101
"Uncalled bet of 60 returned to ""AbV @ mq_vGB-Xu6""",2024-04-17T20:11:03.991Z,171338466399100
"""deech @ HCITKMF3z_"" folds",2024-04-17T20:11:03.152Z,171338466315200
"""AbV @ mq_vGB-Xu6"" bets 60",2024-04-17T20:11:02.350Z,171338466235000
"""deech @ HCITKMF3z_"" checks",2024-04-17T20:11:00.746Z,171338466074601
"Flop:  [2♥, J♥, J♦]",2024-04-17T20:11:00.746Z,171338466074600
"""deech @ HCITKMF3z_"" checks",2024-04-17T20:10:59.907Z,171338465990700
"""AbV @ mq_vGB-Xu6"" calls 60",2024-04-17T20:10:59.090Z,171338465909000
"""deech @ HCITKMF3z_"" posts a big blind of 60",2024-04-17T20:10:58.303Z,171338465830305
"""AbV @ mq_vGB-Xu6"" posts a small blind of 30",2024-04-17T20:10:58.303Z,171338465830304
"Player stacks: #1 ""deech @ HCITKMF3z_"" (80) | #2 ""AbV @ mq_vGB-Xu6"" (7920)",2024-04-17T20:10:58.303Z,171338465830301
"-- starting hand #27 (id: p3stg6a0o1fc)  (No Limit Texas Hold'em) (dealer: ""AbV @ mq_vGB-Xu6"") --",2024-04-17T20:10:58.303Z,171338465830300
"-- ending hand #26 --",2024-04-17T20:10:55.340Z,171338465534002
"""AbV @ mq_vGB-Xu6"" collected 60 from pot",2024-04-17T20:10:55.340Z,171338465534001
"Uncalled bet of 30 returned to ""AbV @ mq_vGB-Xu6""",2024-04-17T20:10:55.340Z,171338465534000
"""deech @ HCITKMF3z_"" folds",2024-04-17T20:10:54.498Z,171338465449806
"""AbV @ mq_vGB-Xu6"" posts a big blind of 60",2024-04-17T20:10:54.498Z,171338465449805
"""deech @ HCITKMF3z_"" posts a small blind of 30",2024-04-17T20:10:54.498Z,171338465449804
"Player stacks: #1 ""deech @ HCITKMF3z_"" (110) | #2 ""AbV @ mq_vGB-Xu6"" (7890)",2024-04-17T20:10:54.498Z,171338465449801
"-- starting hand #26 (id: irnwgu5qmfkj)  (No Limit Texas Hold'em) (dealer: ""deech @ HCITKMF3z_"") --",2024-04-17T20:10:54.498Z,171338465449800
"-- ending hand #25 --",2024-04-17T20:10:51.538Z,171338465153802
"""AbV @ mq_vGB-Xu6"" collected 120 from pot",2024-04-17T20:10:51.538Z,171338465153801
"Uncalled bet of 60 returned to ""AbV @ mq_vGB-Xu6""",2024-04-17T20:10:51.538Z,171338465153800
"""deech @ HCITKMF3z_"" folds",2024-04-17T20:10:50.699Z,171338465069900
"""AbV @ mq_vGB-Xu6"" bets 60",2024-04-17T20:10:49.876Z,171338464987600
"""deech @ HCITKMF3z_"" checks",2024-04-17T20:10:48.503Z,171338464850301
"Flop:  [Q♠, 5♦, 4♣]",2024-04-17T20:10:48.503Z,171338464850300
"""deech @ HCITKMF3z_"" checks",2024-04-17T20:10:47.693Z,171338464769300
"""AbV @ mq_vGB-Xu6"" calls 60",2024-04-17T20:10:46.823Z,171338464682300
"""deech @ HCITKMF3z_"" posts a big blind of 60",2024-04-17T20:10:46.017Z,171338464601705
"""AbV @ mq_vGB-Xu6"" posts a small blind of 30",2024-04-17T20:10:46.017Z,171338464601704
"Player stacks: #1 ""deech @ HCITKMF3z_"" (170) | #2 ""AbV @ mq_vGB-Xu6"" (7830)",2024-04-17T20:10:46.017Z,171338464601701
"-- starting hand #25 (id: qg1nubkjvoia)  (No Limit Texas Hold'em) (dealer: ""AbV @ mq_vGB-Xu6"") --",2024-04-17T20:10:46.017Z,171338464601700
"-- ending hand #24 --",2024-04-17T20:10:43.028Z,171338464302802
"""AbV @ mq_vGB-Xu6"" collected 60 from pot",2024-04-17T20:10:43.028Z,171338464302801
