entry,at,order
"The player ""zechbeans @ A_M3HHXQ0z"" quits the game with a stack of 5865.",2024-04-17T21:19:08.295Z,171338874829500
"The player ""✨EllaMika✨ @ FnEGiE4jbW"" quits the game with a stack of 0.",2024-04-17T21:13:26.253Z,171338840625300
"-- ending hand #40 --",2024-04-17T21:13:20.249Z,171338840024901
"""zechbeans @ A_M3HHXQ0z"" collected 140 from pot with Pair, 6's (combination: 6♦, 6♥, A♥, K♠, 7♣)",2024-04-17T21:13:20.249Z,171338840024900
"River: 6♥, 7♣, 2♣, A♥ [K♠]",2024-04-17T21:13:16.242Z,171338839624200
"Turn: 6♥, 7♣, 2♣ [A♥]",2024-04-17T21:13:12.221Z,171338839222100
"Flop:  [6♥, 7♣, 2♣]",2024-04-17T21:13:08.207Z,171338838820700
"""✨EllaMika✨ @ FnEGiE4jbW"" shows a 8♥, 5♣.",2024-04-17T21:13:04.202Z,171338838420202
"""zechbeans @ A_M3HHXQ0z"" shows a 6♦, 4♣.",2024-04-17T21:13:04.202Z,171338838420201
"Uncalled bet of 130 returned to ""zechbeans @ A_M3HHXQ0z""",2024-04-17T21:13:04.202Z,171338838420200
"""zechbeans @ A_M3HHXQ0z"" posts a big blind of 200",2024-04-17T21:13:03.347Z,171338838334705
"""✨EllaMika✨ @ FnEGiE4jbW"" posts a small blind of 70 and go all in ",2024-04-17T21:13:03.347Z,171338838334704
"Player stacks: #4 ""zechbeans @ A_M3HHXQ0z"" (5795) | #6 ""✨EllaMika✨ @ FnEGiE4jbW"" (70)",2024-04-17T21:13:03.347Z,171338838334701
"-- starting hand #40 (id: 6zrfr4dikksk)  (No Limit Texas Hold'em) (dealer: ""✨EllaMika✨ @ FnEGiE4jbW"") --",2024-04-17T21:13:03.347Z,171338838334700
"-- ending hand #39 --",2024-04-17T21:12:57.330Z,171338837733001
"""✨EllaMika✨ @ FnEGiE4jbW"" collected 70 from pot with Pair, 7's (combination: 7♥, 7♦, A♥, Q♠, J♣)",2024-04-17T21:12:57.330Z,171338837733000
"River: J♣, 7♥, 10♠, A♥ [7♦]",2024-04-17T21:12:53.324Z,171338837332400
"Turn: J♣, 7♥, 10♠ [A♥]",2024-04-17T21:12:49.317Z,171338836931700
"Flop:  [J♣, 7♥, 10♠]",2024-04-17T21:12:45.260Z,171338836526000
"""✨EllaMika✨ @ FnEGiE4jbW"" shows a 6♦, Q♠.",2024-04-17T21:12:41.255Z,171338836125502
"""zechbeans @ A_M3HHXQ0z"" shows a 6♠, 3♥.",2024-04-17T21:12:41.255Z,171338836125501
"Uncalled bet of 65 returned to ""zechbeans @ A_M3HHXQ0z""",2024-04-17T21:12:41.255Z,171338836125500
"""✨EllaMika✨ @ FnEGiE4jbW"" posts a big blind of 35 and go all in ",2024-04-17T21:12:40.427Z,171338836042705
"""zechbeans @ A_M3HHXQ0z"" posts a small blind of 100",2024-04-17T21:12:40.427Z,171338836042704
"Player stacks: #4 ""zechbeans @ A_M3HHXQ0z"" (5830) | #6 ""✨EllaMika✨ @ FnEGiE4jbW"" (35)",2024-04-17T21:12:40.427Z,171338836042701
"-- starting hand #39 (id: abia5jtwrwbr)  (No Limit Texas Hold'em) (dealer: ""zechbeans @ A_M3HHXQ0z"") --",2024-04-17T21:12:40.427Z,171338836042700
"-- ending hand #38 --",2024-04-17T21:12:37.510Z,171338835751002
