entry,at,order
"The player ""ChucklesPop @ twB4KTw-A9"" quits the game with a stack of 8000.",2024-04-17T20:18:02.475Z,171338508247500
"The player ""codeyu @ DJmgVyLga0"" quits the game with a stack of 0.",2024-04-17T20:12:35.678Z,171338475567800
"-- ending hand #48 --",2024-04-17T20:12:29.618Z,171338474961801
"""ChucklesPop @ twB4KTw-A9"" collected 1700 from pot with Two Pair, A's & 5's (combination: A♣, A♥, 5♣, 5♠, 10♠)",2024-04-17T20:12:29.618Z,171338474961800
"River: 5♠, 6♣, 10♠, A♥ [4♥]",2024-04-17T20:12:25.595Z,171338474559500
"Turn: 5♠, 6♣, 10♠ [A♥]",2024-04-17T20:12:21.587Z,171338474158700
"""ChucklesPop @ twB4KTw-A9"" shows a 5♣, A♣.",2024-04-17T20:12:17.545Z,171338473754501
"""codeyu @ DJmgVyLga0"" shows a K♦, 6♦.",2024-04-17T20:12:17.545Z,171338473754500
"""codeyu @ DJmgVyLga0"" calls 250 and go all in",2024-04-17T20:12:16.730Z,171338473673000
"""ChucklesPop @ twB4KTw-A9"" raises to 250",2024-04-17T20:12:15.719Z,171338473571900
"""codeyu @ DJmgVyLga0"" bets 200",2024-04-17T20:12:12.331Z,171338473233100
"Flop:  [5♠, 6♣, 10♠]",2024-04-17T20:12:11.198Z,171338473119800
"""codeyu @ DJmgVyLga0"" calls 600",2024-04-17T20:12:10.381Z,171338473038100
"""ChucklesPop @ twB4KTw-A9"" raises to 600",2024-04-17T20:12:09.415Z,171338472941500
"""codeyu @ DJmgVyLga0"" posts a big blind of 200",2024-04-17T20:12:05.331Z,171338472533105
"""ChucklesPop @ twB4KTw-A9"" posts a small blind of 100",2024-04-17T20:12:05.331Z,171338472533104
"Player stacks: #2 ""codeyu @ DJmgVyLga0"" (850) | #5 ""ChucklesPop @ twB4KTw-A9"" (7150)",2024-04-17T20:12:05.331Z,171338472533101
"-- starting hand #48 (id: zyclkcf1fbvq)  (No Limit Texas Hold'em) (dealer: ""ChucklesPop @ twB4KTw-A9"") --",2024-04-17T20:12:05.331Z,171338472533100
"-- ending hand #47 --",2024-04-17T20:12:02.391Z,171338472239102
"""codeyu @ DJmgVyLga0"" collected 400 from pot",2024-04-17T20:12:02.391Z,171338472239101
