entry,at,order
"The player ""aic @ oKzmrGv1VB"" quits the game with a stack of 5020.",2024-04-26T16:05:53.186Z,171414755318600
"The player ""Relin Teveril @ BoMMLEZh_X"" quits the game with a stack of 0.",2024-04-26T15:59:53.052Z,171414719305200
"-- ending hand #56 --",2024-04-26T15:59:47.039Z,171414718703901
"""aic @ oKzmrGv1VB"" collected 2080 from pot with Pair, A's (combination: A♦, A♠, J♣, 8♣, 6♦)",2024-04-26T15:59:47.039Z,171414718703900
"River: 6♦, 4♠, 2♠, 8♣ [A♠]",2024-04-26T15:59:43.013Z,171414718301300
"Turn: 6♦, 4♠, 2♠ [8♣]",2024-04-26T15:59:39.007Z,171414717900700
"Flop:  [6♦, 4♠, 2♠]",2024-04-26T15:59:35.004Z,171414717500400
"""Relin Teveril @ BoMMLEZh_X"" shows a K♠, 7♣.",2024-04-26T15:59:30.951Z,171414717095101
"""aic @ oKzmrGv1VB"" shows a A♦, J♣.",2024-04-26T15:59:30.951Z,171414717095100
"""aic @ oKzmrGv1VB"" calls 1040",2024-04-26T15:59:30.088Z,171414717008800
"""Relin Teveril @ BoMMLEZh_X"" raises to 1040 and go all in",2024-04-26T15:59:28.079Z,171414716807900
"""aic @ oKzmrGv1VB"" raises to 450",2024-04-26T15:59:26.149Z,171414716614900
"""Relin Teveril @ BoMMLEZh_X"" posts a big blind of 150",2024-04-26T15:59:22.073Z,171414716207305
"""aic @ oKzmrGv1VB"" posts a small blind of 75",2024-04-26T15:59:22.073Z,171414716207304
"Player stacks: #4 ""aic @ oKzmrGv1VB"" (3980) | #5 ""Relin Teveril @ BoMMLEZh_X"" (1040)",2024-04-26T15:59:22.073Z,171414716207301
"-- starting hand #56 (id: o4cdrwybyrjr)  (No Limit Texas Hold'em) (dealer: ""aic @ oKzmrGv1VB"") --",2024-04-26T15:59:22.073Z,171414716207300
"-- ending hand #55 --",2024-04-26T15:59:19.141Z,171414715914102
"""Relin Teveril @ BoMMLEZh_X"" collected 300 from pot",2024-04-26T15:59:19.141Z,171414715914101
"Uncalled bet of 150 returned to ""Relin Teveril @ BoMMLEZh_X""",2024-04-26T15:59:19.141Z,171414715914100
"""aic @ oKzmrGv1VB"" folds",2024-04-26T15:59:18.323Z,171414715832300
"""Relin Teveril @ BoMMLEZh_X"" raises to 300",2024-04-26T15:59:15.219Z,171414715521900
"""aic @ oKzmrGv1VB"" posts a big blind of 150",2024-04-26T15:59:12.667Z,171414715266705
"""Relin Teveril @ BoMMLEZh_X"" posts a small blind of 75",2024-04-26T15:59:12.667Z,171414715266704
"Player stacks: #4 ""aic @ oKzmrGv1VB"" (4130) | #5 ""Relin Teveril @ BoMMLEZh_X"" (890)",2024-04-26T15:59:12.667Z,171414715266701
"-- starting hand #55 (id: 2yzcfq9um9kt)  (No Limit Texas Hold'em) (dealer: ""Relin Teveril @ BoMMLEZh_X"") --",2024-04-26T15:59:12.667Z,171414715266700
"-- ending hand #54 --",2024-04-26T15:59:09.754Z,171414714975402
"""Relin Teveril @ BoMMLEZh_X"" collected 150 from pot",2024-04-26T15:59:09.754Z,171414714975401
"Uncalled bet of 75 returned to ""Relin Teveril @ BoMMLEZh_X""",2024-04-26T15:59:09.754Z,171414714975400
"""aic @ oKzmrGv1VB"" folds",2024-04-26T15:59:08.947Z,171414714894700
"""Relin Teveril @ BoMMLEZh_X"" posts a big blind of 150",2024-04-26T15:59:07.057Z,171414714705705
"""aic @ oKzmrGv1VB"" posts a small blind of 75",2024-04-26T15:59:07.057Z,171414714705704
"Player stacks: #4 ""aic @ oKzmrGv1VB"" (4205) | #5 ""Relin Teveril @ BoMMLEZh_X"" (815)",2024-04-26T15:59:07.057Z,171414714705701
"-- starting hand #54 (id: uuwaelljdhsk)  (No Limit Texas Hold'em) (dealer: ""aic @ oKzmrGv1VB"") --",2024-04-26T15:59:07.057Z,171414714705700
"-- ending hand #53 --",2024-04-26T15:59:04.136Z,171414714413602
