entry,at,order
"The player ""duceswild @ AMVS4nOdmL"" quits the game with a stack of 8000.",2024-04-26T20:03:09.943Z,171416178994300
"The player ""AleCs @ Vv9w5VLbH8"" quits the game with a stack of 0.",2024-04-26T19:57:15.824Z,171416143582400
"-- ending hand #35 --",2024-04-26T19:57:09.821Z,171416142982101
"""duceswild @ AMVS4nOdmL"" collected 6010 from pot with Pair, 7's (combination: 7♦, 7♥, A♥, 10♣, 8♣)",2024-04-26T19:57:09.821Z,171416142982100
"River: 10♣, 8♣, 7♥, 3♠ [4♣]",2024-04-26T19:57:05.802Z,171416142580200
"""duceswild @ AMVS4nOdmL"" shows a 7♦, A♥.",2024-04-26T19:57:01.761Z,171416142176101
"""AleCs @ Vv9w5VLbH8"" shows a J♠, 2♦.",2024-04-26T19:57:01.761Z,171416142176100
"""duceswild @ AMVS4nOdmL"" calls 1505",2024-04-26T19:57:00.910Z,171416142091000
"""AleCs @ Vv9w5VLbH8"" bets 1505 and go all in",2024-04-26T19:56:59.505Z,171416141950500
"Turn: 10♣, 8♣, 7♥ [3♠]",2024-04-26T19:56:54.924Z,171416141492400
"""duceswild @ AMVS4nOdmL"" calls 1300",2024-04-26T19:56:54.077Z,171416141407700
"""AleCs @ Vv9w5VLbH8"" raises to 1300",2024-04-26T19:56:50.635Z,171416141063500
"""duceswild @ AMVS4nOdmL"" bets 400",2024-04-26T19:56:45.799Z,171416140579900
"""AleCs @ Vv9w5VLbH8"" checks",2024-04-26T19:56:39.687Z,171416139968700
"Flop:  [10♣, 8♣, 7♥]",2024-04-26T19:56:36.179Z,171416139617900
"""AleCs @ Vv9w5VLbH8"" checks",2024-04-26T19:56:35.318Z,171416139531800
"""duceswild @ AMVS4nOdmL"" calls 200",2024-04-26T19:56:33.582Z,171416139358200
"""AleCs @ Vv9w5VLbH8"" posts a big blind of 200",2024-04-26T19:56:31.596Z,171416139159605
"""duceswild @ AMVS4nOdmL"" posts a small blind of 100",2024-04-26T19:56:31.596Z,171416139159604
"Player stacks: #4 ""AleCs @ Vv9w5VLbH8"" (3005) | #6 ""duceswild @ AMVS4nOdmL"" (4995)",2024-04-26T19:56:31.596Z,171416139159601
"-- starting hand #35 (id: ggcgdoqohtrz)  (No Limit Texas Hold'em) (dealer: ""duceswild @ AMVS4nOdmL"") --",2024-04-26T19:56:31.596Z,171416139159600
"-- ending hand #34 --",2024-04-26T19:56:28.653Z,171416138865302
"""duceswild @ AMVS4nOdmL"" collected 800 from pot",2024-04-26T19:56:28.653Z,171416138865301
"Uncalled bet of 400 returned to ""duceswild @ AMVS4nOdmL""",2024-04-26T19:56:28.653Z,171416138865300
"""AleCs @ Vv9w5VLbH8"" folds",2024-04-26T19:56:27.847Z,171416138784700
"""duceswild @ AMVS4nOdmL"" bets 400",2024-04-26T19:56:19.759Z,171416137975900
"Flop:  [Q♣, 6♥, 6♦]",2024-04-26T19:56:11.689Z,171416137168900
"""AleCs @ Vv9w5VLbH8"" calls 400",2024-04-26T19:56:10.862Z,171416137086200
"""duceswild @ AMVS4nOdmL"" raises to 400",2024-04-26T19:56:09.688Z,171416136968800
"""AleCs @ Vv9w5VLbH8"" calls 200",2024-04-26T19:56:05.277Z,171416136527700
"""duceswild @ AMVS4nOdmL"" posts a big blind of 200",2024-04-26T19:55:57.763Z,171416135776306
"""AleCs @ Vv9w5VLbH8"" posts a small blind of 100",2024-04-26T19:55:57.763Z,171416135776305
"Player stacks: #4 ""AleCs @ Vv9w5VLbH8"" (3405) | #6 ""duceswild @ AMVS4nOdmL"" (4595)",2024-04-26T19:55:57.763Z,171416135776302
"-- starting hand #34 (id: a4mhwlhn0af2)  (No Limit Texas Hold'em) (dealer: ""AleCs @ Vv9w5VLbH8"") --",2024-04-26T19:55:57.763Z,171416135776301
"The player ""Solpport @ -fUdsSEFxs"" quits the game with a stack of 0.",2024-04-26T19:55:57.763Z,171416135776300
"-- ending hand #33 --",2024-04-26T19:55:51.756Z,171416135175603
"""Solpport @ -fUdsSEFxs"" shows a 8♥, 9♥.",2024-04-26T19:55:51.756Z,171416135175602
"""AleCs @ Vv9w5VLbH8"" collected 2445 from pot with Pair, J's (combination: J♦, J♠, Q♣, 9♦, 7♣)",2024-04-26T19:55:51.756Z,171416135175601
"""AleCs @ Vv9w5VLbH8"" shows a J♦, J♠.",2024-04-26T19:55:51.756Z,171416135175600
"""duceswild @ AMVS4nOdmL"" checks",2024-04-26T19:55:50.952Z,171416135095200
"""AleCs @ Vv9w5VLbH8"" checks",2024-04-26T19:55:49.538Z,171416134953800
"River: 2♣, 9♦, 7♣, Q♣ [6♠]",2024-04-26T19:55:48.176Z,171416134817600
"""duceswild @ AMVS4nOdmL"" checks",2024-04-26T19:55:47.366Z,171416134736600
"""AleCs @ Vv9w5VLbH8"" checks",2024-04-26T19:55:45.324Z,171416134532400
"Turn: 2♣, 9♦, 7♣ [Q♣]",2024-04-26T19:55:43.500Z,171416134350000
"""duceswild @ AMVS4nOdmL"" calls 415",2024-04-26T19:55:42.641Z,171416134264100
"""AleCs @ Vv9w5VLbH8"" calls 415",2024-04-26T19:55:40.979Z,171416134097900
"""Solpport @ -fUdsSEFxs"" raises to 415 and go all in",2024-04-26T19:55:35.171Z,171416133517100
"""duceswild @ AMVS4nOdmL"" calls 200",2024-04-26T19:55:32.908Z,171416133290800
"""AleCs @ Vv9w5VLbH8"" bets 200",2024-04-26T19:55:29.281Z,171416132928100
"""Solpport @ -fUdsSEFxs"" checks",2024-04-26T19:55:27.198Z,171416132719800
"Flop:  [2♣, 9♦, 7♣]",2024-04-26T19:55:24.961Z,171416132496100
"""Solpport @ -fUdsSEFxs"" calls 400",2024-04-26T19:55:24.114Z,171416132411400
"""duceswild @ AMVS4nOdmL"" calls 400",2024-04-26T19:55:21.632Z,171416132163200
"""AleCs @ Vv9w5VLbH8"" raises to 400",2024-04-26T19:55:18.832Z,171416131883200
"""Solpport @ -fUdsSEFxs"" calls 200",2024-04-26T19:55:15.403Z,171416131540300
"""duceswild @ AMVS4nOdmL"" calls 200",2024-04-26T19:55:08.900Z,171416130890000
"""AleCs @ Vv9w5VLbH8"" posts a big blind of 200",2024-04-26T19:55:06.174Z,171416130617406
"""Solpport @ -fUdsSEFxs"" posts a small blind of 100",2024-04-26T19:55:06.174Z,171416130617405
"Player stacks: #4 ""AleCs @ Vv9w5VLbH8"" (1775) | #6 ""duceswild @ AMVS4nOdmL"" (5410) | #8 ""Solpport @ -fUdsSEFxs"" (815)",2024-04-26T19:55:06.174Z,171416130617401
"-- starting hand #33 (id: ram6kzh3vu5y)  (No Limit Texas Hold'em) (dealer: ""duceswild @ AMVS4nOdmL"") --",2024-04-26T19:55:06.174Z,171416130617400
"-- ending hand #32 --",2024-04-26T19:55:00.131Z,171416130013104
"""Solpport @ -fUdsSEFxs"" shows a Q♣, K♦.",2024-04-26T19:55:00.131Z,171416130013103
"""duceswild @ AMVS4nOdmL"" shows a 2♠, K♥.",2024-04-26T19:55:00.131Z,171416130013102
"""AleCs @ Vv9w5VLbH8"" collected 600 from pot with Two Pair, 5's & 4's (combination: 5♣, 5♠, 4♠, 4♣, A♣)",2024-04-26T19:55:00.131Z,171416130013101
"""AleCs @ Vv9w5VLbH8"" shows a A♣, 7♣.",2024-04-26T19:55:00.131Z,171416130013100
"""AleCs @ Vv9w5VLbH8"" checks",2024-04-26T19:54:59.264Z,171416129926400
"""Solpport @ -fUdsSEFxs"" checks",2024-04-26T19:54:55.275Z,171416129527500
"""duceswild @ AMVS4nOdmL"" checks",2024-04-26T19:54:52.084Z,171416129208400
"River: 4♠, 6♥, 4♣, 5♣ [5♠]",2024-04-26T19:54:48.622Z,171416128862200
"""AleCs @ Vv9w5VLbH8"" checks",2024-04-26T19:54:47.808Z,171416128780800
"""Solpport @ -fUdsSEFxs"" checks",2024-04-26T19:54:45.677Z,171416128567700
"""duceswild @ AMVS4nOdmL"" checks",2024-04-26T19:54:39.814Z,171416127981400
"Turn: 4♠, 6♥, 4♣ [5♣]",2024-04-26T19:54:34.910Z,171416127491000
"""AleCs @ Vv9w5VLbH8"" checks",2024-04-26T19:54:34.069Z,171416127406900
"""Solpport @ -fUdsSEFxs"" checks",2024-04-26T19:54:31.422Z,171416127142200
"""duceswild @ AMVS4nOdmL"" checks",2024-04-26T19:54:22.398Z,171416126239800
"Flop:  [4♠, 6♥, 4♣]",2024-04-26T19:54:17.694Z,171416125769400
"""Solpport @ -fUdsSEFxs"" checks",2024-04-26T19:54:16.847Z,171416125684700
"""duceswild @ AMVS4nOdmL"" calls 200",2024-04-26T19:54:00.994Z,171416124099400
"""AleCs @ Vv9w5VLbH8"" calls 200",2024-04-26T19:53:54.142Z,171416123414200
"""Solpport @ -fUdsSEFxs"" posts a big blind of 200",2024-04-26T19:53:48.954Z,171416122895408
"""duceswild @ AMVS4nOdmL"" posts a small blind of 100",2024-04-26T19:53:48.954Z,171416122895407
"Player stacks: #4 ""AleCs @ Vv9w5VLbH8"" (1375) | #6 ""duceswild @ AMVS4nOdmL"" (5610) | #8 ""Solpport @ -fUdsSEFxs"" (1015)",2024-04-26T19:53:48.954Z,171416122895403
"-- starting hand #32 (id: 44yexv7ye7ty)  (No Limit Texas Hold'em) (dealer: ""AleCs @ Vv9w5VLbH8"") --",2024-04-26T19:53:48.954Z,171416122895402
"The game's big blind was changed from 150 to 200.",2024-04-26T19:53:48.954Z,171416122895401
"The game's small blind was changed from 75 to 100.",2024-04-26T19:53:48.954Z,171416122895400
"-- ending hand #31 --",2024-04-26T19:53:46.007Z,171416122600702
"""AleCs @ Vv9w5VLbH8"" collected 450 from pot",2024-04-26T19:53:46.007Z,171416122600701
"Uncalled bet of 150 returned to ""AleCs @ Vv9w5VLbH8""",2024-04-26T19:53:46.007Z,171416122600700
"""Solpport @ -fUdsSEFxs"" folds",2024-04-26T19:53:45.194Z,171416122519400
"""duceswild @ AMVS4nOdmL"" folds",2024-04-26T19:53:44.317Z,171416122431700
"""AleCs @ Vv9w5VLbH8"" bets 150",2024-04-26T19:53:38.003Z,171416121800300
"Turn: 9♥, 10♠, K♦ [8♥]",2024-04-26T19:53:35.612Z,171416121561200
"""Solpport @ -fUdsSEFxs"" checks",2024-04-26T19:53:34.776Z,171416121477600
"""duceswild @ AMVS4nOdmL"" checks",2024-04-26T19:53:33.928Z,171416121392800
"""AleCs @ Vv9w5VLbH8"" checks",2024-04-26T19:53:31.010Z,171416121101000
"Flop:  [9♥, 10♠, K♦]",2024-04-26T19:53:24.926Z,171416120492600
"""duceswild @ AMVS4nOdmL"" checks",2024-04-26T19:53:24.101Z,171416120410100
"""AleCs @ Vv9w5VLbH8"" calls 150",2024-04-26T19:53:16.814Z,171416119681400
"""Solpport @ -fUdsSEFxs"" calls 150",2024-04-26T19:53:13.999Z,171416119399900
"""duceswild @ AMVS4nOdmL"" posts a big blind of 150",2024-04-26T19:53:04.287Z,171416118428706
"""AleCs @ Vv9w5VLbH8"" posts a small blind of 75",2024-04-26T19:53:04.287Z,171416118428705
"Player stacks: #4 ""AleCs @ Vv9w5VLbH8"" (1075) | #6 ""duceswild @ AMVS4nOdmL"" (5760) | #8 ""Solpport @ -fUdsSEFxs"" (1165)",2024-04-26T19:53:04.287Z,171416118428701
"-- starting hand #31 (id: ipy0xsy6wb2p)  (No Limit Texas Hold'em) (dealer: ""Solpport @ -fUdsSEFxs"") --",2024-04-26T19:53:04.287Z,171416118428700
"-- ending hand #30 --",2024-04-26T19:53:01.370Z,171416118137002
"""Solpport @ -fUdsSEFxs"" collected 300 from pot",2024-04-26T19:53:01.370Z,171416118137001
"Uncalled bet of 150 returned to ""Solpport @ -fUdsSEFxs""",2024-04-26T19:53:01.370Z,171416118137000
"""AleCs @ Vv9w5VLbH8"" folds",2024-04-26T19:53:00.564Z,171416118056400
"""Solpport @ -fUdsSEFxs"" bets 150",2024-04-26T19:52:52.347Z,171416117234700
"Flop:  [6♦, K♦, J♦]",2024-04-26T19:52:47.354Z,171416116735400
"""AleCs @ Vv9w5VLbH8"" checks",2024-04-26T19:52:46.456Z,171416116645600
"""Solpport @ -fUdsSEFxs"" calls 150",2024-04-26T19:52:45.446Z,171416116544600
"""duceswild @ AMVS4nOdmL"" folds",2024-04-26T19:52:44.603Z,171416116460300
"""AleCs @ Vv9w5VLbH8"" posts a big blind of 150",2024-04-26T19:52:34.358Z,171416115435807
"""Solpport @ -fUdsSEFxs"" posts a small blind of 75",2024-04-26T19:52:34.358Z,171416115435806
"Player stacks: #4 ""AleCs @ Vv9w5VLbH8"" (1225) | #6 ""duceswild @ AMVS4nOdmL"" (5760) | #8 ""Solpport @ -fUdsSEFxs"" (1015)",2024-04-26T19:52:34.358Z,171416115435802
"-- starting hand #30 (id: rhwnden5vj3q)  (No Limit Texas Hold'em) (dealer: ""duceswild @ AMVS4nOdmL"") --",2024-04-26T19:52:34.358Z,171416115435801
"The player ""Shipland1 @ H0jpzO5Rav"" quits the game with a stack of 0.",2024-04-26T19:52:34.358Z,171416115435800
"-- ending hand #29 --",2024-04-26T19:52:28.355Z,171416114835501
"""AleCs @ Vv9w5VLbH8"" collected 885 from pot with Two Pair, A's & 9's (combination: A♦, A♠, 9♦, 9♣, Q♠)",2024-04-26T19:52:28.355Z,171416114835500
"River: Q♠, 9♦, J♦, 6♦ [9♣]",2024-04-26T19:52:24.328Z,171416114432800
"Turn: Q♠, 9♦, J♦ [6♦]",2024-04-26T19:52:20.321Z,171416114032100
"Flop:  [Q♠, 9♦, J♦]",2024-04-26T19:52:16.306Z,171416113630600
"""AleCs @ Vv9w5VLbH8"" shows a A♦, A♠.",2024-04-26T19:52:12.294Z,171416113229402
"""Shipland1 @ H0jpzO5Rav"" shows a Q♥, K♠.",2024-04-26T19:52:12.294Z,171416113229401
"Uncalled bet of 340 returned to ""AleCs @ Vv9w5VLbH8""",2024-04-26T19:52:12.294Z,171416113229400
"""Solpport @ -fUdsSEFxs"" folds",2024-04-26T19:52:11.488Z,171416113148800
"""duceswild @ AMVS4nOdmL"" folds",2024-04-26T19:52:10.614Z,171416113061400
"""AleCs @ Vv9w5VLbH8"" raises to 670 and go all in",2024-04-26T19:52:03.255Z,171416112325500
"""Shipland1 @ H0jpzO5Rav"" raises to 330 and go all in",2024-04-26T19:52:00.413Z,171416112041300
"""Solpport @ -fUdsSEFxs"" posts a big blind of 150",2024-04-26T19:51:50.103Z,171416111010307
"""duceswild @ AMVS4nOdmL"" posts a small blind of 75",2024-04-26T19:51:50.103Z,171416111010306
"Player stacks: #3 ""Shipland1 @ H0jpzO5Rav"" (330) | #4 ""AleCs @ Vv9w5VLbH8"" (670) | #6 ""duceswild @ AMVS4nOdmL"" (5835) | #8 ""Solpport @ -fUdsSEFxs"" (1165)",2024-04-26T19:51:50.103Z,171416111010301
"-- starting hand #29 (id: u9mxcnvrypmf)  (No Limit Texas Hold'em) (dealer: ""AleCs @ Vv9w5VLbH8"") --",2024-04-26T19:51:50.103Z,171416111010300
"-- ending hand #28 --",2024-04-26T19:51:44.086Z,171416110408603
"""AleCs @ Vv9w5VLbH8"" shows a K♣, A♠.",2024-04-26T19:51:44.086Z,171416110408602
"""duceswild @ AMVS4nOdmL"" collected 3200 from pot with Flush, Ks High (combination: K♠, 10♠, 7♠, 6♠, 2♠)",2024-04-26T19:51:44.086Z,171416110408601
"""duceswild @ AMVS4nOdmL"" shows a 10♠, 2♠.",2024-04-26T19:51:44.086Z,171416110408600
"""duceswild @ AMVS4nOdmL"" calls 1000",2024-04-26T19:51:43.257Z,171416110325700
"""AleCs @ Vv9w5VLbH8"" raises to 1000",2024-04-26T19:51:41.413Z,171416110141300
"""duceswild @ AMVS4nOdmL"" bets 300",2024-04-26T19:51:36.648Z,171416109664800
"""AleCs @ Vv9w5VLbH8"" checks",2024-04-26T19:51:29.951Z,171416108995100
"River: K♠, 6♠, 9♦, Q♣ [7♠]",2024-04-26T19:51:22.457Z,171416108245700
"""duceswild @ AMVS4nOdmL"" calls 300",2024-04-26T19:51:21.591Z,171416108159100
"""AleCs @ Vv9w5VLbH8"" bets 300",2024-04-26T19:51:19.545Z,171416107954500
"Turn: K♠, 6♠, 9♦ [Q♣]",2024-04-26T19:51:12.035Z,171416107203500
"""duceswild @ AMVS4nOdmL"" calls 150",2024-04-26T19:51:11.198Z,171416107119800
"""AleCs @ Vv9w5VLbH8"" bets 150",2024-04-26T19:51:06.475Z,171416106647500
"Flop:  [K♠, 6♠, 9♦]",2024-04-26T19:51:02.596Z,171416106259600
"""duceswild @ AMVS4nOdmL"" checks",2024-04-26T19:51:01.721Z,171416106172100
"""AleCs @ Vv9w5VLbH8"" calls 150",2024-04-26T19:50:55.271Z,171416105527100
"""Shipland1 @ H0jpzO5Rav"" folds",2024-04-26T19:50:50.931Z,171416105093100
"""Solpport @ -fUdsSEFxs"" folds",2024-04-26T19:50:49.544Z,171416104954400
"""duceswild @ AMVS4nOdmL"" posts a big blind of 150",2024-04-26T19:50:48.265Z,171416104826507
"""AleCs @ Vv9w5VLbH8"" posts a small blind of 75",2024-04-26T19:50:48.265Z,171416104826506
"Player stacks: #3 ""Shipland1 @ H0jpzO5Rav"" (330) | #4 ""AleCs @ Vv9w5VLbH8"" (2270) | #6 ""duceswild @ AMVS4nOdmL"" (4235) | #8 ""Solpport @ -fUdsSEFxs"" (1165)",2024-04-26T19:50:48.265Z,171416104826501
"-- starting hand #28 (id: d6vbm9hl614r)  (No Limit Texas Hold'em) (dealer: ""Shipland1 @ H0jpzO5Rav"") --",2024-04-26T19:50:48.265Z,171416104826500
"""AleCs @ Vv9w5VLbH8"" shows a 8♠, 3♦.",2024-04-26T19:50:45.936Z,171416104593600
"-- ending hand #27 --",2024-04-26T19:50:44.657Z,171416104465702
"""Solpport @ -fUdsSEFxs"" collected 375 from pot",2024-04-26T19:50:44.657Z,171416104465701
"Uncalled bet of 150 returned to ""Solpport @ -fUdsSEFxs""",2024-04-26T19:50:44.657Z,171416104465700
"""AleCs @ Vv9w5VLbH8"" folds",2024-04-26T19:50:43.815Z,171416104381500
"""Solpport @ -fUdsSEFxs"" bets 150",2024-04-26T19:50:42.167Z,171416104216700
"""AleCs @ Vv9w5VLbH8"" checks",2024-04-26T19:50:39.488Z,171416103948800
"Turn: 10♦, 2♦, Q♠ [4♠]",2024-04-26T19:50:37.560Z,171416103756000
"""Solpport @ -fUdsSEFxs"" checks",2024-04-26T19:50:36.691Z,171416103669100
"""AleCs @ Vv9w5VLbH8"" checks",2024-04-26T19:50:34.724Z,171416103472400
"Flop:  [10♦, 2♦, Q♠]",2024-04-26T19:50:30.768Z,171416103076800
"""AleCs @ Vv9w5VLbH8"" checks",2024-04-26T19:50:29.948Z,171416102994800
"""Shipland1 @ H0jpzO5Rav"" folds",2024-04-26T19:50:28.970Z,171416102897000
"""Solpport @ -fUdsSEFxs"" calls 150",2024-04-26T19:50:27.995Z,171416102799500
"""duceswild @ AMVS4nOdmL"" folds",2024-04-26T19:50:25.119Z,171416102511900
"""AleCs @ Vv9w5VLbH8"" posts a big blind of 150",2024-04-26T19:50:21.264Z,171416102126407
"""Shipland1 @ H0jpzO5Rav"" posts a small blind of 75",2024-04-26T19:50:21.264Z,171416102126406
"Player stacks: #3 ""Shipland1 @ H0jpzO5Rav"" (405) | #4 ""AleCs @ Vv9w5VLbH8"" (2420) | #6 ""duceswild @ AMVS4nOdmL"" (4235) | #8 ""Solpport @ -fUdsSEFxs"" (940)",2024-04-26T19:50:21.264Z,171416102126401
"-- starting hand #27 (id: 4em3rfqtxzen)  (No Limit Texas Hold'em) (dealer: ""Solpport @ -fUdsSEFxs"") --",2024-04-26T19:50:21.264Z,171416102126400
"-- ending hand #26 --",2024-04-26T19:50:15.259Z,171416101525903
"""Shipland1 @ H0jpzO5Rav"" shows a 2♠, A♥.",2024-04-26T19:50:15.259Z,171416101525902
"""AleCs @ Vv9w5VLbH8"" collected 2420 from pot with Flush, Ac High (combination: A♣, K♣, Q♣, 9♣, 3♣)",2024-04-26T19:50:15.259Z,171416101525901
"""AleCs @ Vv9w5VLbH8"" shows a 9♣, K♣.",2024-04-26T19:50:15.259Z,171416101525900
"""Shipland1 @ H0jpzO5Rav"" calls 385",2024-04-26T19:50:14.418Z,171416101441800
"""AleCs @ Vv9w5VLbH8"" bets 385 and go all in",2024-04-26T19:50:12.592Z,171416101259200
"""Shipland1 @ H0jpzO5Rav"" checks",2024-04-26T19:50:07.048Z,171416100704800
"River: 8♥, A♣, 3♣, Q♣ [6♥]",2024-04-26T19:50:05.224Z,171416100522400
"""Shipland1 @ H0jpzO5Rav"" calls 300",2024-04-26T19:50:04.414Z,171416100441400
"""AleCs @ Vv9w5VLbH8"" bets 300",2024-04-26T19:50:03.353Z,171416100335300
"""Shipland1 @ H0jpzO5Rav"" checks",2024-04-26T19:49:59.200Z,171416099920000
"Turn: 8♥, A♣, 3♣ [Q♣]",2024-04-26T19:49:57.362Z,171416099736200
"""Shipland1 @ H0jpzO5Rav"" calls 300",2024-04-26T19:49:56.549Z,171416099654900
"""Solpport @ -fUdsSEFxs"" folds",2024-04-26T19:49:51.353Z,171416099135300
"""AleCs @ Vv9w5VLbH8"" raises to 300",2024-04-26T19:49:50.466Z,171416099046600
"""Shipland1 @ H0jpzO5Rav"" bets 150",2024-04-26T19:49:47.588Z,171416098758800
"""Solpport @ -fUdsSEFxs"" checks",2024-04-26T19:49:43.431Z,171416098343100
"Flop:  [8♥, A♣, 3♣]",2024-04-26T19:49:41.085Z,171416098108500
"""Shipland1 @ H0jpzO5Rav"" checks",2024-04-26T19:49:40.282Z,171416098028200
"""Solpport @ -fUdsSEFxs"" calls 150",2024-04-26T19:49:37.671Z,171416097767100
"""duceswild @ AMVS4nOdmL"" folds",2024-04-26T19:49:36.797Z,171416097679700
