entry,at,order
"The player ""az505 @ bapGZYUk_z"" quits the game with a stack of 7000.",2024-04-17T21:32:43.378Z,171338956337800
"The player ""mori2627 @ THzJmqlswQ"" quits the game with a stack of 0.",2024-04-17T21:27:06.201Z,171338922620100
"-- ending hand #72 --",2024-04-17T21:27:00.192Z,171338922019201
"""az505 @ bapGZYUk_z"" collected 3360 from pot with Pair, 6's (combination: 6♥, 6♠, K♦, Q♥, J♥)",2024-04-17T21:27:00.192Z,171338922019200
"River: 4♣, 7♠, 6♠, K♦ [Q♥]",2024-04-17T21:26:56.188Z,171338921618800
"Turn: 4♣, 7♠, 6♠ [K♦]",2024-04-17T21:26:52.134Z,171338921213400
"Flop:  [4♣, 7♠, 6♠]",2024-04-17T21:26:48.131Z,171338920813100
"""az505 @ bapGZYUk_z"" shows a J♥, 6♥.",2024-04-17T21:26:44.126Z,171338920412601
"""mori2627 @ THzJmqlswQ"" shows a A♠, 9♦.",2024-04-17T21:26:44.126Z,171338920412600
"""az505 @ bapGZYUk_z"" calls 1680",2024-04-17T21:26:43.319Z,171338920331900
"""mori2627 @ THzJmqlswQ"" raises to 1680 and go all in",2024-04-17T21:26:40.577Z,171338920057700
"""az505 @ bapGZYUk_z"" posts a big blind of 300",2024-04-17T21:26:35.964Z,171338919596405
"""mori2627 @ THzJmqlswQ"" posts a small blind of 150",2024-04-17T21:26:35.964Z,171338919596404
"Player stacks: #4 ""mori2627 @ THzJmqlswQ"" (1680) | #5 ""az505 @ bapGZYUk_z"" (5320)",2024-04-17T21:26:35.964Z,171338919596401
"-- starting hand #72 (id: 1dmzhtaevgzy)  (No Limit Texas Hold'em) (dealer: ""mori2627 @ THzJmqlswQ"") --",2024-04-17T21:26:35.964Z,171338919596400
"-- ending hand #71 --",2024-04-17T21:26:29.956Z,171338918995603
"""mori2627 @ THzJmqlswQ"" shows a 4♥, 5♣.",2024-04-17T21:26:29.956Z,171338918995602
"""az505 @ bapGZYUk_z"" collected 5320 from pot with Three of a Kind, 7's (combination: 7♣, 7♥, 7♠, A♥, J♥)",2024-04-17T21:26:29.956Z,171338918995601
"""az505 @ bapGZYUk_z"" shows a 7♣, A♥.",2024-04-17T21:26:29.956Z,171338918995600
"""mori2627 @ THzJmqlswQ"" calls 1760",2024-04-17T21:26:29.129Z,171338918912900
"""az505 @ bapGZYUk_z"" raises to 1760 and go all in",2024-04-17T21:26:22.162Z,171338918216200
"""mori2627 @ THzJmqlswQ"" bets 300",2024-04-17T21:26:17.392Z,171338917739200
"River: 2♥, 4♣, 7♥, J♥ [7♠]",2024-04-17T21:26:12.349Z,171338917234900
"""az505 @ bapGZYUk_z"" calls 300",2024-04-17T21:26:11.530Z,171338917153000
"""mori2627 @ THzJmqlswQ"" bets 300",2024-04-17T21:26:08.259Z,171338916825900
"Turn: 2♥, 4♣, 7♥ [J♥]",2024-04-17T21:26:06.034Z,171338916603400
"""az505 @ bapGZYUk_z"" calls 300",2024-04-17T21:26:05.147Z,171338916514700
"""mori2627 @ THzJmqlswQ"" bets 300",2024-04-17T21:26:02.205Z,171338916220500
"Flop:  [2♥, 4♣, 7♥]",2024-04-17T21:25:57.842Z,171338915784200
"""mori2627 @ THzJmqlswQ"" checks",2024-04-17T21:25:57.039Z,171338915703900
"""az505 @ bapGZYUk_z"" calls 300",2024-04-17T21:25:52.990Z,171338915299000
"""mori2627 @ THzJmqlswQ"" posts a big blind of 300",2024-04-17T21:25:49.996Z,171338914999605
"""az505 @ bapGZYUk_z"" posts a small blind of 150",2024-04-17T21:25:49.996Z,171338914999604
"Player stacks: #4 ""mori2627 @ THzJmqlswQ"" (4340) | #5 ""az505 @ bapGZYUk_z"" (2660)",2024-04-17T21:25:49.996Z,171338914999601
"-- starting hand #71 (id: zze6gfya3mld)  (No Limit Texas Hold'em) (dealer: ""az505 @ bapGZYUk_z"") --",2024-04-17T21:25:49.996Z,171338914999600
"-- ending hand #70 --",2024-04-17T21:25:47.032Z,171338914703202
"""az505 @ bapGZYUk_z"" collected 600 from pot",2024-04-17T21:25:47.032Z,171338914703201
"Uncalled bet of 2060 returned to ""az505 @ bapGZYUk_z""",2024-04-17T21:25:47.032Z,171338914703200
"""mori2627 @ THzJmqlswQ"" folds",2024-04-17T21:25:46.204Z,171338914620400
"""az505 @ bapGZYUk_z"" raises to 2360 and go all in",2024-04-17T21:25:37.727Z,171338913772700
"""mori2627 @ THzJmqlswQ"" calls 300",2024-04-17T21:25:35.110Z,171338913511000
"""az505 @ bapGZYUk_z"" posts a big blind of 300",2024-04-17T21:25:30.417Z,171338913041705
"""mori2627 @ THzJmqlswQ"" posts a small blind of 150",2024-04-17T21:25:30.417Z,171338913041704
"Player stacks: #4 ""mori2627 @ THzJmqlswQ"" (4640) | #5 ""az505 @ bapGZYUk_z"" (2360)",2024-04-17T21:25:30.417Z,171338913041701
