entry,at,order
"""654life @ 8X5wErE5hF"" folds",2023-12-30T06:12:40.564Z,170391676056400
"""Kundanxp @ q6xTVpKITQ"" folds",2023-12-30T06:12:39.435Z,170391675943500
"""Lizzo's Thong @ 3AVENFGb_0"" calls 40",2023-12-30T06:12:38.359Z,170391675835900
"""RedgHawk @ St3Ml17rQh"" posts a big blind of 40",2023-12-30T06:12:35.639Z,170391675563909
"""654life @ 8X5wErE5hF"" posts a small blind of 20",2023-12-30T06:12:35.639Z,170391675563908
"Player stacks: #1 ""654life @ 8X5wErE5hF"" (1400) | #2 ""RedgHawk @ St3Ml17rQh"" (2940) | #3 ""Lizzo's Thong @ 3AVENFGb_0"" (720) | #5 ""Kundanxp @ q6xTVpKITQ"" (940)",2023-12-30T06:12:35.639Z,170391675563903
"-- starting hand #7 (id: mplf6wumajrn)  (No Limit Texas Hold'em) (dead button) --",2023-12-30T06:12:35.639Z,170391675563902
"The player ""smashthategg @ nL7UOwiHi4"" quits the game with a stack of 0.",2023-12-30T06:12:35.639Z,170391675563901
"The player ""Cocksy @ E_Qpj1ZDpu"" quits the game with a stack of 0.",2023-12-30T06:12:35.639Z,170391675563900
"-- ending hand #6 --",2023-12-30T06:12:29.629Z,170391674962902
"""RedgHawk @ St3Ml17rQh"" collected 1500 from pot with Two Pair, 10's & 9's (combination: 10♥, 10♦, 9♥, 9♠, K♦)",2023-12-30T06:12:29.629Z,170391674962901
"""RedgHawk @ St3Ml17rQh"" collected 1250 from pot with Two Pair, 10's & 9's (combination: 10♥, 10♦, 9♥, 9♠, K♦)",2023-12-30T06:12:29.629Z,170391674962900
"River: 9♥, 10♦, 2♦, 9♠ [3♦]",2023-12-30T06:12:25.622Z,170391674562200
"Turn: 9♥, 10♦, 2♦ [9♠]",2023-12-30T06:12:21.612Z,170391674161200
"""Cocksy @ E_Qpj1ZDpu"" shows a J♦, K♣.",2023-12-30T06:12:17.561Z,170391673756102
"""smashthategg @ nL7UOwiHi4"" shows a Q♠, K♥.",2023-12-30T06:12:17.561Z,170391673756101
"""RedgHawk @ St3Ml17rQh"" shows a 10♥, K♦.",2023-12-30T06:12:17.561Z,170391673756100
"""Cocksy @ E_Qpj1ZDpu"" calls 70 and go all in",2023-12-30T06:12:16.741Z,170391673674100
"""smashthategg @ nL7UOwiHi4"" calls 820 and go all in",2023-12-30T06:12:15.415Z,170391673541500
"""Lizzo's Thong @ 3AVENFGb_0"" folds",2023-12-30T06:12:00.792Z,170391672079200
"""RedgHawk @ St3Ml17rQh"" bets 820",2023-12-30T06:11:58.991Z,170391671899100
"""Cocksy @ E_Qpj1ZDpu"" checks",2023-12-30T06:11:53.770Z,170391671377000
"Flop:  [9♥, 10♦, 2♦]",2023-12-30T06:11:45.275Z,170391670527500
"""Lizzo's Thong @ 3AVENFGb_0"" calls 250",2023-12-30T06:11:44.425Z,170391670442500
"""RedgHawk @ St3Ml17rQh"" calls 250",2023-12-30T06:11:40.962Z,170391670096200
"""654life @ 8X5wErE5hF"" folds",2023-12-30T06:11:38.387Z,170391669838700
"""Cocksy @ E_Qpj1ZDpu"" calls 250",2023-12-30T06:11:34.235Z,170391669423500
"""Kundanxp @ q6xTVpKITQ"" folds",2023-12-30T06:11:32.952Z,170391669295200
"""smashthategg @ nL7UOwiHi4"" raises to 250",2023-12-30T06:11:30.974Z,170391669097400
"""Lizzo's Thong @ 3AVENFGb_0"" calls 40",2023-12-30T06:11:17.819Z,170391667781900
"""RedgHawk @ St3Ml17rQh"" calls 40",2023-12-30T06:11:15.980Z,170391667598000
"""654life @ 8X5wErE5hF"" posts a big blind of 40",2023-12-30T06:11:13.084Z,170391667308411
"""Cocksy @ E_Qpj1ZDpu"" posts a small blind of 20",2023-12-30T06:11:13.084Z,170391667308410
"Your hand is Q♠, K♥",2023-12-30T06:11:13.084Z,170391667308407
"Player stacks: #1 ""654life @ 8X5wErE5hF"" (1440) | #2 ""RedgHawk @ St3Ml17rQh"" (1260) | #3 ""Lizzo's Thong @ 3AVENFGb_0"" (970) | #4 ""smashthategg @ nL7UOwiHi4"" (1070) | #5 ""Kundanxp @ q6xTVpKITQ"" (940) | #6 ""Cocksy @ E_Qpj1ZDpu"" (320)",2023-12-30T06:11:13.084Z,170391667308403
"-- starting hand #6 (id: lrdnzjirv1ap)  (No Limit Texas Hold'em) (dealer: ""Kundanxp @ q6xTVpKITQ"") --",2023-12-30T06:11:13.084Z,170391667308402
"The game's big blind was changed from 20 to 40.",2023-12-30T06:11:13.084Z,170391667308401
"The game's small blind was changed from 10 to 20.",2023-12-30T06:11:13.084Z,170391667308400
"-- ending hand #5 --",2023-12-30T06:11:10.095Z,170391667009502
"""smashthategg @ nL7UOwiHi4"" collected 160 from pot",2023-12-30T06:11:10.095Z,170391667009501
"Uncalled bet of 320 returned to ""smashthategg @ nL7UOwiHi4""",2023-12-30T06:11:10.095Z,170391667009500
"""Cocksy @ E_Qpj1ZDpu"" folds",2023-12-30T06:11:09.274Z,170391666927400
"""smashthategg @ nL7UOwiHi4"" bets 320",2023-12-30T06:11:07.112Z,170391666711200
"""Cocksy @ E_Qpj1ZDpu"" checks",2023-12-30T06:10:44.986Z,170391664498600
"Turn: 2♦, A♦, 10♦ [8♠]",2023-12-30T06:10:36.233Z,170391663623300
"""RedgHawk @ St3Ml17rQh"" folds",2023-12-30T06:10:35.410Z,170391663541000
"""Cocksy @ E_Qpj1ZDpu"" calls 40",2023-12-30T06:10:34.321Z,170391663432100
"""Kundanxp @ q6xTVpKITQ"" folds",2023-12-30T06:10:33.051Z,170391663305100
"""smashthategg @ nL7UOwiHi4"" bets 40",2023-12-30T06:10:29.104Z,170391662910400
"""RedgHawk @ St3Ml17rQh"" checks",2023-12-30T06:10:25.284Z,170391662528400
"""Cocksy @ E_Qpj1ZDpu"" checks",2023-12-30T06:10:22.711Z,170391662271100
"""Kundanxp @ q6xTVpKITQ"" checks",2023-12-30T06:10:20.680Z,170391662068000
"Flop:  [2♦, A♦, 10♦]",2023-12-30T06:10:17.326Z,170391661732600
"""Cocksy @ E_Qpj1ZDpu"" checks",2023-12-30T06:10:16.518Z,170391661651800
"""Kundanxp @ q6xTVpKITQ"" calls 20",2023-12-30T06:10:15.228Z,170391661522800
"""smashthategg @ nL7UOwiHi4"" calls 20",2023-12-30T06:10:13.693Z,170391661369300
"""Lizzo's Thong @ 3AVENFGb_0"" folds",2023-12-30T06:10:08.987Z,170391660898700
"""RedgHawk @ St3Ml17rQh"" calls 20",2023-12-30T06:10:07.144Z,170391660714400
"""654life @ 8X5wErE5hF"" folds",2023-12-30T06:10:03.238Z,170391660323800
"""Cocksy @ E_Qpj1ZDpu"" posts a big blind of 20",2023-12-30T06:10:00.679Z,170391660067909
"""Kundanxp @ q6xTVpKITQ"" posts a small blind of 10",2023-12-30T06:10:00.679Z,170391660067908
"Your hand is Q♦, 10♥",2023-12-30T06:10:00.679Z,170391660067905
"Player stacks: #1 ""654life @ 8X5wErE5hF"" (1440) | #2 ""RedgHawk @ St3Ml17rQh"" (1280) | #3 ""Lizzo's Thong @ 3AVENFGb_0"" (970) | #4 ""smashthategg @ nL7UOwiHi4"" (970) | #5 ""Kundanxp @ q6xTVpKITQ"" (960) | #6 ""Cocksy @ E_Qpj1ZDpu"" (380)",2023-12-30T06:10:00.679Z,170391660067901
"-- starting hand #5 (id: lucg4isb4zzn)  (No Limit Texas Hold'em) (dealer: ""smashthategg @ nL7UOwiHi4"") --",2023-12-30T06:10:00.679Z,170391660067900
"-- ending hand #4 --",2023-12-30T06:09:57.675Z,170391659767502
"""Kundanxp @ q6xTVpKITQ"" collected 130 from pot",2023-12-30T06:09:57.675Z,170391659767501
"Uncalled bet of 60 returned to ""Kundanxp @ q6xTVpKITQ""",2023-12-30T06:09:57.675Z,170391659767500
"""654life @ 8X5wErE5hF"" folds",2023-12-30T06:09:56.804Z,170391659680400
"""Kundanxp @ q6xTVpKITQ"" bets 60",2023-12-30T06:09:55.106Z,170391659510600
"River: 8♦, 7♣, 9♦, 2♠ [K♥]",2023-12-30T06:09:51.679Z,170391659167900
"""654life @ 8X5wErE5hF"" calls 40",2023-12-30T06:09:50.858Z,170391659085800
"""Kundanxp @ q6xTVpKITQ"" bets 40",2023-12-30T06:09:45.902Z,170391658590200
"Turn: 8♦, 7♣, 9♦ [2♠]",2023-12-30T06:09:42.750Z,170391658275000
"""654life @ 8X5wErE5hF"" checks",2023-12-30T06:09:41.922Z,170391658192200
"""Kundanxp @ q6xTVpKITQ"" checks",2023-12-30T06:09:40.199Z,170391658019900
"Flop:  [8♦, 7♣, 9♦]",2023-12-30T06:09:37.300Z,170391657730000
"""Kundanxp @ q6xTVpKITQ"" checks",2023-12-30T06:09:36.494Z,170391657649400
"""smashthategg @ nL7UOwiHi4"" folds",2023-12-30T06:09:34.912Z,170391657491200
"""Lizzo's Thong @ 3AVENFGb_0"" folds",2023-12-30T06:09:33.946Z,170391657394600
"""RedgHawk @ St3Ml17rQh"" folds",2023-12-30T06:09:18.104Z,170391655810400
"""654life @ 8X5wErE5hF"" calls 20",2023-12-30T06:09:17.074Z,170391655707400
"""Cocksy @ E_Qpj1ZDpu"" folds",2023-12-30T06:09:14.499Z,170391655449900
"""Kundanxp @ q6xTVpKITQ"" posts a big blind of 20",2023-12-30T06:09:12.271Z,170391655227109
"""smashthategg @ nL7UOwiHi4"" posts a small blind of 10",2023-12-30T06:09:12.271Z,170391655227108
"Your hand is 8♣, 3♠",2023-12-30T06:09:12.271Z,170391655227105
"Player stacks: #1 ""654life @ 8X5wErE5hF"" (1500) | #2 ""RedgHawk @ St3Ml17rQh"" (1280) | #3 ""Lizzo's Thong @ 3AVENFGb_0"" (970) | #4 ""smashthategg @ nL7UOwiHi4"" (980) | #5 ""Kundanxp @ q6xTVpKITQ"" (890) | #6 ""Cocksy @ E_Qpj1ZDpu"" (380)",2023-12-30T06:09:12.271Z,170391655227101
"-- starting hand #4 (id: ccaouwopmpfi)  (No Limit Texas Hold'em) (dealer: ""Lizzo's Thong @ 3AVENFGb_0"") --",2023-12-30T06:09:12.271Z,170391655227100
"-- ending hand #3 --",2023-12-30T06:09:09.305Z,170391654930502
"""654life @ 8X5wErE5hF"" collected 900 from pot",2023-12-30T06:09:09.305Z,170391654930501
"Uncalled bet of 380 returned to ""654life @ 8X5wErE5hF""",2023-12-30T06:09:09.305Z,170391654930500
"""Cocksy @ E_Qpj1ZDpu"" folds",2023-12-30T06:09:08.432Z,170391654843200
"""654life @ 8X5wErE5hF"" bets 380",2023-12-30T06:09:06.825Z,170391654682500
"""Cocksy @ E_Qpj1ZDpu"" checks",2023-12-30T06:09:01.913Z,170391654191300
"Turn: 8♥, J♦, A♠ [3♥]",2023-12-30T06:08:59.569Z,170391653956900
"""Cocksy @ E_Qpj1ZDpu"" calls 270",2023-12-30T06:08:58.737Z,170391653873700
"""Kundanxp @ q6xTVpKITQ"" folds",2023-12-30T06:08:57.492Z,170391653749200
"""654life @ 8X5wErE5hF"" bets 270",2023-12-30T06:08:51.723Z,170391653172300
"""Cocksy @ E_Qpj1ZDpu"" checks",2023-12-30T06:08:47.229Z,170391652722900
"""Kundanxp @ q6xTVpKITQ"" checks",2023-12-30T06:08:46.049Z,170391652604900
"Flop:  [8♥, J♦, A♠]",2023-12-30T06:08:40.144Z,170391652014400
"""Cocksy @ E_Qpj1ZDpu"" calls 110",2023-12-30T06:08:39.331Z,170391651933100
"""Kundanxp @ q6xTVpKITQ"" calls 110",2023-12-30T06:08:38.054Z,170391651805400
"""smashthategg @ nL7UOwiHi4"" folds",2023-12-30T06:08:36.518Z,170391651651800
"""Lizzo's Thong @ 3AVENFGb_0"" folds",2023-12-30T06:08:35.536Z,170391651553600
"""RedgHawk @ St3Ml17rQh"" folds",2023-12-30T06:08:19.656Z,170391649965600
"""654life @ 8X5wErE5hF"" raises to 110",2023-12-30T06:08:15.326Z,170391649532600
"""Cocksy @ E_Qpj1ZDpu"" calls 20",2023-12-30T06:08:09.263Z,170391648926300
"""Kundanxp @ q6xTVpKITQ"" calls 20",2023-12-30T06:07:57.799Z,170391647779900
"""smashthategg @ nL7UOwiHi4"" posts a big blind of 20",2023-12-30T06:07:54.510Z,170391647451009
"""Lizzo's Thong @ 3AVENFGb_0"" posts a small blind of 10",2023-12-30T06:07:54.510Z,170391647451008
"Your hand is 5♠, J♥",2023-12-30T06:07:54.510Z,170391647451005
"Player stacks: #1 ""654life @ 8X5wErE5hF"" (980) | #2 ""RedgHawk @ St3Ml17rQh"" (1280) | #3 ""Lizzo's Thong @ 3AVENFGb_0"" (980) | #4 ""smashthategg @ nL7UOwiHi4"" (1000) | #5 ""Kundanxp @ q6xTVpKITQ"" (1000) | #6 ""Cocksy @ E_Qpj1ZDpu"" (760)",2023-12-30T06:07:54.510Z,170391647451001
"-- starting hand #3 (id: 3dsyuhtfgz9v)  (No Limit Texas Hold'em) (dealer: ""RedgHawk @ St3Ml17rQh"") --",2023-12-30T06:07:54.510Z,170391647451000
"-- ending hand #2 --",2023-12-30T06:07:48.492Z,170391646849202
