entry,at,order
"The player ""You're a Bot @ Q5-4RMSNAU"" quits the game with a stack of 7645.",2024-05-01T23:58:19.326Z,171460789932600
"The player ""jamrockandroll @ XLseT30Duq"" quits the game with a stack of 0.",2024-05-01T23:52:51.278Z,171460757127800
"-- ending hand #59 --",2024-05-01T23:52:45.274Z,171460756527401
"""You're a Bot @ Q5-4RMSNAU"" collected 4988 from pot with Two Pair, Q's & 5's (combination: Q♥, Q♦, 5♠, 5♣, K♣)",2024-05-01T23:52:45.274Z,171460756527400
"River: 9♦, Q♥, 5♠, 5♣ [Q♦]",2024-05-01T23:52:41.269Z,171460756126900
"Turn: 9♦, Q♥, 5♠ [5♣]",2024-05-01T23:52:37.240Z,171460755724000
"Flop:  [9♦, Q♥, 5♠]",2024-05-01T23:52:33.235Z,171460755323500
"""jamrockandroll @ XLseT30Duq"" shows a 6♠, 2♠.",2024-05-01T23:52:29.225Z,171460754922501
"""You're a Bot @ Q5-4RMSNAU"" shows a 8♠, K♣.",2024-05-01T23:52:29.225Z,171460754922500
"""You're a Bot @ Q5-4RMSNAU"" calls 2494",2024-05-01T23:52:28.407Z,171460754840700
"""jamrockandroll @ XLseT30Duq"" raises to 2494 and go all in",2024-05-01T23:52:24.882Z,171460754488200
"""You're a Bot @ Q5-4RMSNAU"" raises to 1000",2024-05-01T23:52:19.284Z,171460753928400
"""jamrockandroll @ XLseT30Duq"" calls 500",2024-05-01T23:52:11.062Z,171460753106200
"""You're a Bot @ Q5-4RMSNAU"" posts a big blind of 500",2024-05-01T23:52:05.787Z,171460752578705
"""jamrockandroll @ XLseT30Duq"" posts a small blind of 250",2024-05-01T23:52:05.787Z,171460752578704
"Player stacks: #2 ""You're a Bot @ Q5-4RMSNAU"" (5151) | #3 ""jamrockandroll @ XLseT30Duq"" (2494)",2024-05-01T23:52:05.787Z,171460752578701
"-- starting hand #59 (id: d6aow3ct7zio)  (No Limit Texas Hold'em) (dealer: ""jamrockandroll @ XLseT30Duq"") --",2024-05-01T23:52:05.787Z,171460752578700
"-- ending hand #58 --",2024-05-01T23:52:02.827Z,171460752282702
"""You're a Bot @ Q5-4RMSNAU"" collected 1000 from pot",2024-05-01T23:52:02.827Z,171460752282701
"Uncalled bet of 500 returned to ""You're a Bot @ Q5-4RMSNAU""",2024-05-01T23:52:02.827Z,171460752282700
"""jamrockandroll @ XLseT30Duq"" folds",2024-05-01T23:52:02.018Z,171460752201800
"""You're a Bot @ Q5-4RMSNAU"" raises to 1000",2024-05-01T23:52:00.204Z,171460752020400
"""jamrockandroll @ XLseT30Duq"" posts a big blind of 500",2024-05-01T23:51:54.890Z,171460751489005
"""You're a Bot @ Q5-4RMSNAU"" posts a small blind of 250",2024-05-01T23:51:54.890Z,171460751489004
"Player stacks: #2 ""You're a Bot @ Q5-4RMSNAU"" (4651) | #3 ""jamrockandroll @ XLseT30Duq"" (2994)",2024-05-01T23:51:54.890Z,171460751489001
"-- starting hand #58 (id: bb7gbgnsqsmc)  (No Limit Texas Hold'em) (dealer: ""You're a Bot @ Q5-4RMSNAU"") --",2024-05-01T23:51:54.890Z,171460751489000
"-- ending hand #57 --",2024-05-01T23:51:51.976Z,171460751197602
"""You're a Bot @ Q5-4RMSNAU"" collected 500 from pot",2024-05-01T23:51:51.976Z,171460751197601
"Uncalled bet of 250 returned to ""You're a Bot @ Q5-4RMSNAU""",2024-05-01T23:51:51.976Z,171460751197600
"""jamrockandroll @ XLseT30Duq"" folds",2024-05-01T23:51:51.106Z,171460751110600
"""You're a Bot @ Q5-4RMSNAU"" posts a big blind of 500",2024-05-01T23:51:48.990Z,171460750899005
"""jamrockandroll @ XLseT30Duq"" posts a small blind of 250",2024-05-01T23:51:48.990Z,171460750899004
