entry,at,order
"The player ""mummy chulo @ bydKLoKk3k"" quits the game with a stack of 8000.",2024-04-26T17:11:12.420Z,171415147242000
"The player ""miekkijoe @ db-lQuE2Ca"" quits the game with a stack of 0.",2024-04-26T17:10:01.917Z,171415140191700
"-- ending hand #36 --",2024-04-26T17:09:55.900Z,171415139590001
"""mummy chulo @ bydKLoKk3k"" collected 2740 from pot with Pair, 7's (combination: 7♣, 7♦, A♦, 10♠, 9♠)",2024-04-26T17:09:55.900Z,171415139590000
"River: 9♠, A♦, 10♠, 8♣ [3♣]",2024-04-26T17:09:51.890Z,171415139189000
"Turn: 9♠, A♦, 10♠ [8♣]",2024-04-26T17:09:47.870Z,171415138787000
"""mummy chulo @ bydKLoKk3k"" shows a 7♣, 7♦.",2024-04-26T17:09:43.865Z,171415138386501
"""miekkijoe @ db-lQuE2Ca"" shows a 2♦, J♣.",2024-04-26T17:09:43.865Z,171415138386500
"""miekkijoe @ db-lQuE2Ca"" calls 870 and go all in",2024-04-26T17:09:43.031Z,171415138303100
"""mummy chulo @ bydKLoKk3k"" bets 870",2024-04-26T17:09:41.782Z,171415138178200
"""miekkijoe @ db-lQuE2Ca"" checks",2024-04-26T17:09:37.561Z,171415137756100
"Flop:  [9♠, A♦, 10♠]",2024-04-26T17:09:36.099Z,171415137609900
"""miekkijoe @ db-lQuE2Ca"" calls 500",2024-04-26T17:09:35.278Z,171415137527800
"""mummy chulo @ bydKLoKk3k"" raises to 500",2024-04-26T17:09:34.135Z,171415137413500
"""miekkijoe @ db-lQuE2Ca"" posts a big blind of 200",2024-04-26T17:09:28.049Z,171415136804905
"""mummy chulo @ bydKLoKk3k"" posts a small blind of 100",2024-04-26T17:09:28.049Z,171415136804904
"Player stacks: #2 ""miekkijoe @ db-lQuE2Ca"" (1370) | #7 ""mummy chulo @ bydKLoKk3k"" (6630)",2024-04-26T17:09:28.049Z,171415136804901
"-- starting hand #36 (id: qawmljkslii5)  (No Limit Texas Hold'em) (dealer: ""mummy chulo @ bydKLoKk3k"") --",2024-04-26T17:09:28.049Z,171415136804900
"-- ending hand #35 --",2024-04-26T17:09:25.136Z,171415136513602
"""mummy chulo @ bydKLoKk3k"" collected 400 from pot",2024-04-26T17:09:25.136Z,171415136513601
"Uncalled bet of 200 returned to ""mummy chulo @ bydKLoKk3k""",2024-04-26T17:09:25.136Z,171415136513600
"""miekkijoe @ db-lQuE2Ca"" folds",2024-04-26T17:09:24.317Z,171415136431700
"""mummy chulo @ bydKLoKk3k"" raises to 400",2024-04-26T17:09:20.224Z,171415136022400
"""miekkijoe @ db-lQuE2Ca"" calls 200",2024-04-26T17:09:13.107Z,171415135310700
"""mummy chulo @ bydKLoKk3k"" posts a big blind of 200",2024-04-26T17:09:11.087Z,171415135108705
"""miekkijoe @ db-lQuE2Ca"" posts a small blind of 100",2024-04-26T17:09:11.087Z,171415135108704
"Player stacks: #2 ""miekkijoe @ db-lQuE2Ca"" (1570) | #7 ""mummy chulo @ bydKLoKk3k"" (6430)",2024-04-26T17:09:11.087Z,171415135108701
"-- starting hand #35 (id: rnfawbysolb0)  (No Limit Texas Hold'em) (dealer: ""miekkijoe @ db-lQuE2Ca"") --",2024-04-26T17:09:11.087Z,171415135108700
"-- ending hand #34 --",2024-04-26T17:09:08.171Z,171415134817102
"""miekkijoe @ db-lQuE2Ca"" collected 200 from pot",2024-04-26T17:09:08.171Z,171415134817101
"Uncalled bet of 100 returned to ""miekkijoe @ db-lQuE2Ca""",2024-04-26T17:09:08.171Z,171415134817100
"""mummy chulo @ bydKLoKk3k"" folds",2024-04-26T17:09:07.311Z,171415134731100
