entry,at,order
"The player ""kikimag @ 2qe4vkgZrk"" quits the game with a stack of 8000.",2024-04-17T21:56:23.339Z,171339098333900
"The player ""Shawnkemp40 @ QXdSGW8z2a"" quits the game with a stack of 0.",2024-04-17T21:52:01.691Z,171339072169100
"-- ending hand #138 --",2024-04-17T21:51:55.645Z,171339071564501
"""kikimag @ 2qe4vkgZrk"" collected 960 from pot with Two Pair, K's & 10's (combination: K♣, K♦, 10♥, 10♦, Q♠)",2024-04-17T21:51:55.645Z,171339071564500
"River: 10♦, 5♣, Q♠, K♦ [J♣]",2024-04-17T21:51:51.631Z,171339071163100
"Turn: 10♦, 5♣, Q♠ [K♦]",2024-04-17T21:51:47.576Z,171339070757600
"Flop:  [10♦, 5♣, Q♠]",2024-04-17T21:51:43.566Z,171339070356600
"""Shawnkemp40 @ QXdSGW8z2a"" shows a 4♣, J♦.",2024-04-17T21:51:39.555Z,171339069955502
"""kikimag @ 2qe4vkgZrk"" shows a K♣, 10♥.",2024-04-17T21:51:39.555Z,171339069955501
"Uncalled bet of 120 returned to ""kikimag @ 2qe4vkgZrk""",2024-04-17T21:51:39.555Z,171339069955500
"""Shawnkemp40 @ QXdSGW8z2a"" calls 480 and go all in",2024-04-17T21:51:38.735Z,171339069873500
"""kikimag @ 2qe4vkgZrk"" posts a big blind of 600",2024-04-17T21:51:36.153Z,171339069615305
"""Shawnkemp40 @ QXdSGW8z2a"" posts a small blind of 300",2024-04-17T21:51:36.153Z,171339069615304
"Player stacks: #1 ""kikimag @ 2qe4vkgZrk"" (7520) | #2 ""Shawnkemp40 @ QXdSGW8z2a"" (480)",2024-04-17T21:51:36.153Z,171339069615301
"-- starting hand #138 (id: ve08sgjtifr5)  (No Limit Texas Hold'em) (dealer: ""Shawnkemp40 @ QXdSGW8z2a"") --",2024-04-17T21:51:36.153Z,171339069615300
"-- ending hand #137 --",2024-04-17T21:51:30.139Z,171339069013903
"""Shawnkemp40 @ QXdSGW8z2a"" shows a J♠, 5♠.",2024-04-17T21:51:30.139Z,171339069013902
"""kikimag @ 2qe4vkgZrk"" collected 2400 from pot with Two Pair, A's & Q's (combination: A♥, A♦, Q♣, Q♦, K♦)",2024-04-17T21:51:30.139Z,171339069013901
"""kikimag @ 2qe4vkgZrk"" shows a K♦, 7♠.",2024-04-17T21:51:30.139Z,171339069013900
"""kikimag @ 2qe4vkgZrk"" calls 600",2024-04-17T21:51:29.327Z,171339068932700
"""Shawnkemp40 @ QXdSGW8z2a"" bets 600",2024-04-17T21:51:26.269Z,171339068626900
"River: A♥, Q♣, 10♣, A♦ [Q♦]",2024-04-17T21:51:25.305Z,171339068530500
"""kikimag @ 2qe4vkgZrk"" checks",2024-04-17T21:51:24.462Z,171339068446200
"""Shawnkemp40 @ QXdSGW8z2a"" checks",2024-04-17T21:51:23.110Z,171339068311000
"Turn: A♥, Q♣, 10♣ [A♦]",2024-04-17T21:51:22.202Z,171339068220200
"""kikimag @ 2qe4vkgZrk"" checks",2024-04-17T21:51:21.355Z,171339068135500
"""Shawnkemp40 @ QXdSGW8z2a"" checks",2024-04-17T21:51:19.810Z,171339067981000
"Flop:  [A♥, Q♣, 10♣]",2024-04-17T21:51:17.899Z,171339067789900
"""Shawnkemp40 @ QXdSGW8z2a"" checks",2024-04-17T21:51:17.069Z,171339067706900
"""kikimag @ 2qe4vkgZrk"" calls 600",2024-04-17T21:51:15.985Z,171339067598500
"""Shawnkemp40 @ QXdSGW8z2a"" posts a big blind of 600",2024-04-17T21:51:12.333Z,171339067233305
