entry,at,order
"The player ""Disco @ ybhusRP6U7"" quits the game with a stack of 8000.",2024-04-26T17:22:16.155Z,171415213615500
"The player ""ℜ𝔢𝔞𝔡𝔈𝔪 @ Ct-VWbfpLz"" quits the game with a stack of 0.",2024-04-26T17:16:35.512Z,171415179551200
"-- ending hand #26 --",2024-04-26T17:16:29.482Z,171415178948203
"""ℜ𝔢𝔞𝔡𝔈𝔪 @ Ct-VWbfpLz"" shows a 5♦, A♠.",2024-04-26T17:16:29.482Z,171415178948202
"""Disco @ ybhusRP6U7"" collected 5986 from pot with Flush, Ad High (combination: A♦, 8♦, 6♦, 4♦, 2♦)",2024-04-26T17:16:29.482Z,171415178948201
"""Disco @ ybhusRP6U7"" shows a A♦, 4♦.",2024-04-26T17:16:29.482Z,171415178948200
"""Disco @ ybhusRP6U7"" calls 2693",2024-04-26T17:16:28.662Z,171415178866200
"""ℜ𝔢𝔞𝔡𝔈𝔪 @ Ct-VWbfpLz"" bets 2693 and go all in",2024-04-26T17:16:26.675Z,171415178667500
"River: 8♦, 10♠, 2♦, 2♣ [6♦]",2024-04-26T17:16:21.177Z,171415178117700
"""ℜ𝔢𝔞𝔡𝔈𝔪 @ Ct-VWbfpLz"" calls 100",2024-04-26T17:16:20.321Z,171415178032100
"""Disco @ ybhusRP6U7"" bets 100",2024-04-26T17:16:17.659Z,171415177765900
"""ℜ𝔢𝔞𝔡𝔈𝔪 @ Ct-VWbfpLz"" checks",2024-04-26T17:16:16.034Z,171415177603400
"Turn: 8♦, 10♠, 2♦ [2♣]",2024-04-26T17:16:13.783Z,171415177378300
"""ℜ𝔢𝔞𝔡𝔈𝔪 @ Ct-VWbfpLz"" calls 100",2024-04-26T17:16:12.977Z,171415177297700
"""Disco @ ybhusRP6U7"" bets 100",2024-04-26T17:16:06.240Z,171415176624000
"""ℜ𝔢𝔞𝔡𝔈𝔪 @ Ct-VWbfpLz"" checks",2024-04-26T17:16:04.316Z,171415176431600
"Flop:  [8♦, 10♠, 2♦]",2024-04-26T17:15:57.840Z,171415175784000
"""ℜ𝔢𝔞𝔡𝔈𝔪 @ Ct-VWbfpLz"" checks",2024-04-26T17:15:57.024Z,171415175702400
"""Disco @ ybhusRP6U7"" calls 100",2024-04-26T17:15:42.677Z,171415174267700
"""ℜ𝔢𝔞𝔡𝔈𝔪 @ Ct-VWbfpLz"" posts a big blind of 100",2024-04-26T17:15:41.092Z,171415174109205
"""Disco @ ybhusRP6U7"" posts a small blind of 50",2024-04-26T17:15:41.092Z,171415174109204
"Player stacks: #1 ""Disco @ ybhusRP6U7"" (5007) | #4 ""ℜ𝔢𝔞𝔡𝔈𝔪 @ Ct-VWbfpLz"" (2993)",2024-04-26T17:15:41.092Z,171415174109201
"-- starting hand #26 (id: oz3p7yiuz5pf)  (No Limit Texas Hold'em) (dealer: ""Disco @ ybhusRP6U7"") --",2024-04-26T17:15:41.092Z,171415174109200
"-- ending hand #25 --",2024-04-26T17:15:35.076Z,171415173507603
"""Disco @ ybhusRP6U7"" shows a 8♦, 8♠.",2024-04-26T17:15:35.076Z,171415173507602
"""ℜ𝔢𝔞𝔡𝔈𝔪 @ Ct-VWbfpLz"" collected 1802 from pot with Full House, 9's over 10's (combination: 9♠, 9♦, 9♣, 10♠, 10♦)",2024-04-26T17:15:35.076Z,171415173507601
"""ℜ𝔢𝔞𝔡𝔈𝔪 @ Ct-VWbfpLz"" shows a 10♠, 9♠.",2024-04-26T17:15:35.076Z,171415173507600
"""ℜ𝔢𝔞𝔡𝔈𝔪 @ Ct-VWbfpLz"" calls 376",2024-04-26T17:15:34.260Z,171415173426000
"""Disco @ ybhusRP6U7"" bets 376",2024-04-26T17:15:19.484Z,171415171948400
"River: 10♦, 9♦, 5♥, 7♣ [9♣]",2024-04-26T17:15:12.443Z,171415171244300
"""Disco @ ybhusRP6U7"" calls 100",2024-04-26T17:15:11.638Z,171415171163800
"""ℜ𝔢𝔞𝔡𝔈𝔪 @ Ct-VWbfpLz"" bets 100",2024-04-26T17:15:09.089Z,171415170908900
"""Disco @ ybhusRP6U7"" checks",2024-04-26T17:14:55.887Z,171415169588700
"Turn: 10♦, 9♦, 5♥ [7♣]",2024-04-26T17:14:52.311Z,171415169231100
"""ℜ𝔢𝔞𝔡𝔈𝔪 @ Ct-VWbfpLz"" calls 225",2024-04-26T17:14:51.430Z,171415169143000
"""Disco @ ybhusRP6U7"" bets 225",2024-04-26T17:14:35.379Z,171415167537900
"Flop:  [10♦, 9♦, 5♥]",2024-04-26T17:14:26.347Z,171415166634700
"""ℜ𝔢𝔞𝔡𝔈𝔪 @ Ct-VWbfpLz"" calls 200",2024-04-26T17:14:25.518Z,171415166551800
"""Disco @ ybhusRP6U7"" raises to 200",2024-04-26T17:14:09.436Z,171415164943600
"""ℜ𝔢𝔞𝔡𝔈𝔪 @ Ct-VWbfpLz"" calls 100",2024-04-26T17:14:06.665Z,171415164666500
"""Disco @ ybhusRP6U7"" posts a big blind of 100",2024-04-26T17:14:03.906Z,171415164390605
"""ℜ𝔢𝔞𝔡𝔈𝔪 @ Ct-VWbfpLz"" posts a small blind of 50",2024-04-26T17:14:03.906Z,171415164390604
"Player stacks: #1 ""Disco @ ybhusRP6U7"" (5908) | #4 ""ℜ𝔢𝔞𝔡𝔈𝔪 @ Ct-VWbfpLz"" (2092)",2024-04-26T17:14:03.906Z,171415164390601
"-- starting hand #25 (id: qxbsnlaaqi6z)  (No Limit Texas Hold'em) (dealer: ""ℜ𝔢𝔞𝔡𝔈𝔪 @ Ct-VWbfpLz"") --",2024-04-26T17:14:03.906Z,171415164390600
"-- ending hand #24 --",2024-04-26T17:14:00.968Z,171415164096802
"""Disco @ ybhusRP6U7"" collected 200 from pot",2024-04-26T17:14:00.968Z,171415164096801
"Uncalled bet of 100 returned to ""Disco @ ybhusRP6U7""",2024-04-26T17:14:00.968Z,171415164096800
