entry,at,order
"The player ""Bazzeratti @ iUaaJ1_oTR"" quits the game with a stack of 8000.",2024-04-26T18:16:52.472Z,171415541247200
"The player ""ChucklesPop @ twB4KTw-A9"" quits the game with a stack of 0.",2024-04-26T18:11:16.614Z,171415507661400
"-- ending hand #55 --",2024-04-26T18:11:10.588Z,171415507058801
"""Bazzeratti @ iUaaJ1_oTR"" collected 6480 from pot with Two Pair, A's & 10's (combination: A♥, A♠, 10♥, 10♠, 9♦)",2024-04-26T18:11:10.588Z,171415507058800
"River: 6♥, A♥, 9♦, 8♣ [A♠]",2024-04-26T18:11:06.578Z,171415506657800
"""ChucklesPop @ twB4KTw-A9"" shows a Q♥, 2♥.",2024-04-26T18:11:02.565Z,171415506256501
"""Bazzeratti @ iUaaJ1_oTR"" shows a 10♥, 10♠.",2024-04-26T18:11:02.565Z,171415506256500
"""ChucklesPop @ twB4KTw-A9"" calls 2340 and go all in",2024-04-26T18:11:01.760Z,171415506176000
"""Bazzeratti @ iUaaJ1_oTR"" bets 2340",2024-04-26T18:10:59.659Z,171415505965900
"Turn: 6♥, A♥, 9♦ [8♣]",2024-04-26T18:10:55.922Z,171415505592200
"""ChucklesPop @ twB4KTw-A9"" calls 300",2024-04-26T18:10:55.084Z,171415505508400
"""Bazzeratti @ iUaaJ1_oTR"" bets 300",2024-04-26T18:10:52.322Z,171415505232200
"Flop:  [6♥, A♥, 9♦]",2024-04-26T18:10:50.406Z,171415505040600
"""ChucklesPop @ twB4KTw-A9"" calls 600",2024-04-26T18:10:49.560Z,171415504956000
"""Bazzeratti @ iUaaJ1_oTR"" raises to 600",2024-04-26T18:10:47.299Z,171415504729900
"""ChucklesPop @ twB4KTw-A9"" calls 300",2024-04-26T18:10:45.228Z,171415504522800
"""Bazzeratti @ iUaaJ1_oTR"" posts a big blind of 300",2024-04-26T18:10:42.047Z,171415504204705
"""ChucklesPop @ twB4KTw-A9"" posts a small blind of 150",2024-04-26T18:10:42.047Z,171415504204704
"Player stacks: #6 ""Bazzeratti @ iUaaJ1_oTR"" (4760) | #8 ""ChucklesPop @ twB4KTw-A9"" (3240)",2024-04-26T18:10:42.047Z,171415504204701
"-- starting hand #55 (id: j26a6bkt9rzj)  (No Limit Texas Hold'em) (dealer: ""ChucklesPop @ twB4KTw-A9"") --",2024-04-26T18:10:42.047Z,171415504204700
"-- ending hand #54 --",2024-04-26T18:10:39.106Z,171415503910602
"""ChucklesPop @ twB4KTw-A9"" collected 600 from pot",2024-04-26T18:10:39.106Z,171415503910601
