entry,at,order
"The player ""SamIsAcidic @ Y49jhsk3Tt"" quits the game with a stack of 6845.",2024-04-17T20:16:34.871Z,171338499487100
"The player ""Penguinparty @ Z1uhx-E6pB"" quits the game with a stack of 0.",2024-04-17T20:10:34.785Z,171338463478500
"-- ending hand #32 --",2024-04-17T20:10:28.772Z,171338462877201
"""SamIsAcidic @ Y49jhsk3Tt"" collected 5430 from pot with Two Pair, K's & 8's (combination: K♣, K♦, 8♥, 8♦, A♥)",2024-04-17T20:10:28.772Z,171338462877200
"River: 2♣, 8♦, 2♦, K♦ [A♥]",2024-04-17T20:10:24.755Z,171338462475500
"""Penguinparty @ Z1uhx-E6pB"" shows a K♠, 5♣.",2024-04-17T20:10:20.744Z,171338462074401
"""SamIsAcidic @ Y49jhsk3Tt"" shows a K♣, 8♥.",2024-04-17T20:10:20.744Z,171338462074400
"""SamIsAcidic @ Y49jhsk3Tt"" calls 2515",2024-04-17T20:10:19.925Z,171338461992500
"""Penguinparty @ Z1uhx-E6pB"" raises to 2515 and go all in",2024-04-17T20:10:18.444Z,171338461844400
"""SamIsAcidic @ Y49jhsk3Tt"" bets 200",2024-04-17T20:10:15.726Z,171338461572600
"Turn: 2♣, 8♦, 2♦ [K♦]",2024-04-17T20:10:11.602Z,171338461160200
"""Penguinparty @ Z1uhx-E6pB"" calls 100",2024-04-17T20:10:10.734Z,171338461073400
"""SamIsAcidic @ Y49jhsk3Tt"" bets 100",2024-04-17T20:10:09.264Z,171338460926400
"Flop:  [2♣, 8♦, 2♦]",2024-04-17T20:10:05.470Z,171338460547000
"""SamIsAcidic @ Y49jhsk3Tt"" checks",2024-04-17T20:10:04.617Z,171338460461700
"""Penguinparty @ Z1uhx-E6pB"" calls 100",2024-04-17T20:10:03.493Z,171338460349300
"""SamIsAcidic @ Y49jhsk3Tt"" posts a big blind of 100",2024-04-17T20:10:01.412Z,171338460141207
"""Penguinparty @ Z1uhx-E6pB"" posts a small blind of 50",2024-04-17T20:10:01.412Z,171338460141206
"Player stacks: #4 ""SamIsAcidic @ Y49jhsk3Tt"" (4130) | #5 ""Penguinparty @ Z1uhx-E6pB"" (2715)",2024-04-17T20:10:01.412Z,171338460141203
"-- starting hand #32 (id: 1s6juv4bi5rf)  (No Limit Texas Hold'em) (dealer: ""Penguinparty @ Z1uhx-E6pB"") --",2024-04-17T20:10:01.412Z,171338460141202
"The game's big blind was changed from 60 to 100.",2024-04-17T20:10:01.412Z,171338460141201
"The game's small blind was changed from 30 to 50.",2024-04-17T20:10:01.412Z,171338460141200
"-- ending hand #31 --",2024-04-17T20:09:55.391Z,171338459539101
"""SamIsAcidic @ Y49jhsk3Tt"" collected 4130 from pot with K High (combination: K♠, J♥, 10♠, 9♦, 8♣)",2024-04-17T20:09:55.391Z,171338459539100
"River: K♠, 6♥, 3♦, 10♠ [8♣]",2024-04-17T20:09:51.376Z,171338459137600
"Turn: K♠, 6♥, 3♦ [10♠]",2024-04-17T20:09:47.353Z,171338458735300
"""Penguinparty @ Z1uhx-E6pB"" shows a 5♥, 4♠.",2024-04-17T20:09:43.343Z,171338458334301
"""SamIsAcidic @ Y49jhsk3Tt"" shows a J♥, 9♦.",2024-04-17T20:09:43.343Z,171338458334300
"""Penguinparty @ Z1uhx-E6pB"" calls 1945",2024-04-17T20:09:42.519Z,171338458251900
"""SamIsAcidic @ Y49jhsk3Tt"" raises to 1945 and go all in",2024-04-17T20:09:36.255Z,171338457625500
"""Penguinparty @ Z1uhx-E6pB"" bets 240",2024-04-17T20:09:33.721Z,171338457372100
"Flop:  [K♠, 6♥, 3♦]",2024-04-17T20:09:29.069Z,171338456906900
"""Penguinparty @ Z1uhx-E6pB"" calls 120",2024-04-17T20:09:28.263Z,171338456826300
"""SamIsAcidic @ Y49jhsk3Tt"" raises to 120",2024-04-17T20:09:26.917Z,171338456691700
"""Penguinparty @ Z1uhx-E6pB"" posts a big blind of 60",2024-04-17T20:09:23.019Z,171338456301905
