entry,at,order
"The player ""kimmy#5960 @ SWmxQPZMN5"" quits the game with a stack of 8000.",2024-04-26T18:39:13.846Z,171415675384600
"The player ""JoeMommmmy @ oFfDz8THmL"" quits the game with a stack of 0.",2024-04-26T18:33:27.916Z,171415640791600
"-- ending hand #57 --",2024-04-26T18:33:21.907Z,171415640190701
"""kimmy#5960 @ SWmxQPZMN5"" collected 6286 from pot with Pair, Q's (combination: Q♠, Q♦, J♠, 10♠, 9♦)",2024-04-26T18:33:21.907Z,171415640190700
"River: 9♦, 7♦, 10♠, Q♦ [2♥]",2024-04-26T18:33:17.894Z,171415639789400
"Turn: 9♦, 7♦, 10♠ [Q♦]",2024-04-26T18:33:13.818Z,171415639381800
"Flop:  [9♦, 7♦, 10♠]",2024-04-26T18:33:09.794Z,171415638979400
"""kimmy#5960 @ SWmxQPZMN5"" shows a J♠, Q♠.",2024-04-26T18:33:05.790Z,171415638579001
"""JoeMommmmy @ oFfDz8THmL"" shows a K♥, 3♣.",2024-04-26T18:33:05.790Z,171415638579000
"""kimmy#5960 @ SWmxQPZMN5"" calls 3143",2024-04-26T18:33:04.958Z,171415638495800
"""JoeMommmmy @ oFfDz8THmL"" raises to 3143 and go all in",2024-04-26T18:33:03.042Z,171415638304200
"""kimmy#5960 @ SWmxQPZMN5"" posts a big blind of 200",2024-04-26T18:32:55.610Z,171415637561005
"""JoeMommmmy @ oFfDz8THmL"" posts a small blind of 100",2024-04-26T18:32:55.610Z,171415637561004
"Player stacks: #6 ""JoeMommmmy @ oFfDz8THmL"" (3143) | #7 ""kimmy#5960 @ SWmxQPZMN5"" (4857)",2024-04-26T18:32:55.610Z,171415637561001
"-- starting hand #57 (id: vglgyuqkzpzt)  (No Limit Texas Hold'em) (dealer: ""JoeMommmmy @ oFfDz8THmL"") --",2024-04-26T18:32:55.610Z,171415637561000
"-- ending hand #56 --",2024-04-26T18:32:52.663Z,171415637266302
"""JoeMommmmy @ oFfDz8THmL"" collected 400 from pot",2024-04-26T18:32:52.663Z,171415637266301
"Uncalled bet of 2743 returned to ""JoeMommmmy @ oFfDz8THmL""",2024-04-26T18:32:52.663Z,171415637266300
"""kimmy#5960 @ SWmxQPZMN5"" folds",2024-04-26T18:32:51.832Z,171415637183200
"""JoeMommmmy @ oFfDz8THmL"" raises to 2943 and go all in",2024-04-26T18:32:49.651Z,171415636965100
"""kimmy#5960 @ SWmxQPZMN5"" calls 200",2024-04-26T18:32:42.693Z,171415636269300
"""JoeMommmmy @ oFfDz8THmL"" posts a big blind of 200",2024-04-26T18:32:40.901Z,171415636090105
"""kimmy#5960 @ SWmxQPZMN5"" posts a small blind of 100",2024-04-26T18:32:40.901Z,171415636090104
"Player stacks: #6 ""JoeMommmmy @ oFfDz8THmL"" (2943) | #7 ""kimmy#5960 @ SWmxQPZMN5"" (5057)",2024-04-26T18:32:40.901Z,171415636090101
"-- starting hand #56 (id: 4l0f52auvctx)  (No Limit Texas Hold'em) (dealer: ""kimmy#5960 @ SWmxQPZMN5"") --",2024-04-26T18:32:40.901Z,171415636090100
"-- ending hand #55 --",2024-04-26T18:32:37.969Z,171415635796902
"""kimmy#5960 @ SWmxQPZMN5"" collected 200 from pot",2024-04-26T18:32:37.969Z,171415635796901
"Uncalled bet of 100 returned to ""kimmy#5960 @ SWmxQPZMN5""",2024-04-26T18:32:37.969Z,171415635796900
"""JoeMommmmy @ oFfDz8THmL"" folds",2024-04-26T18:32:37.155Z,171415635715500
"""kimmy#5960 @ SWmxQPZMN5"" posts a big blind of 200",2024-04-26T18:32:33.582Z,171415635358205
"""JoeMommmmy @ oFfDz8THmL"" posts a small blind of 100",2024-04-26T18:32:33.582Z,171415635358204
"Player stacks: #6 ""JoeMommmmy @ oFfDz8THmL"" (3043) | #7 ""kimmy#5960 @ SWmxQPZMN5"" (4957)",2024-04-26T18:32:33.582Z,171415635358201
"-- starting hand #55 (id: aebt6uybxyfq)  (No Limit Texas Hold'em) (dealer: ""JoeMommmmy @ oFfDz8THmL"") --",2024-04-26T18:32:33.582Z,171415635358200
"-- ending hand #54 --",2024-04-26T18:32:30.661Z,171415635066102
"""kimmy#5960 @ SWmxQPZMN5"" collected 400 from pot",2024-04-26T18:32:30.661Z,171415635066101
"Uncalled bet of 200 returned to ""kimmy#5960 @ SWmxQPZMN5""",2024-04-26T18:32:30.661Z,171415635066100
"""JoeMommmmy @ oFfDz8THmL"" folds",2024-04-26T18:32:29.782Z,171415634978200
"""kimmy#5960 @ SWmxQPZMN5"" bets 200",2024-04-26T18:32:28.359Z,171415634835900
"""JoeMommmmy @ oFfDz8THmL"" checks",2024-04-26T18:32:26.382Z,171415634638200
"Flop:  [A♦, Q♦, 2♣]",2024-04-26T18:32:24.258Z,171415634425800
"""JoeMommmmy @ oFfDz8THmL"" checks",2024-04-26T18:32:23.374Z,171415634337400
"""kimmy#5960 @ SWmxQPZMN5"" calls 200",2024-04-26T18:32:22.522Z,171415634252200
"""JoeMommmmy @ oFfDz8THmL"" posts a big blind of 200",2024-04-26T18:32:20.925Z,171415634092505
"""kimmy#5960 @ SWmxQPZMN5"" posts a small blind of 100",2024-04-26T18:32:20.925Z,171415634092504
"Player stacks: #6 ""JoeMommmmy @ oFfDz8THmL"" (3243) | #7 ""kimmy#5960 @ SWmxQPZMN5"" (4757)",2024-04-26T18:32:20.925Z,171415634092501
"-- starting hand #54 (id: rhtx5k2cjk34)  (No Limit Texas Hold'em) (dealer: ""kimmy#5960 @ SWmxQPZMN5"") --",2024-04-26T18:32:20.925Z,171415634092500
"-- ending hand #53 --",2024-04-26T18:32:17.978Z,171415633797802
