entry,at,order
"The player ""Generalsteve @ v8Wn4qdlXD"" quits the game with a stack of 5000.",2024-04-17T20:04:29.157Z,171338426915700
"The player ""Zohanrin @ wVLzhY_m5e"" quits the game with a stack of 0.",2024-04-17T19:59:05.703Z,171338394570300
"-- ending hand #66 --",2024-04-17T19:58:59.687Z,171338393968701
"""Generalsteve @ v8Wn4qdlXD"" collected 170 from pot with Full House, 9's over 5's (combination: 9♥, 9♠, 9♦, 5♦, 5♠)",2024-04-17T19:58:59.687Z,171338393968700
"River: 9♥, 5♠, 9♠, 9♦ [10♦]",2024-04-17T19:58:55.659Z,171338393565900
"Turn: 9♥, 5♠, 9♠ [9♦]",2024-04-17T19:58:51.654Z,171338393165400
"Flop:  [9♥, 5♠, 9♠]",2024-04-17T19:58:47.635Z,171338392763500
"""Zohanrin @ wVLzhY_m5e"" shows a 8♦, 7♥.",2024-04-17T19:58:43.595Z,171338392359502
"""Generalsteve @ v8Wn4qdlXD"" shows a 2♦, 5♦.",2024-04-17T19:58:43.595Z,171338392359501
"Uncalled bet of 115 returned to ""Generalsteve @ v8Wn4qdlXD""",2024-04-17T19:58:43.595Z,171338392359500
"""Generalsteve @ v8Wn4qdlXD"" posts a big blind of 200",2024-04-17T19:58:42.789Z,171338392278905
"""Zohanrin @ wVLzhY_m5e"" posts a small blind of 85 and go all in ",2024-04-17T19:58:42.789Z,171338392278904
"Player stacks: #6 ""Generalsteve @ v8Wn4qdlXD"" (4915) | #7 ""Zohanrin @ wVLzhY_m5e"" (85)",2024-04-17T19:58:42.789Z,171338392278901
"-- starting hand #66 (id: wubdmf604ahx)  (No Limit Texas Hold'em) (dealer: ""Zohanrin @ wVLzhY_m5e"") --",2024-04-17T19:58:42.789Z,171338392278900
"-- ending hand #65 --",2024-04-17T19:58:39.825Z,171338391982502
"""Generalsteve @ v8Wn4qdlXD"" collected 400 from pot",2024-04-17T19:58:39.825Z,171338391982501
"Uncalled bet of 85 returned to ""Generalsteve @ v8Wn4qdlXD""",2024-04-17T19:58:39.825Z,171338391982500
"""Zohanrin @ wVLzhY_m5e"" folds",2024-04-17T19:58:38.985Z,171338391898500
"""Generalsteve @ v8Wn4qdlXD"" raises to 285",2024-04-17T19:58:38.101Z,171338391810100
"""Zohanrin @ wVLzhY_m5e"" posts a big blind of 200",2024-04-17T19:58:37.581Z,171338391758105
"""Generalsteve @ v8Wn4qdlXD"" posts a small blind of 100",2024-04-17T19:58:37.581Z,171338391758104
"Player stacks: #6 ""Generalsteve @ v8Wn4qdlXD"" (4715) | #7 ""Zohanrin @ wVLzhY_m5e"" (285)",2024-04-17T19:58:37.581Z,171338391758101
"-- starting hand #65 (id: srwrglzwivwt)  (No Limit Texas Hold'em) (dealer: ""Generalsteve @ v8Wn4qdlXD"") --",2024-04-17T19:58:37.581Z,171338391758100
"-- ending hand #64 --",2024-04-17T19:58:34.621Z,171338391462102
"""Generalsteve @ v8Wn4qdlXD"" collected 200 from pot",2024-04-17T19:58:34.621Z,171338391462101
"Uncalled bet of 100 returned to ""Generalsteve @ v8Wn4qdlXD""",2024-04-17T19:58:34.621Z,171338391462100
"""Zohanrin @ wVLzhY_m5e"" folds",2024-04-17T19:58:33.773Z,171338391377306
"""Generalsteve @ v8Wn4qdlXD"" posts a big blind of 200",2024-04-17T19:58:33.773Z,171338391377305
"""Zohanrin @ wVLzhY_m5e"" posts a small blind of 100",2024-04-17T19:58:33.773Z,171338391377304
"Player stacks: #6 ""Generalsteve @ v8Wn4qdlXD"" (4615) | #7 ""Zohanrin @ wVLzhY_m5e"" (385)",2024-04-17T19:58:33.773Z,171338391377301
"-- starting hand #64 (id: ygl49m5j2t6v)  (No Limit Texas Hold'em) (dealer: ""Zohanrin @ wVLzhY_m5e"") --",2024-04-17T19:58:33.773Z,171338391377300
"-- ending hand #63 --",2024-04-17T19:58:30.818Z,171338391081802
"""Generalsteve @ v8Wn4qdlXD"" collected 400 from pot",2024-04-17T19:58:30.818Z,171338391081801
"Uncalled bet of 200 returned to ""Generalsteve @ v8Wn4qdlXD""",2024-04-17T19:58:30.818Z,171338391081800
"""Zohanrin @ wVLzhY_m5e"" folds",2024-04-17T19:58:29.974Z,171338390997400
"""Generalsteve @ v8Wn4qdlXD"" raises to 400",2024-04-17T19:58:29.085Z,171338390908500
"""Zohanrin @ wVLzhY_m5e"" posts a big blind of 200",2024-04-17T19:58:28.385Z,171338390838507
"""Generalsteve @ v8Wn4qdlXD"" posts a small blind of 100",2024-04-17T19:58:28.385Z,171338390838506
"Player stacks: #6 ""Generalsteve @ v8Wn4qdlXD"" (4415) | #7 ""Zohanrin @ wVLzhY_m5e"" (585)",2024-04-17T19:58:28.385Z,171338390838503
"-- starting hand #63 (id: 6y3tbqkohggn)  (No Limit Texas Hold'em) (dealer: ""Generalsteve @ v8Wn4qdlXD"") --",2024-04-17T19:58:28.385Z,171338390838502
"The game's big blind was changed from 150 to 200.",2024-04-17T19:58:28.385Z,171338390838501
"The game's small blind was changed from 75 to 100.",2024-04-17T19:58:28.385Z,171338390838500
"-- ending hand #62 --",2024-04-17T19:58:25.444Z,171338390544402
"""Generalsteve @ v8Wn4qdlXD"" collected 150 from pot",2024-04-17T19:58:25.444Z,171338390544401
"Uncalled bet of 75 returned to ""Generalsteve @ v8Wn4qdlXD""",2024-04-17T19:58:25.444Z,171338390544400
"""Zohanrin @ wVLzhY_m5e"" folds",2024-04-17T19:58:24.571Z,171338390457106
"""Generalsteve @ v8Wn4qdlXD"" posts a big blind of 150",2024-04-17T19:58:24.571Z,171338390457105
"""Zohanrin @ wVLzhY_m5e"" posts a small blind of 75",2024-04-17T19:58:24.571Z,171338390457104
"Player stacks: #6 ""Generalsteve @ v8Wn4qdlXD"" (4340) | #7 ""Zohanrin @ wVLzhY_m5e"" (660)",2024-04-17T19:58:24.571Z,171338390457101
"-- starting hand #62 (id: y9xttmclavgp)  (No Limit Texas Hold'em) (dealer: ""Zohanrin @ wVLzhY_m5e"") --",2024-04-17T19:58:24.571Z,171338390457100
"-- ending hand #61 --",2024-04-17T19:58:21.608Z,171338390160802
"""Generalsteve @ v8Wn4qdlXD"" collected 300 from pot",2024-04-17T19:58:21.608Z,171338390160801
"Uncalled bet of 150 returned to ""Generalsteve @ v8Wn4qdlXD""",2024-04-17T19:58:21.608Z,171338390160800
"""Zohanrin @ wVLzhY_m5e"" folds",2024-04-17T19:58:20.769Z,171338390076900
"""Generalsteve @ v8Wn4qdlXD"" raises to 300",2024-04-17T19:58:19.872Z,171338389987200
"""Zohanrin @ wVLzhY_m5e"" posts a big blind of 150",2024-04-17T19:58:19.370Z,171338389937005
"""Generalsteve @ v8Wn4qdlXD"" posts a small blind of 75",2024-04-17T19:58:19.370Z,171338389937004
"Player stacks: #6 ""Generalsteve @ v8Wn4qdlXD"" (4190) | #7 ""Zohanrin @ wVLzhY_m5e"" (810)",2024-04-17T19:58:19.370Z,171338389937001
"-- starting hand #61 (id: uumtippe7zp2)  (No Limit Texas Hold'em) (dealer: ""Generalsteve @ v8Wn4qdlXD"") --",2024-04-17T19:58:19.370Z,171338389937000
"-- ending hand #60 --",2024-04-17T19:58:16.375Z,171338389637502
"""Generalsteve @ v8Wn4qdlXD"" collected 150 from pot",2024-04-17T19:58:16.375Z,171338389637501
"Uncalled bet of 75 returned to ""Generalsteve @ v8Wn4qdlXD""",2024-04-17T19:58:16.375Z,171338389637500
"""Zohanrin @ wVLzhY_m5e"" folds",2024-04-17T19:58:15.561Z,171338389556106
"""Generalsteve @ v8Wn4qdlXD"" posts a big blind of 150",2024-04-17T19:58:15.561Z,171338389556105
"""Zohanrin @ wVLzhY_m5e"" posts a small blind of 75",2024-04-17T19:58:15.561Z,171338389556104
"Player stacks: #6 ""Generalsteve @ v8Wn4qdlXD"" (4115) | #7 ""Zohanrin @ wVLzhY_m5e"" (885)",2024-04-17T19:58:15.561Z,171338389556101
"-- starting hand #60 (id: g0hbsxolomzg)  (No Limit Texas Hold'em) (dealer: ""Zohanrin @ wVLzhY_m5e"") --",2024-04-17T19:58:15.561Z,171338389556100
"-- ending hand #59 --",2024-04-17T19:58:12.568Z,171338389256802
"""Generalsteve @ v8Wn4qdlXD"" collected 300 from pot",2024-04-17T19:58:12.568Z,171338389256801
"Uncalled bet of 150 returned to ""Generalsteve @ v8Wn4qdlXD""",2024-04-17T19:58:12.568Z,171338389256800
"""Zohanrin @ wVLzhY_m5e"" folds",2024-04-17T19:58:11.760Z,171338389176000
"""Generalsteve @ v8Wn4qdlXD"" raises to 300",2024-04-17T19:58:10.903Z,171338389090300
"""Zohanrin @ wVLzhY_m5e"" posts a big blind of 150",2024-04-17T19:58:10.359Z,171338389035905
"""Generalsteve @ v8Wn4qdlXD"" posts a small blind of 75",2024-04-17T19:58:10.359Z,171338389035904
"Player stacks: #6 ""Generalsteve @ v8Wn4qdlXD"" (3965) | #7 ""Zohanrin @ wVLzhY_m5e"" (1035)",2024-04-17T19:58:10.359Z,171338389035901
"-- starting hand #59 (id: nii4sx3tskme)  (No Limit Texas Hold'em) (dealer: ""Generalsteve @ v8Wn4qdlXD"") --",2024-04-17T19:58:10.359Z,171338389035900
"-- ending hand #58 --",2024-04-17T19:58:07.361Z,171338388736102
"""Generalsteve @ v8Wn4qdlXD"" collected 150 from pot",2024-04-17T19:58:07.361Z,171338388736101
"Uncalled bet of 75 returned to ""Generalsteve @ v8Wn4qdlXD""",2024-04-17T19:58:07.361Z,171338388736100
"""Zohanrin @ wVLzhY_m5e"" folds",2024-04-17T19:58:06.548Z,171338388654806
"""Generalsteve @ v8Wn4qdlXD"" posts a big blind of 150",2024-04-17T19:58:06.548Z,171338388654805
"""Zohanrin @ wVLzhY_m5e"" posts a small blind of 75",2024-04-17T19:58:06.548Z,171338388654804
"Player stacks: #6 ""Generalsteve @ v8Wn4qdlXD"" (3890) | #7 ""Zohanrin @ wVLzhY_m5e"" (1110)",2024-04-17T19:58:06.548Z,171338388654801
"-- starting hand #58 (id: 2sje7ib03x0a)  (No Limit Texas Hold'em) (dealer: ""Zohanrin @ wVLzhY_m5e"") --",2024-04-17T19:58:06.548Z,171338388654800
"-- ending hand #57 --",2024-04-17T19:58:03.550Z,171338388355002
"""Generalsteve @ v8Wn4qdlXD"" collected 300 from pot",2024-04-17T19:58:03.550Z,171338388355001
"Uncalled bet of 150 returned to ""Generalsteve @ v8Wn4qdlXD""",2024-04-17T19:58:03.550Z,171338388355000
"""Zohanrin @ wVLzhY_m5e"" folds",2024-04-17T19:58:02.655Z,171338388265500
