entry,at,order
"The player ""MAJ888 @ T2IjeiqoE8"" quits the game with a stack of 6380.",2024-04-26T19:05:45.628Z,171415834562800
"The player ""aic @ oKzmrGv1VB"" quits the game with a stack of 0.",2024-04-26T19:00:24.967Z,171415802496700
"-- ending hand #61 --",2024-04-26T19:00:18.960Z,171415801896001
"""MAJ888 @ T2IjeiqoE8"" collected 5960 from pot with Pair, A's (combination: A♦, A♠, 10♣, 9♦, 8♠)",2024-04-26T19:00:18.960Z,171415801896000
"River: 9♦, 4♠, 8♠, 10♣ [2♥]",2024-04-26T19:00:14.947Z,171415801494700
"Turn: 9♦, 4♠, 8♠ [10♣]",2024-04-26T19:00:10.942Z,171415801094200
"Flop:  [9♦, 4♠, 8♠]",2024-04-26T19:00:06.910Z,171415800691000
"""aic @ oKzmrGv1VB"" shows a A♥, K♦.",2024-04-26T19:00:02.807Z,171415800280701
"""MAJ888 @ T2IjeiqoE8"" shows a A♦, A♠.",2024-04-26T19:00:02.807Z,171415800280700
"""MAJ888 @ T2IjeiqoE8"" calls 2980",2024-04-26T19:00:01.977Z,171415800197700
"""aic @ oKzmrGv1VB"" raises to 2980 and go all in",2024-04-26T18:59:55.338Z,171415799533800
"""MAJ888 @ T2IjeiqoE8"" posts a big blind of 500",2024-04-26T18:59:49.331Z,171415798933105
"""aic @ oKzmrGv1VB"" posts a small blind of 250",2024-04-26T18:59:49.331Z,171415798933104
"Player stacks: #4 ""MAJ888 @ T2IjeiqoE8"" (3400) | #7 ""aic @ oKzmrGv1VB"" (2980)",2024-04-26T18:59:49.331Z,171415798933101
"-- starting hand #61 (id: guxvwumlhkls)  (No Limit Texas Hold'em) (dealer: ""aic @ oKzmrGv1VB"") --",2024-04-26T18:59:49.331Z,171415798933100
"-- ending hand #60 --",2024-04-26T18:59:46.423Z,171415798642302
"""aic @ oKzmrGv1VB"" collected 500 from pot",2024-04-26T18:59:46.423Z,171415798642301
"Uncalled bet of 250 returned to ""aic @ oKzmrGv1VB""",2024-04-26T18:59:46.423Z,171415798642300
"""MAJ888 @ T2IjeiqoE8"" folds",2024-04-26T18:59:45.567Z,171415798556700
"""aic @ oKzmrGv1VB"" posts a big blind of 500",2024-04-26T18:59:43.422Z,171415798342205
"""MAJ888 @ T2IjeiqoE8"" posts a small blind of 250",2024-04-26T18:59:43.422Z,171415798342204
"Player stacks: #4 ""MAJ888 @ T2IjeiqoE8"" (3650) | #7 ""aic @ oKzmrGv1VB"" (2730)",2024-04-26T18:59:43.422Z,171415798342201
"-- starting hand #60 (id: jfpc2wt7bdpk)  (No Limit Texas Hold'em) (dealer: ""MAJ888 @ T2IjeiqoE8"") --",2024-04-26T18:59:43.422Z,171415798342200
"-- ending hand #59 --",2024-04-26T18:59:40.447Z,171415798044702
"""MAJ888 @ T2IjeiqoE8"" collected 500 from pot",2024-04-26T18:59:40.447Z,171415798044701
"Uncalled bet of 250 returned to ""MAJ888 @ T2IjeiqoE8""",2024-04-26T18:59:40.447Z,171415798044700
"""aic @ oKzmrGv1VB"" folds",2024-04-26T18:59:39.593Z,171415797959300
"""MAJ888 @ T2IjeiqoE8"" posts a big blind of 500",2024-04-26T18:59:36.774Z,171415797677405
"""aic @ oKzmrGv1VB"" posts a small blind of 250",2024-04-26T18:59:36.774Z,171415797677404
"Player stacks: #4 ""MAJ888 @ T2IjeiqoE8"" (3400) | #7 ""aic @ oKzmrGv1VB"" (2980)",2024-04-26T18:59:36.774Z,171415797677401
"-- starting hand #59 (id: x8eutl7g9gcy)  (No Limit Texas Hold'em) (dealer: ""aic @ oKzmrGv1VB"") --",2024-04-26T18:59:36.774Z,171415797677400
"-- ending hand #58 --",2024-04-26T18:59:33.841Z,171415797384102
"""aic @ oKzmrGv1VB"" collected 500 from pot",2024-04-26T18:59:33.841Z,171415797384101
"Uncalled bet of 250 returned to ""aic @ oKzmrGv1VB""",2024-04-26T18:59:33.841Z,171415797384100
"""MAJ888 @ T2IjeiqoE8"" folds",2024-04-26T18:59:32.973Z,171415797297300
"""aic @ oKzmrGv1VB"" posts a big blind of 500",2024-04-26T18:59:27.833Z,171415796783307
"""MAJ888 @ T2IjeiqoE8"" posts a small blind of 250",2024-04-26T18:59:27.833Z,171415796783306
"Player stacks: #4 ""MAJ888 @ T2IjeiqoE8"" (3650) | #7 ""aic @ oKzmrGv1VB"" (2730)",2024-04-26T18:59:27.833Z,171415796783303
"-- starting hand #58 (id: gnrkzjowsh5d)  (No Limit Texas Hold'em) (dealer: ""MAJ888 @ T2IjeiqoE8"") --",2024-04-26T18:59:27.833Z,171415796783302
"The game's big blind was changed from 300 to 500.",2024-04-26T18:59:27.833Z,171415796783301
"The game's small blind was changed from 150 to 250.",2024-04-26T18:59:27.833Z,171415796783300
"-- ending hand #57 --",2024-04-26T18:59:24.895Z,171415796489502
"""MAJ888 @ T2IjeiqoE8"" collected 600 from pot",2024-04-26T18:59:24.895Z,171415796489501
"Uncalled bet of 300 returned to ""MAJ888 @ T2IjeiqoE8""",2024-04-26T18:59:24.895Z,171415796489500
"""aic @ oKzmrGv1VB"" folds",2024-04-26T18:59:24.059Z,171415796405900
"""MAJ888 @ T2IjeiqoE8"" bets 300",2024-04-26T18:59:21.759Z,171415796175900
"Turn: 8♠, 9♣, 10♣ [9♦]",2024-04-26T18:59:19.627Z,171415795962700
"""aic @ oKzmrGv1VB"" checks",2024-04-26T18:59:18.789Z,171415795878900
"""MAJ888 @ T2IjeiqoE8"" checks",2024-04-26T18:59:16.107Z,171415795610700
"Flop:  [8♠, 9♣, 10♣]",2024-04-26T18:59:12.409Z,171415795240900
"""MAJ888 @ T2IjeiqoE8"" checks",2024-04-26T18:59:11.541Z,171415795154100
"""aic @ oKzmrGv1VB"" calls 300",2024-04-26T18:59:08.711Z,171415794871100
"""MAJ888 @ T2IjeiqoE8"" posts a big blind of 300",2024-04-26T18:59:04.798Z,171415794479805
"""aic @ oKzmrGv1VB"" posts a small blind of 150",2024-04-26T18:59:04.798Z,171415794479804
"Player stacks: #4 ""MAJ888 @ T2IjeiqoE8"" (3350) | #7 ""aic @ oKzmrGv1VB"" (3030)",2024-04-26T18:59:04.798Z,171415794479801
"-- starting hand #57 (id: aflyk0jnbb2a)  (No Limit Texas Hold'em) (dealer: ""aic @ oKzmrGv1VB"") --",2024-04-26T18:59:04.798Z,171415794479800
"-- ending hand #56 --",2024-04-26T18:59:01.863Z,171415794186302
"""MAJ888 @ T2IjeiqoE8"" collected 600 from pot",2024-04-26T18:59:01.863Z,171415794186301
"Uncalled bet of 600 returned to ""MAJ888 @ T2IjeiqoE8""",2024-04-26T18:59:01.863Z,171415794186300
"""aic @ oKzmrGv1VB"" folds",2024-04-26T18:59:01.031Z,171415794103100
"""MAJ888 @ T2IjeiqoE8"" bets 600",2024-04-26T18:58:54.739Z,171415793473900
"""aic @ oKzmrGv1VB"" checks",2024-04-26T18:58:48.573Z,171415792857300
"Flop:  [8♦, J♠, 9♦]",2024-04-26T18:58:44.248Z,171415792424800
"""aic @ oKzmrGv1VB"" checks",2024-04-26T18:58:43.441Z,171415792344100
"""MAJ888 @ T2IjeiqoE8"" calls 300",2024-04-26T18:58:41.292Z,171415792129200
"""aic @ oKzmrGv1VB"" posts a big blind of 300",2024-04-26T18:58:30.970Z,171415791097005
"""MAJ888 @ T2IjeiqoE8"" posts a small blind of 150",2024-04-26T18:58:30.970Z,171415791097004
"Player stacks: #4 ""MAJ888 @ T2IjeiqoE8"" (3050) | #7 ""aic @ oKzmrGv1VB"" (3330)",2024-04-26T18:58:30.970Z,171415791097001
"-- starting hand #56 (id: hf5wkq6ezvie)  (No Limit Texas Hold'em) (dealer: ""MAJ888 @ T2IjeiqoE8"") --",2024-04-26T18:58:30.970Z,171415791097000
"-- ending hand #55 --",2024-04-26T18:58:27.966Z,171415790796602
"""aic @ oKzmrGv1VB"" collected 600 from pot",2024-04-26T18:58:27.966Z,171415790796601
"Uncalled bet of 2730 returned to ""aic @ oKzmrGv1VB""",2024-04-26T18:58:27.966Z,171415790796600
"""MAJ888 @ T2IjeiqoE8"" folds",2024-04-26T18:58:27.058Z,171415790705800
"""aic @ oKzmrGv1VB"" raises to 3030 and go all in",2024-04-26T18:58:24.007Z,171415790400700
"""MAJ888 @ T2IjeiqoE8"" posts a big blind of 300",2024-04-26T18:58:17.039Z,171415789703905
"""aic @ oKzmrGv1VB"" posts a small blind of 150",2024-04-26T18:58:17.039Z,171415789703904
"Player stacks: #4 ""MAJ888 @ T2IjeiqoE8"" (3350) | #7 ""aic @ oKzmrGv1VB"" (3030)",2024-04-26T18:58:17.039Z,171415789703901
"-- starting hand #55 (id: uthhvkxdflbm)  (No Limit Texas Hold'em) (dealer: ""aic @ oKzmrGv1VB"") --",2024-04-26T18:58:17.039Z,171415789703900
"-- ending hand #54 --",2024-04-26T18:58:14.109Z,171415789410902
"""aic @ oKzmrGv1VB"" collected 600 from pot",2024-04-26T18:58:14.109Z,171415789410901
"Uncalled bet of 600 returned to ""aic @ oKzmrGv1VB""",2024-04-26T18:58:14.109Z,171415789410900
"""MAJ888 @ T2IjeiqoE8"" folds",2024-04-26T18:58:13.302Z,171415789330200
"""aic @ oKzmrGv1VB"" raises to 900",2024-04-26T18:58:05.637Z,171415788563700
"""MAJ888 @ T2IjeiqoE8"" calls 300",2024-04-26T18:58:01.873Z,171415788187300
"""aic @ oKzmrGv1VB"" posts a big blind of 300",2024-04-26T18:57:58.725Z,171415787872505
"""MAJ888 @ T2IjeiqoE8"" posts a small blind of 150",2024-04-26T18:57:58.725Z,171415787872504
"Player stacks: #4 ""MAJ888 @ T2IjeiqoE8"" (3650) | #7 ""aic @ oKzmrGv1VB"" (2730)",2024-04-26T18:57:58.725Z,171415787872501
"-- starting hand #54 (id: ovrsfummzubl)  (No Limit Texas Hold'em) (dealer: ""MAJ888 @ T2IjeiqoE8"") --",2024-04-26T18:57:58.725Z,171415787872500
"-- ending hand #53 --",2024-04-26T18:57:55.811Z,171415787581102
"""MAJ888 @ T2IjeiqoE8"" collected 300 from pot",2024-04-26T18:57:55.811Z,171415787581101
"Uncalled bet of 150 returned to ""MAJ888 @ T2IjeiqoE8""",2024-04-26T18:57:55.811Z,171415787581100
