entry,at,order
"The player ""Fuse @ 83Jk0_FiqS"" quits the game with a stack of 7000.",2024-04-17T20:34:57.162Z,171338609716200
"The player ""cliffmafe @ Euu9xO9oqu"" quits the game with a stack of 0.",2024-04-17T20:28:19.371Z,171338569937100
"-- ending hand #32 --",2024-04-17T20:28:13.356Z,171338569335601
"""Fuse @ 83Jk0_FiqS"" collected 3240 from pot with Straight, Q High (combination: Q♥, J♥, 10♣, 9♠, 8♠)",2024-04-17T20:28:13.356Z,171338569335600
"River: 8♠, 9♠, J♥, 2♠ [5♥]",2024-04-17T20:28:09.281Z,171338568928100
"Turn: 8♠, 9♠, J♥ [2♠]",2024-04-17T20:28:05.176Z,171338568517600
"""Fuse @ 83Jk0_FiqS"" shows a 10♣, Q♥.",2024-04-17T20:28:01.168Z,171338568116801
"""cliffmafe @ Euu9xO9oqu"" shows a 3♦, 10♦.",2024-04-17T20:28:01.168Z,171338568116800
"""Fuse @ 83Jk0_FiqS"" calls 1520",2024-04-17T20:28:00.355Z,171338568035500
"""cliffmafe @ Euu9xO9oqu"" raises to 1520 and go all in",2024-04-17T20:27:58.932Z,171338567893200
"""Fuse @ 83Jk0_FiqS"" bets 100",2024-04-17T20:27:55.042Z,171338567504200
"Flop:  [8♠, 9♠, J♥]",2024-04-17T20:27:51.506Z,171338567150600
"""Fuse @ 83Jk0_FiqS"" checks",2024-04-17T20:27:50.655Z,171338567065500
"""cliffmafe @ Euu9xO9oqu"" calls 100",2024-04-17T20:27:49.279Z,171338566927900
"""Fuse @ 83Jk0_FiqS"" posts a big blind of 100",2024-04-17T20:27:45.727Z,171338566572705
"""cliffmafe @ Euu9xO9oqu"" posts a small blind of 50",2024-04-17T20:27:45.727Z,171338566572704
"Player stacks: #1 ""cliffmafe @ Euu9xO9oqu"" (1620) | #8 ""Fuse @ 83Jk0_FiqS"" (5380)",2024-04-17T20:27:45.727Z,171338566572701
"-- starting hand #32 (id: afw8u0ywaw7g)  (No Limit Texas Hold'em) (dealer: ""cliffmafe @ Euu9xO9oqu"") --",2024-04-17T20:27:45.727Z,171338566572700
"""cliffmafe @ Euu9xO9oqu"" shows a 9♣, 3♣.",2024-04-17T20:27:43.175Z,171338566317500
"-- ending hand #31 --",2024-04-17T20:27:42.122Z,171338566212202
"""cliffmafe @ Euu9xO9oqu"" collected 100 from pot",2024-04-17T20:27:42.122Z,171338566212201
"Uncalled bet of 50 returned to ""cliffmafe @ Euu9xO9oqu""",2024-04-17T20:27:42.122Z,171338566212200
"""Fuse @ 83Jk0_FiqS"" folds",2024-04-17T20:27:41.306Z,171338566130600
"""cliffmafe @ Euu9xO9oqu"" posts a big blind of 100",2024-04-17T20:27:39.612Z,171338565961205
"""Fuse @ 83Jk0_FiqS"" posts a small blind of 50",2024-04-17T20:27:39.612Z,171338565961204
"Player stacks: #1 ""cliffmafe @ Euu9xO9oqu"" (1570) | #8 ""Fuse @ 83Jk0_FiqS"" (5430)",2024-04-17T20:27:39.612Z,171338565961201
"-- starting hand #31 (id: zkrr33alv2an)  (No Limit Texas Hold'em) (dealer: ""Fuse @ 83Jk0_FiqS"") --",2024-04-17T20:27:39.612Z,171338565961200
"-- ending hand #30 --",2024-04-17T20:27:36.692Z,171338565669202
"""Fuse @ 83Jk0_FiqS"" collected 200 from pot",2024-04-17T20:27:36.692Z,171338565669201
"Uncalled bet of 100 returned to ""Fuse @ 83Jk0_FiqS""",2024-04-17T20:27:36.692Z,171338565669200
"""cliffmafe @ Euu9xO9oqu"" folds",2024-04-17T20:27:35.876Z,171338565587600
"""Fuse @ 83Jk0_FiqS"" raises to 200",2024-04-17T20:27:34.215Z,171338565421500
"""cliffmafe @ Euu9xO9oqu"" calls 100",2024-04-17T20:27:30.561Z,171338565056100
"""Fuse @ 83Jk0_FiqS"" posts a big blind of 100",2024-04-17T20:27:28.281Z,171338564828105
"""cliffmafe @ Euu9xO9oqu"" posts a small blind of 50",2024-04-17T20:27:28.281Z,171338564828104
"Player stacks: #1 ""cliffmafe @ Euu9xO9oqu"" (1670) | #8 ""Fuse @ 83Jk0_FiqS"" (5330)",2024-04-17T20:27:28.281Z,171338564828101
"-- starting hand #30 (id: bosnhknp2t9o)  (No Limit Texas Hold'em) (dealer: ""cliffmafe @ Euu9xO9oqu"") --",2024-04-17T20:27:28.281Z,171338564828100
"-- ending hand #29 --",2024-04-17T20:27:25.312Z,171338564531202
"""cliffmafe @ Euu9xO9oqu"" collected 400 from pot",2024-04-17T20:27:25.312Z,171338564531201
"Uncalled bet of 1270 returned to ""cliffmafe @ Euu9xO9oqu""",2024-04-17T20:27:25.312Z,171338564531200
"""Fuse @ 83Jk0_FiqS"" folds",2024-04-17T20:27:24.478Z,171338564447800
"""cliffmafe @ Euu9xO9oqu"" bets 1270 and go all in",2024-04-17T20:27:23.066Z,171338564306600
"River: 7♣, 10♥, 2♠, 5♣ [4♦]",2024-04-17T20:27:19.067Z,171338563906700
"""cliffmafe @ Euu9xO9oqu"" calls 100",2024-04-17T20:27:18.258Z,171338563825800
"""Fuse @ 83Jk0_FiqS"" bets 100",2024-04-17T20:27:15.803Z,171338563580300
"""cliffmafe @ Euu9xO9oqu"" checks",2024-04-17T20:27:14.067Z,171338563406700
"Turn: 7♣, 10♥, 2♠ [5♣]",2024-04-17T20:27:11.468Z,171338563146800
"""Fuse @ 83Jk0_FiqS"" checks",2024-04-17T20:27:10.643Z,171338563064300
"""cliffmafe @ Euu9xO9oqu"" checks",2024-04-17T20:27:09.145Z,171338562914500
"Flop:  [7♣, 10♥, 2♠]",2024-04-17T20:27:05.161Z,171338562516100
"""cliffmafe @ Euu9xO9oqu"" checks",2024-04-17T20:27:04.350Z,171338562435000
"""Fuse @ 83Jk0_FiqS"" calls 100",2024-04-17T20:27:01.403Z,171338562140300
"""cliffmafe @ Euu9xO9oqu"" posts a big blind of 100",2024-04-17T20:26:59.983Z,171338561998305
"""Fuse @ 83Jk0_FiqS"" posts a small blind of 50",2024-04-17T20:26:59.983Z,171338561998304
"Player stacks: #1 ""cliffmafe @ Euu9xO9oqu"" (1470) | #8 ""Fuse @ 83Jk0_FiqS"" (5530)",2024-04-17T20:26:59.983Z,171338561998301
"-- starting hand #29 (id: rkg1afk3jpbd)  (No Limit Texas Hold'em) (dealer: ""Fuse @ 83Jk0_FiqS"") --",2024-04-17T20:26:59.983Z,171338561998300
"-- ending hand #28 --",2024-04-17T20:26:53.956Z,171338561395603
"""Fuse @ 83Jk0_FiqS"" shows a 2♣, A♣.",2024-04-17T20:26:53.956Z,171338561395602
"""cliffmafe @ Euu9xO9oqu"" collected 400 from pot with Pair, 7's (combination: 7♣, 7♦, 8♦, 6♠, 5♠)",2024-04-17T20:26:53.956Z,171338561395601
"""cliffmafe @ Euu9xO9oqu"" shows a 7♣, 8♦.",2024-04-17T20:26:53.956Z,171338561395600
"""cliffmafe @ Euu9xO9oqu"" checks",2024-04-17T20:26:53.146Z,171338561314600
"""Fuse @ 83Jk0_FiqS"" checks",2024-04-17T20:26:51.580Z,171338561158000
