entry,at,order
"The player ""Kiew Wong @ P9j4tpKaXa"" quits the game with a stack of 5563.",2024-04-26T18:07:02.815Z,171415482281500
"The player ""knaush @ i8WU1EA56_"" quits the game with a stack of 0.",2024-04-26T18:02:56.296Z,171415457629600
"-- ending hand #64 --",2024-04-26T18:02:50.275Z,171415457027501
"""Kiew Wong @ P9j4tpKaXa"" collected 2938 from pot with Flush, Kh High (combination: K♥, 8♥, 4♥, 3♥, 2♥)",2024-04-26T18:02:50.275Z,171415457027500
"River: K♥, 4♥, 3♥, 2♥ [10♦]",2024-04-26T18:02:46.240Z,171415456624000
"""Kiew Wong @ P9j4tpKaXa"" shows a 6♠, 8♥.",2024-04-26T18:02:42.213Z,171415456221301
"""knaush @ i8WU1EA56_"" shows a 9♣, 7♣.",2024-04-26T18:02:42.213Z,171415456221300
"""Kiew Wong @ P9j4tpKaXa"" calls 469",2024-04-26T18:02:41.379Z,171415456137900
"""knaush @ i8WU1EA56_"" bets 469 and go all in",2024-04-26T18:02:40.112Z,171415456011200
"Turn: K♥, 4♥, 3♥ [2♥]",2024-04-26T18:02:37.940Z,171415455794000
"""Kiew Wong @ P9j4tpKaXa"" calls 500",2024-04-26T18:02:37.066Z,171415455706600
"""knaush @ i8WU1EA56_"" bets 500",2024-04-26T18:02:35.607Z,171415455560700
"Flop:  [K♥, 4♥, 3♥]",2024-04-26T18:02:32.713Z,171415455271300
"""knaush @ i8WU1EA56_"" checks",2024-04-26T18:02:31.909Z,171415455190900
"""Kiew Wong @ P9j4tpKaXa"" calls 500",2024-04-26T18:02:30.025Z,171415455002500
"""knaush @ i8WU1EA56_"" posts a big blind of 500",2024-04-26T18:02:27.743Z,171415454774305
"""Kiew Wong @ P9j4tpKaXa"" posts a small blind of 250",2024-04-26T18:02:27.743Z,171415454774304
"Player stacks: #1 ""knaush @ i8WU1EA56_"" (1469) | #5 ""Kiew Wong @ P9j4tpKaXa"" (4094)",2024-04-26T18:02:27.743Z,171415454774301
"-- starting hand #64 (id: rjn9mloxuj4l)  (No Limit Texas Hold'em) (dealer: ""Kiew Wong @ P9j4tpKaXa"") --",2024-04-26T18:02:27.743Z,171415454774300
"-- ending hand #63 --",2024-04-26T18:02:24.785Z,171415454478502
"""Kiew Wong @ P9j4tpKaXa"" collected 1000 from pot",2024-04-26T18:02:24.785Z,171415454478501
"Uncalled bet of 1000 returned to ""Kiew Wong @ P9j4tpKaXa""",2024-04-26T18:02:24.785Z,171415454478500
"""knaush @ i8WU1EA56_"" folds",2024-04-26T18:02:23.971Z,171415454397100
"""Kiew Wong @ P9j4tpKaXa"" raises to 1500",2024-04-26T18:02:13.976Z,171415453397600
"""knaush @ i8WU1EA56_"" calls 500",2024-04-26T18:02:09.763Z,171415452976300
"""Kiew Wong @ P9j4tpKaXa"" posts a big blind of 500",2024-04-26T18:02:07.265Z,171415452726507
"""knaush @ i8WU1EA56_"" posts a small blind of 250",2024-04-26T18:02:07.265Z,171415452726506
"Player stacks: #1 ""knaush @ i8WU1EA56_"" (1969) | #5 ""Kiew Wong @ P9j4tpKaXa"" (3594)",2024-04-26T18:02:07.265Z,171415452726503
"-- starting hand #63 (id: ckpcqwlnj7yq)  (No Limit Texas Hold'em) (dealer: ""knaush @ i8WU1EA56_"") --",2024-04-26T18:02:07.265Z,171415452726502
"The game's big blind was changed from 300 to 500.",2024-04-26T18:02:07.265Z,171415452726501
"The game's small blind was changed from 150 to 250.",2024-04-26T18:02:07.265Z,171415452726500
"-- ending hand #62 --",2024-04-26T18:02:04.359Z,171415452435902
"""Kiew Wong @ P9j4tpKaXa"" collected 600 from pot",2024-04-26T18:02:04.359Z,171415452435901
"Uncalled bet of 300 returned to ""Kiew Wong @ P9j4tpKaXa""",2024-04-26T18:02:04.359Z,171415452435900
