entry,at,order
"The player ""Skrutongus @ gIOvLzevI_"" quits the game with a stack of 8000.",2024-04-26T17:45:58.716Z,171415355871600
"The player ""aic @ oKzmrGv1VB"" quits the game with a stack of 0.",2024-04-26T17:40:23.224Z,171415322322400
"-- ending hand #60 --",2024-04-26T17:40:17.212Z,171415321721201
"""Skrutongus @ gIOvLzevI_"" collected 7980 from pot with Three of a Kind, 4's (combination: 4♦, 4♣, 4♥, K♥, 6♦)",2024-04-26T17:40:17.212Z,171415321721200
"River: 4♥, 6♦, K♥, 2♠ [3♣]",2024-04-26T17:40:13.206Z,171415321320600
"""aic @ oKzmrGv1VB"" shows a 9♠, K♦.",2024-04-26T17:40:09.197Z,171415320919701
"""Skrutongus @ gIOvLzevI_"" shows a 4♦, 4♣.",2024-04-26T17:40:09.197Z,171415320919700
"""Skrutongus @ gIOvLzevI_"" calls 3390",2024-04-26T17:40:08.307Z,171415320830700
"""aic @ oKzmrGv1VB"" raises to 3390 and go all in",2024-04-26T17:40:06.141Z,171415320614100
"""Skrutongus @ gIOvLzevI_"" raises to 1800",2024-04-26T17:39:58.595Z,171415319859500
"""aic @ oKzmrGv1VB"" bets 900",2024-04-26T17:39:48.288Z,171415318828800
"""Skrutongus @ gIOvLzevI_"" checks",2024-04-26T17:39:43.925Z,171415318392500
"Turn: 4♥, 6♦, K♥ [2♠]",2024-04-26T17:39:39.968Z,171415317996800
"""aic @ oKzmrGv1VB"" calls 300",2024-04-26T17:39:39.150Z,171415317915000
"""Skrutongus @ gIOvLzevI_"" bets 300",2024-04-26T17:39:36.680Z,171415317668000
"Flop:  [4♥, 6♦, K♥]",2024-04-26T17:39:31.759Z,171415317175900
"""Skrutongus @ gIOvLzevI_"" checks",2024-04-26T17:39:30.929Z,171415317092900
"""aic @ oKzmrGv1VB"" calls 300",2024-04-26T17:39:26.347Z,171415316634700
"""Skrutongus @ gIOvLzevI_"" posts a big blind of 300",2024-04-26T17:39:24.113Z,171415316411305
"""aic @ oKzmrGv1VB"" posts a small blind of 150",2024-04-26T17:39:24.113Z,171415316411304
"Player stacks: #5 ""Skrutongus @ gIOvLzevI_"" (4010) | #8 ""aic @ oKzmrGv1VB"" (3990)",2024-04-26T17:39:24.113Z,171415316411301
"-- starting hand #60 (id: q8zqk7ud7d2v)  (No Limit Texas Hold'em) (dealer: ""aic @ oKzmrGv1VB"") --",2024-04-26T17:39:24.113Z,171415316411300
"-- ending hand #59 --",2024-04-26T17:39:21.143Z,171415316114302
"""Skrutongus @ gIOvLzevI_"" collected 600 from pot",2024-04-26T17:39:21.143Z,171415316114301
"Uncalled bet of 900 returned to ""Skrutongus @ gIOvLzevI_""",2024-04-26T17:39:21.143Z,171415316114300
"""aic @ oKzmrGv1VB"" folds",2024-04-26T17:39:20.324Z,171415316032400
"""Skrutongus @ gIOvLzevI_"" bets 900",2024-04-26T17:39:18.440Z,171415315844000
"""aic @ oKzmrGv1VB"" checks",2024-04-26T17:39:13.596Z,171415315359600
"River: 3♥, 7♣, 2♣, 5♠ [Q♦]",2024-04-26T17:39:09.529Z,171415314952900
"""Skrutongus @ gIOvLzevI_"" checks",2024-04-26T17:39:08.727Z,171415314872700
"""aic @ oKzmrGv1VB"" checks",2024-04-26T17:39:06.269Z,171415314626900
"Turn: 3♥, 7♣, 2♣ [5♠]",2024-04-26T17:39:01.690Z,171415314169000
"""Skrutongus @ gIOvLzevI_"" checks",2024-04-26T17:39:00.832Z,171415314083200
"""aic @ oKzmrGv1VB"" checks",2024-04-26T17:38:58.297Z,171415313829700
"Flop:  [3♥, 7♣, 2♣]",2024-04-26T17:38:54.661Z,171415313466100
"""aic @ oKzmrGv1VB"" checks",2024-04-26T17:38:53.849Z,171415313384900
"""Skrutongus @ gIOvLzevI_"" calls 300",2024-04-26T17:38:51.514Z,171415313151400
"""aic @ oKzmrGv1VB"" posts a big blind of 300",2024-04-26T17:38:48.861Z,171415312886105
"""Skrutongus @ gIOvLzevI_"" posts a small blind of 150",2024-04-26T17:38:48.861Z,171415312886104
"Player stacks: #5 ""Skrutongus @ gIOvLzevI_"" (3710) | #8 ""aic @ oKzmrGv1VB"" (4290)",2024-04-26T17:38:48.861Z,171415312886101
"-- starting hand #59 (id: xobfypzlk7cq)  (No Limit Texas Hold'em) (dealer: ""Skrutongus @ gIOvLzevI_"") --",2024-04-26T17:38:48.861Z,171415312886100
"""Skrutongus @ gIOvLzevI_"" shows a 3♣, 6♠.",2024-04-26T17:38:45.731Z,171415312573100
"-- ending hand #58 --",2024-04-26T17:38:45.250Z,171415312525002
"""aic @ oKzmrGv1VB"" collected 600 from pot",2024-04-26T17:38:45.250Z,171415312525001
"Uncalled bet of 450 returned to ""aic @ oKzmrGv1VB""",2024-04-26T17:38:45.250Z,171415312525000
"""Skrutongus @ gIOvLzevI_"" folds",2024-04-26T17:38:44.427Z,171415312442700
"""aic @ oKzmrGv1VB"" bets 450",2024-04-26T17:38:43.301Z,171415312330100
"""Skrutongus @ gIOvLzevI_"" checks",2024-04-26T17:38:39.731Z,171415311973100
"Turn: A♣, 9♣, Q♠ [10♦]",2024-04-26T17:38:38.339Z,171415311833900
"""aic @ oKzmrGv1VB"" checks",2024-04-26T17:38:37.498Z,171415311749800
"""Skrutongus @ gIOvLzevI_"" checks",2024-04-26T17:38:35.909Z,171415311590900
"Flop:  [A♣, 9♣, Q♠]",2024-04-26T17:38:32.589Z,171415311258900
