entry,at,order
"The player ""durbeyfield @ ODN1Z5CDNF"" quits the game with a stack of 5883.",2024-04-26T17:04:39.244Z,171415107924400
"The player ""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" quits the game with a stack of 0.",2024-04-26T16:59:10.597Z,171415075059700
"-- ending hand #69 --",2024-04-26T16:59:04.583Z,171415074458301
"""durbeyfield @ ODN1Z5CDNF"" collected 2556 from pot with Two Pair, 9's & 2's (combination: 9♥, 9♣, 2♥, 2♣, Q♥)",2024-04-26T16:59:04.583Z,171415074458300
"River: 4♣, Q♥, 2♥, 2♣ [9♣]",2024-04-26T16:59:00.570Z,171415074057000
"Turn: 4♣, Q♥, 2♥ [2♣]",2024-04-26T16:58:56.562Z,171415073656200
"Flop:  [4♣, Q♥, 2♥]",2024-04-26T16:58:52.540Z,171415073254000
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" shows a 3♣, 3♦.",2024-04-26T16:58:48.471Z,171415072847101
"""durbeyfield @ ODN1Z5CDNF"" shows a 5♥, 9♥.",2024-04-26T16:58:48.471Z,171415072847100
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" calls 1278 and go all in",2024-04-26T16:58:47.644Z,171415072764400
"""durbeyfield @ ODN1Z5CDNF"" raises to 1278",2024-04-26T16:58:46.364Z,171415072636400
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" raises to 900",2024-04-26T16:58:39.185Z,171415071918500
"""durbeyfield @ ODN1Z5CDNF"" posts a big blind of 300",2024-04-26T16:58:35.296Z,171415071529605
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" posts a small blind of 150",2024-04-26T16:58:35.296Z,171415071529604
"Player stacks: #3 ""durbeyfield @ ODN1Z5CDNF"" (4605) | #6 ""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" (1278)",2024-04-26T16:58:35.296Z,171415071529601
"-- starting hand #69 (id: 81u7jrk5fl7a)  (No Limit Texas Hold'em) (dealer: ""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"") --",2024-04-26T16:58:35.296Z,171415071529600
"-- ending hand #68 --",2024-04-26T16:58:29.286Z,171415070928603
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" shows a 6♠, Q♦.",2024-04-26T16:58:29.286Z,171415070928602
"""durbeyfield @ ODN1Z5CDNF"" collected 1200 from pot with Pair, Q's (combination: Q♥, Q♣, J♣, 9♠, 8♠)",2024-04-26T16:58:29.286Z,171415070928601
"""durbeyfield @ ODN1Z5CDNF"" shows a Q♥, Q♣.",2024-04-26T16:58:29.286Z,171415070928600
"""durbeyfield @ ODN1Z5CDNF"" checks",2024-04-26T16:58:28.471Z,171415070847100
