entry,at,order
"The player ""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" quits the game with a stack of 7000.",2024-04-26T20:27:10.384Z,171416323038400
"The player ""Sas^^ @ WHUdiMDR2E"" quits the game with a stack of 0.",2024-04-26T20:21:41.536Z,171416290153600
"-- ending hand #105 --",2024-04-26T20:21:35.532Z,171416289553204
"""Sas^^ @ WHUdiMDR2E"" shows a 10♠, 8♣.",2024-04-26T20:21:35.532Z,171416289553203
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" collected 6240 from pot with Three of a Kind, A's (combination: A♦, A♠, A♣, K♣, J♦)",2024-04-26T20:21:35.532Z,171416289553202
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" shows a A♦, A♠.",2024-04-26T20:21:35.532Z,171416289553201
"Uncalled bet of 480 returned to ""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl""",2024-04-26T20:21:35.532Z,171416289553200
"""Sas^^ @ WHUdiMDR2E"" calls 120 and go all in",2024-04-26T20:21:34.701Z,171416289470100
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" bets 600",2024-04-26T20:21:33.744Z,171416289374400
"River: J♦, 10♦, 6♥, A♣ [K♣]",2024-04-26T20:21:32.329Z,171416289232900
"""Sas^^ @ WHUdiMDR2E"" calls 600",2024-04-26T20:21:31.509Z,171416289150900
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" bets 600",2024-04-26T20:21:28.008Z,171416288800800
"Turn: J♦, 10♦, 6♥ [A♣]",2024-04-26T20:21:23.269Z,171416288326900
"""Sas^^ @ WHUdiMDR2E"" calls 1200",2024-04-26T20:21:22.415Z,171416288241500
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" bets 1200",2024-04-26T20:21:17.909Z,171416287790900
"Flop:  [J♦, 10♦, 6♥]",2024-04-26T20:21:13.855Z,171416287385500
"""Sas^^ @ WHUdiMDR2E"" calls 1200",2024-04-26T20:21:13.002Z,171416287300200
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" raises to 1200",2024-04-26T20:21:10.348Z,171416287034800
"""Sas^^ @ WHUdiMDR2E"" calls 600",2024-04-26T20:21:06.552Z,171416286655200
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" posts a big blind of 600",2024-04-26T20:21:05.046Z,171416286504605
"""Sas^^ @ WHUdiMDR2E"" posts a small blind of 300",2024-04-26T20:21:05.046Z,171416286504604
"Player stacks: #6 ""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" (3880) | #7 ""Sas^^ @ WHUdiMDR2E"" (3120)",2024-04-26T20:21:05.046Z,171416286504601
"-- starting hand #105 (id: axurcrhu9iv7)  (No Limit Texas Hold'em) (dealer: ""Sas^^ @ WHUdiMDR2E"") --",2024-04-26T20:21:05.046Z,171416286504600
"-- ending hand #104 --",2024-04-26T20:21:02.117Z,171416286211702
"""Sas^^ @ WHUdiMDR2E"" collected 1200 from pot",2024-04-26T20:21:02.117Z,171416286211701
"Uncalled bet of 600 returned to ""Sas^^ @ WHUdiMDR2E""",2024-04-26T20:21:02.117Z,171416286211700
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" folds",2024-04-26T20:21:01.285Z,171416286128500
"""Sas^^ @ WHUdiMDR2E"" bets 600",2024-04-26T20:20:59.550Z,171416285955000
"Flop:  [9♣, K♦, 7♥]",2024-04-26T20:20:57.371Z,171416285737100
"""Sas^^ @ WHUdiMDR2E"" checks",2024-04-26T20:20:56.559Z,171416285655900
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" calls 600",2024-04-26T20:20:54.989Z,171416285498900
"""Sas^^ @ WHUdiMDR2E"" posts a big blind of 600",2024-04-26T20:20:53.452Z,171416285345205
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" posts a small blind of 300",2024-04-26T20:20:53.452Z,171416285345204
"Player stacks: #6 ""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" (4480) | #7 ""Sas^^ @ WHUdiMDR2E"" (2520)",2024-04-26T20:20:53.452Z,171416285345201
"-- starting hand #104 (id: 9i1svw2443s0)  (No Limit Texas Hold'em) (dealer: ""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"") --",2024-04-26T20:20:53.452Z,171416285345200
"-- ending hand #103 --",2024-04-26T20:20:47.448Z,171416284744801
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" collected 4480 from pot with Two Pair, Q's & 6's (combination: Q♣, Q♠, 6♠, 6♥, A♠)",2024-04-26T20:20:47.448Z,171416284744800
"River: A♠, 5♥, Q♠, 8♦ [6♥]",2024-04-26T20:20:43.445Z,171416284344500
"Turn: A♠, 5♥, Q♠ [8♦]",2024-04-26T20:20:39.438Z,171416283943800
"""Sas^^ @ WHUdiMDR2E"" shows a 10♥, 10♦.",2024-04-26T20:20:35.433Z,171416283543301
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" shows a Q♣, 6♠.",2024-04-26T20:20:35.433Z,171416283543300
"""Sas^^ @ WHUdiMDR2E"" calls 1040",2024-04-26T20:20:34.584Z,171416283458400
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" raises to 1040 and go all in",2024-04-26T20:20:31.166Z,171416283116600
"""Sas^^ @ WHUdiMDR2E"" bets 600",2024-04-26T20:20:27.170Z,171416282717000
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" checks",2024-04-26T20:20:25.541Z,171416282554100
"Flop:  [A♠, 5♥, Q♠]",2024-04-26T20:20:23.049Z,171416282304900
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" calls 1200",2024-04-26T20:20:22.221Z,171416282222100
"""Sas^^ @ WHUdiMDR2E"" raises to 1200",2024-04-26T20:20:19.460Z,171416281946000
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" posts a big blind of 600",2024-04-26T20:20:15.419Z,171416281541905
"""Sas^^ @ WHUdiMDR2E"" posts a small blind of 300",2024-04-26T20:20:15.419Z,171416281541904
"Player stacks: #6 ""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" (2240) | #7 ""Sas^^ @ WHUdiMDR2E"" (4760)",2024-04-26T20:20:15.419Z,171416281541901
"-- starting hand #103 (id: y2k7ghll5jtk)  (No Limit Texas Hold'em) (dealer: ""Sas^^ @ WHUdiMDR2E"") --",2024-04-26T20:20:15.419Z,171416281541900
"-- ending hand #102 --",2024-04-26T20:20:12.474Z,171416281247402
"""Sas^^ @ WHUdiMDR2E"" collected 1200 from pot",2024-04-26T20:20:12.474Z,171416281247401
"Uncalled bet of 600 returned to ""Sas^^ @ WHUdiMDR2E""",2024-04-26T20:20:12.474Z,171416281247400
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" folds",2024-04-26T20:20:11.651Z,171416281165100
"""Sas^^ @ WHUdiMDR2E"" bets 600",2024-04-26T20:20:10.327Z,171416281032700
"Flop:  [4♥, 5♥, 9♥]",2024-04-26T20:20:08.412Z,171416280841200
"""Sas^^ @ WHUdiMDR2E"" checks",2024-04-26T20:20:07.579Z,171416280757900
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" calls 600",2024-04-26T20:20:05.562Z,171416280556200
"""Sas^^ @ WHUdiMDR2E"" posts a big blind of 600",2024-04-26T20:20:03.126Z,171416280312605
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" posts a small blind of 300",2024-04-26T20:20:03.126Z,171416280312604
"Player stacks: #6 ""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" (2840) | #7 ""Sas^^ @ WHUdiMDR2E"" (4160)",2024-04-26T20:20:03.126Z,171416280312601
"-- starting hand #102 (id: fzoh5z0faoxe)  (No Limit Texas Hold'em) (dealer: ""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"") --",2024-04-26T20:20:03.126Z,171416280312600
"-- ending hand #101 --",2024-04-26T20:20:00.218Z,171416280021802
"""Sas^^ @ WHUdiMDR2E"" collected 1200 from pot",2024-04-26T20:20:00.218Z,171416280021801
"Uncalled bet of 600 returned to ""Sas^^ @ WHUdiMDR2E""",2024-04-26T20:20:00.218Z,171416280021800
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" folds",2024-04-26T20:19:59.387Z,171416279938700
"""Sas^^ @ WHUdiMDR2E"" bets 600",2024-04-26T20:19:58.390Z,171416279839000
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" checks",2024-04-26T20:19:56.630Z,171416279663000
"Flop:  [6♥, K♦, 2♣]",2024-04-26T20:19:55.081Z,171416279508100
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" checks",2024-04-26T20:19:54.267Z,171416279426700
"""Sas^^ @ WHUdiMDR2E"" calls 600",2024-04-26T20:19:52.557Z,171416279255700
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" posts a big blind of 600",2024-04-26T20:19:51.229Z,171416279122905
"""Sas^^ @ WHUdiMDR2E"" posts a small blind of 300",2024-04-26T20:19:51.229Z,171416279122904
"Player stacks: #6 ""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" (3440) | #7 ""Sas^^ @ WHUdiMDR2E"" (3560)",2024-04-26T20:19:51.229Z,171416279122901
"-- starting hand #101 (id: uokqiughzwsp)  (No Limit Texas Hold'em) (dealer: ""Sas^^ @ WHUdiMDR2E"") --",2024-04-26T20:19:51.229Z,171416279122900
"-- ending hand #100 --",2024-04-26T20:19:48.294Z,171416278829402
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" collected 1200 from pot",2024-04-26T20:19:48.294Z,171416278829401
"Uncalled bet of 1200 returned to ""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl""",2024-04-26T20:19:48.294Z,171416278829400
"""Sas^^ @ WHUdiMDR2E"" folds",2024-04-26T20:19:47.465Z,171416278746500
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" bets 1200",2024-04-26T20:19:24.636Z,171416276463600
"""Sas^^ @ WHUdiMDR2E"" checks",2024-04-26T20:19:19.076Z,171416275907600
"River: 5♥, 4♥, 3♥, 9♠ [3♣]",2024-04-26T20:19:17.127Z,171416275712700
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" checks",2024-04-26T20:19:16.307Z,171416275630700
"""Sas^^ @ WHUdiMDR2E"" checks",2024-04-26T20:19:14.393Z,171416275439300
"Turn: 5♥, 4♥, 3♥ [9♠]",2024-04-26T20:19:12.363Z,171416275236300
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" checks",2024-04-26T20:19:11.525Z,171416275152500
"""Sas^^ @ WHUdiMDR2E"" checks",2024-04-26T20:19:07.386Z,171416274738600
"Flop:  [5♥, 4♥, 3♥]",2024-04-26T20:19:04.015Z,171416274401500
"""Sas^^ @ WHUdiMDR2E"" checks",2024-04-26T20:19:03.164Z,171416274316400
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" calls 600",2024-04-26T20:19:00.825Z,171416274082500
"""Sas^^ @ WHUdiMDR2E"" posts a big blind of 600",2024-04-26T20:18:59.359Z,171416273935905
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" posts a small blind of 300",2024-04-26T20:18:59.359Z,171416273935904
"Player stacks: #6 ""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" (2840) | #7 ""Sas^^ @ WHUdiMDR2E"" (4160)",2024-04-26T20:18:59.359Z,171416273935901
"-- starting hand #100 (id: z2b8e0cw4ifm)  (No Limit Texas Hold'em) (dealer: ""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"") --",2024-04-26T20:18:59.359Z,171416273935900
"-- ending hand #99 --",2024-04-26T20:18:56.392Z,171416273639202
"""Sas^^ @ WHUdiMDR2E"" collected 1200 from pot",2024-04-26T20:18:56.392Z,171416273639201
"Uncalled bet of 600 returned to ""Sas^^ @ WHUdiMDR2E""",2024-04-26T20:18:56.392Z,171416273639200
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" folds",2024-04-26T20:18:55.560Z,171416273556000
"""Sas^^ @ WHUdiMDR2E"" bets 600",2024-04-26T20:18:53.899Z,171416273389900
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" checks",2024-04-26T20:18:52.472Z,171416273247200
"River: A♠, 10♣, 6♣, 6♥ [8♦]",2024-04-26T20:18:50.780Z,171416273078000
"""Sas^^ @ WHUdiMDR2E"" checks",2024-04-26T20:18:49.959Z,171416272995900
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" checks",2024-04-26T20:18:48.118Z,171416272811800
"Turn: A♠, 10♣, 6♣ [6♥]",2024-04-26T20:18:45.874Z,171416272587400
"""Sas^^ @ WHUdiMDR2E"" checks",2024-04-26T20:18:45.046Z,171416272504600
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" checks",2024-04-26T20:18:43.255Z,171416272325500
"Flop:  [A♠, 10♣, 6♣]",2024-04-26T20:18:40.349Z,171416272034900
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" checks",2024-04-26T20:18:39.538Z,171416271953800
"""Sas^^ @ WHUdiMDR2E"" calls 600",2024-04-26T20:18:37.780Z,171416271778000
"""~𝒜𝓃𝑔𝒾𝑒~ @ S-CIc_0Pzl"" posts a big blind of 600",2024-04-26T20:18:36.458Z,171416271645805
