entry,at,order
"The player ""wolfbirdpilot @ U5uCxUDcnm"" quits the game with a stack of 8000.",2024-04-26T17:10:22.021Z,171415142202100
"The player ""CruJones @ AXNvirFFOh"" quits the game with a stack of 0.",2024-04-26T17:04:36.033Z,171415107603300
"-- ending hand #48 --",2024-04-26T17:04:30.010Z,171415107001001
"""wolfbirdpilot @ U5uCxUDcnm"" collected 5580 from pot with Three of a Kind, 3's (combination: 3♥, 3♣, 3♠, Q♣, J♦)",2024-04-26T17:04:30.010Z,171415107001000
"River: 10♣, 3♣, 3♠, Q♣ [J♦]",2024-04-26T17:04:25.954Z,171415106595400
"Turn: 10♣, 3♣, 3♠ [Q♣]",2024-04-26T17:04:21.915Z,171415106191500
"""CruJones @ AXNvirFFOh"" shows a A♠, J♠.",2024-04-26T17:04:17.903Z,171415105790301
"""wolfbirdpilot @ U5uCxUDcnm"" shows a 3♥, 5♠.",2024-04-26T17:04:17.903Z,171415105790300
"""CruJones @ AXNvirFFOh"" calls 2490 and go all in",2024-04-26T17:04:17.079Z,171415105707900
"""wolfbirdpilot @ U5uCxUDcnm"" raises to 2490",2024-04-26T17:04:15.786Z,171415105578600
"""CruJones @ AXNvirFFOh"" raises to 1500",2024-04-26T17:04:12.491Z,171415105249100
"""wolfbirdpilot @ U5uCxUDcnm"" bets 300",2024-04-26T17:04:07.111Z,171415104711100
"Flop:  [10♣, 3♣, 3♠]",2024-04-26T17:04:05.677Z,171415104567700
"""wolfbirdpilot @ U5uCxUDcnm"" checks",2024-04-26T17:04:04.861Z,171415104486100
"""CruJones @ AXNvirFFOh"" calls 300",2024-04-26T17:04:03.909Z,171415104390900
"""wolfbirdpilot @ U5uCxUDcnm"" posts a big blind of 300",2024-04-26T17:04:01.920Z,171415104192005
"""CruJones @ AXNvirFFOh"" posts a small blind of 150",2024-04-26T17:04:01.920Z,171415104192004
"Player stacks: #2 ""wolfbirdpilot @ U5uCxUDcnm"" (5210) | #6 ""CruJones @ AXNvirFFOh"" (2790)",2024-04-26T17:04:01.920Z,171415104192001
"-- starting hand #48 (id: 3qlmkkw7n7wy)  (No Limit Texas Hold'em) (dealer: ""CruJones @ AXNvirFFOh"") --",2024-04-26T17:04:01.920Z,171415104192000
"-- ending hand #47 --",2024-04-26T17:03:58.998Z,171415103899802
"""CruJones @ AXNvirFFOh"" collected 300 from pot",2024-04-26T17:03:58.998Z,171415103899801
"Uncalled bet of 150 returned to ""CruJones @ AXNvirFFOh""",2024-04-26T17:03:58.998Z,171415103899800
"""wolfbirdpilot @ U5uCxUDcnm"" folds",2024-04-26T17:03:58.191Z,171415103819100
"""CruJones @ AXNvirFFOh"" posts a big blind of 300",2024-04-26T17:03:56.593Z,171415103659307
"""wolfbirdpilot @ U5uCxUDcnm"" posts a small blind of 150",2024-04-26T17:03:56.593Z,171415103659306
"Player stacks: #2 ""wolfbirdpilot @ U5uCxUDcnm"" (5360) | #6 ""CruJones @ AXNvirFFOh"" (2640)",2024-04-26T17:03:56.593Z,171415103659303
"-- starting hand #47 (id: uf8saqracssq)  (No Limit Texas Hold'em) (dealer: ""wolfbirdpilot @ U5uCxUDcnm"") --",2024-04-26T17:03:56.593Z,171415103659302
"The game's big blind was changed from 200 to 300.",2024-04-26T17:03:56.593Z,171415103659301
"The game's small blind was changed from 100 to 150.",2024-04-26T17:03:56.593Z,171415103659300
"-- ending hand #46 --",2024-04-26T17:03:53.686Z,171415103368602
"""CruJones @ AXNvirFFOh"" collected 400 from pot",2024-04-26T17:03:53.686Z,171415103368601
"Uncalled bet of 400 returned to ""CruJones @ AXNvirFFOh""",2024-04-26T17:03:53.686Z,171415103368600
"""wolfbirdpilot @ U5uCxUDcnm"" folds",2024-04-26T17:03:52.874Z,171415103287400
"""CruJones @ AXNvirFFOh"" bets 400",2024-04-26T17:03:51.971Z,171415103197100
"""wolfbirdpilot @ U5uCxUDcnm"" checks",2024-04-26T17:03:43.063Z,171415102306300
"Flop:  [J♣, 3♣, 4♦]",2024-04-26T17:03:41.477Z,171415102147700
"""wolfbirdpilot @ U5uCxUDcnm"" checks",2024-04-26T17:03:40.649Z,171415102064900
"""CruJones @ AXNvirFFOh"" calls 200",2024-04-26T17:03:39.774Z,171415101977400
"""wolfbirdpilot @ U5uCxUDcnm"" posts a big blind of 200",2024-04-26T17:03:35.615Z,171415101561505
