entry,at,order
"The player ""zhuker @ Kl1_LnokTN"" quits the game with a stack of 7000.",2024-04-17T20:49:23.668Z,171338696366800
"The player ""mr. lambert @ cv4vc9wMU_"" quits the game with a stack of 0.",2024-04-17T20:43:50.768Z,171338663076800
"-- ending hand #39 --",2024-04-17T20:43:44.759Z,171338662475901
"""zhuker @ Kl1_LnokTN"" collected 3564 from pot with Full House, J's over 6's (combination: J♣, J♠, J♦, 6♦, 6♥)",2024-04-17T20:43:44.759Z,171338662475900
"River: J♠, 6♦, J♦, 6♥ [K♦]",2024-04-17T20:43:40.752Z,171338662075200
"Turn: J♠, 6♦, J♦ [6♥]",2024-04-17T20:43:36.716Z,171338661671600
"Flop:  [J♠, 6♦, J♦]",2024-04-17T20:43:32.659Z,171338661265900
"""mr. lambert @ cv4vc9wMU_"" shows a 3♠, 7♠.",2024-04-17T20:43:28.655Z,171338660865501
"""zhuker @ Kl1_LnokTN"" shows a Q♥, J♣.",2024-04-17T20:43:28.655Z,171338660865500
"""zhuker @ Kl1_LnokTN"" calls 1782",2024-04-17T20:43:27.795Z,171338660779500
"""mr. lambert @ cv4vc9wMU_"" raises to 1782 and go all in",2024-04-17T20:43:25.923Z,171338660592300
"""zhuker @ Kl1_LnokTN"" posts a big blind of 100",2024-04-17T20:43:23.579Z,171338660357905
"""mr. lambert @ cv4vc9wMU_"" posts a small blind of 50",2024-04-17T20:43:23.579Z,171338660357904
"Player stacks: #1 ""zhuker @ Kl1_LnokTN"" (5218) | #8 ""mr. lambert @ cv4vc9wMU_"" (1782)",2024-04-17T20:43:23.579Z,171338660357901
"-- starting hand #39 (id: zebkp0kq8ygt)  (No Limit Texas Hold'em) (dealer: ""mr. lambert @ cv4vc9wMU_"") --",2024-04-17T20:43:23.579Z,171338660357900
"-- ending hand #38 --",2024-04-17T20:43:20.633Z,171338660063302
"""mr. lambert @ cv4vc9wMU_"" collected 100 from pot",2024-04-17T20:43:20.633Z,171338660063301
"Uncalled bet of 50 returned to ""mr. lambert @ cv4vc9wMU_""",2024-04-17T20:43:20.633Z,171338660063300
"""zhuker @ Kl1_LnokTN"" folds",2024-04-17T20:43:19.775Z,171338659977500
"""mr. lambert @ cv4vc9wMU_"" posts a big blind of 100",2024-04-17T20:43:17.431Z,171338659743105
"""zhuker @ Kl1_LnokTN"" posts a small blind of 50",2024-04-17T20:43:17.431Z,171338659743104
"Player stacks: #1 ""zhuker @ Kl1_LnokTN"" (5268) | #8 ""mr. lambert @ cv4vc9wMU_"" (1732)",2024-04-17T20:43:17.431Z,171338659743101
"-- starting hand #38 (id: a0giu1mqq4xz)  (No Limit Texas Hold'em) (dealer: ""zhuker @ Kl1_LnokTN"") --",2024-04-17T20:43:17.431Z,171338659743100
"-- ending hand #37 --",2024-04-17T20:43:11.422Z,171338659142202
"""zhuker @ Kl1_LnokTN"" collected 1500 from pot with Two Pair, J's & 6's (combination: J♣, J♦, 6♣, 6♦, Q♥)",2024-04-17T20:43:11.422Z,171338659142201
"""zhuker @ Kl1_LnokTN"" shows a 7♦, 6♣.",2024-04-17T20:43:11.422Z,171338659142200
"""mr. lambert @ cv4vc9wMU_"" checks",2024-04-17T20:43:10.584Z,171338659058400
"""zhuker @ Kl1_LnokTN"" checks",2024-04-17T20:43:09.181Z,171338658918100
"River: 6♦, Q♥, 4♣, J♣ [J♦]",2024-04-17T20:43:02.620Z,171338658262000
"""mr. lambert @ cv4vc9wMU_"" checks",2024-04-17T20:43:01.743Z,171338658174300
"""zhuker @ Kl1_LnokTN"" checks",2024-04-17T20:43:00.350Z,171338658035000
"Turn: 6♦, Q♥, 4♣ [J♣]",2024-04-17T20:42:57.008Z,171338657700800
"""zhuker @ Kl1_LnokTN"" calls 450",2024-04-17T20:42:56.187Z,171338657618700
"""mr. lambert @ cv4vc9wMU_"" bets 450",2024-04-17T20:42:53.652Z,171338657365200
"""zhuker @ Kl1_LnokTN"" checks",2024-04-17T20:42:50.290Z,171338657029000
"Flop:  [6♦, Q♥, 4♣]",2024-04-17T20:42:47.444Z,171338656744400
"""zhuker @ Kl1_LnokTN"" calls 300",2024-04-17T20:42:46.613Z,171338656661300
"""mr. lambert @ cv4vc9wMU_"" raises to 300",2024-04-17T20:42:44.590Z,171338656459000
"""zhuker @ Kl1_LnokTN"" posts a big blind of 100",2024-04-17T20:42:41.594Z,171338656159405
"""mr. lambert @ cv4vc9wMU_"" posts a small blind of 50",2024-04-17T20:42:41.594Z,171338656159404
"Player stacks: #1 ""zhuker @ Kl1_LnokTN"" (4518) | #8 ""mr. lambert @ cv4vc9wMU_"" (2482)",2024-04-17T20:42:41.594Z,171338656159401
"-- starting hand #37 (id: reufnu4qgrm5)  (No Limit Texas Hold'em) (dealer: ""mr. lambert @ cv4vc9wMU_"") --",2024-04-17T20:42:41.594Z,171338656159400
"-- ending hand #36 --",2024-04-17T20:42:38.634Z,171338655863402
"""mr. lambert @ cv4vc9wMU_"" collected 100 from pot",2024-04-17T20:42:38.634Z,171338655863401
"Uncalled bet of 50 returned to ""mr. lambert @ cv4vc9wMU_""",2024-04-17T20:42:38.634Z,171338655863400
"""zhuker @ Kl1_LnokTN"" folds",2024-04-17T20:42:37.830Z,171338655783000
"""mr. lambert @ cv4vc9wMU_"" posts a big blind of 100",2024-04-17T20:42:35.031Z,171338655503105
"""zhuker @ Kl1_LnokTN"" posts a small blind of 50",2024-04-17T20:42:35.031Z,171338655503104
"Player stacks: #1 ""zhuker @ Kl1_LnokTN"" (4568) | #8 ""mr. lambert @ cv4vc9wMU_"" (2432)",2024-04-17T20:42:35.031Z,171338655503101
"-- starting hand #36 (id: vn5n4ld9aw9y)  (No Limit Texas Hold'em) (dealer: ""zhuker @ Kl1_LnokTN"") --",2024-04-17T20:42:35.031Z,171338655503100
"-- ending hand #35 --",2024-04-17T20:42:32.103Z,171338655210302
"""zhuker @ Kl1_LnokTN"" collected 200 from pot",2024-04-17T20:42:32.103Z,171338655210301
"Uncalled bet of 400 returned to ""zhuker @ Kl1_LnokTN""",2024-04-17T20:42:32.103Z,171338655210300
"""mr. lambert @ cv4vc9wMU_"" folds",2024-04-17T20:42:31.237Z,171338655123700
"""zhuker @ Kl1_LnokTN"" raises to 500",2024-04-17T20:42:29.882Z,171338654988200
"""mr. lambert @ cv4vc9wMU_"" calls 100",2024-04-17T20:42:24.594Z,171338654459400
"""zhuker @ Kl1_LnokTN"" posts a big blind of 100",2024-04-17T20:42:22.608Z,171338654260805
"""mr. lambert @ cv4vc9wMU_"" posts a small blind of 50",2024-04-17T20:42:22.608Z,171338654260804
"Player stacks: #1 ""zhuker @ Kl1_LnokTN"" (4468) | #8 ""mr. lambert @ cv4vc9wMU_"" (2532)",2024-04-17T20:42:22.608Z,171338654260801
"-- starting hand #35 (id: rtyba9yvas3r)  (No Limit Texas Hold'em) (dealer: ""mr. lambert @ cv4vc9wMU_"") --",2024-04-17T20:42:22.608Z,171338654260800
"-- ending hand #34 --",2024-04-17T20:42:19.676Z,171338653967602
"""zhuker @ Kl1_LnokTN"" collected 200 from pot",2024-04-17T20:42:19.676Z,171338653967601
"Uncalled bet of 100 returned to ""zhuker @ Kl1_LnokTN""",2024-04-17T20:42:19.676Z,171338653967600
"""mr. lambert @ cv4vc9wMU_"" folds",2024-04-17T20:42:18.823Z,171338653882300
"""zhuker @ Kl1_LnokTN"" raises to 200",2024-04-17T20:42:17.617Z,171338653761700
"""mr. lambert @ cv4vc9wMU_"" posts a big blind of 100",2024-04-17T20:42:13.743Z,171338653374305
"""zhuker @ Kl1_LnokTN"" posts a small blind of 50",2024-04-17T20:42:13.743Z,171338653374304
"Player stacks: #1 ""zhuker @ Kl1_LnokTN"" (4368) | #8 ""mr. lambert @ cv4vc9wMU_"" (2632)",2024-04-17T20:42:13.743Z,171338653374301
"-- starting hand #34 (id: df5u0vg3g4z7)  (No Limit Texas Hold'em) (dealer: ""zhuker @ Kl1_LnokTN"") --",2024-04-17T20:42:13.743Z,171338653374300
"-- ending hand #33 --",2024-04-17T20:42:10.775Z,171338653077502
"""mr. lambert @ cv4vc9wMU_"" collected 200 from pot",2024-04-17T20:42:10.775Z,171338653077501
"Uncalled bet of 2432 returned to ""mr. lambert @ cv4vc9wMU_""",2024-04-17T20:42:10.775Z,171338653077500
"""zhuker @ Kl1_LnokTN"" folds",2024-04-17T20:42:09.970Z,171338652997000
"""mr. lambert @ cv4vc9wMU_"" raises to 2532 and go all in",2024-04-17T20:42:07.763Z,171338652776300
"""zhuker @ Kl1_LnokTN"" posts a big blind of 100",2024-04-17T20:42:04.990Z,171338652499005
"""mr. lambert @ cv4vc9wMU_"" posts a small blind of 50",2024-04-17T20:42:04.990Z,171338652499004
"Player stacks: #1 ""zhuker @ Kl1_LnokTN"" (4468) | #8 ""mr. lambert @ cv4vc9wMU_"" (2532)",2024-04-17T20:42:04.990Z,171338652499001
"-- starting hand #33 (id: 6ffchlucyndd)  (No Limit Texas Hold'em) (dealer: ""mr. lambert @ cv4vc9wMU_"") --",2024-04-17T20:42:04.990Z,171338652499000
"-- ending hand #32 --",2024-04-17T20:42:02.077Z,171338652207702
"""zhuker @ Kl1_LnokTN"" collected 400 from pot",2024-04-17T20:42:02.077Z,171338652207701
"Uncalled bet of 200 returned to ""zhuker @ Kl1_LnokTN""",2024-04-17T20:42:02.077Z,171338652207700
"""mr. lambert @ cv4vc9wMU_"" folds",2024-04-17T20:42:01.252Z,171338652125200
"""zhuker @ Kl1_LnokTN"" bets 200",2024-04-17T20:41:59.874Z,171338651987400
"""mr. lambert @ cv4vc9wMU_"" checks",2024-04-17T20:41:55.355Z,171338651535500
"Flop:  [K♥, 6♣, 10♠]",2024-04-17T20:41:52.191Z,171338651219100
"""mr. lambert @ cv4vc9wMU_"" calls 200",2024-04-17T20:41:51.370Z,171338651137000
"""zhuker @ Kl1_LnokTN"" raises to 200",2024-04-17T20:41:48.076Z,171338650807600
"""mr. lambert @ cv4vc9wMU_"" posts a big blind of 100",2024-04-17T20:41:44.758Z,171338650475805
"""zhuker @ Kl1_LnokTN"" posts a small blind of 50",2024-04-17T20:41:44.758Z,171338650475804
"Player stacks: #1 ""zhuker @ Kl1_LnokTN"" (4268) | #8 ""mr. lambert @ cv4vc9wMU_"" (2732)",2024-04-17T20:41:44.758Z,171338650475801
"-- starting hand #32 (id: 3zg6xvv60yhd)  (No Limit Texas Hold'em) (dealer: ""zhuker @ Kl1_LnokTN"") --",2024-04-17T20:41:44.758Z,171338650475800
"-- ending hand #31 --",2024-04-17T20:41:41.856Z,171338650185602
"""mr. lambert @ cv4vc9wMU_"" collected 200 from pot",2024-04-17T20:41:41.856Z,171338650185601
"Uncalled bet of 2532 returned to ""mr. lambert @ cv4vc9wMU_""",2024-04-17T20:41:41.856Z,171338650185600
"""zhuker @ Kl1_LnokTN"" folds",2024-04-17T20:41:40.965Z,171338650096500
"""mr. lambert @ cv4vc9wMU_"" raises to 2632 and go all in",2024-04-17T20:41:38.383Z,171338649838300
"""zhuker @ Kl1_LnokTN"" posts a big blind of 100",2024-04-17T20:41:35.954Z,171338649595405
"""mr. lambert @ cv4vc9wMU_"" posts a small blind of 50",2024-04-17T20:41:35.954Z,171338649595404
"Player stacks: #1 ""zhuker @ Kl1_LnokTN"" (4368) | #8 ""mr. lambert @ cv4vc9wMU_"" (2632)",2024-04-17T20:41:35.954Z,171338649595401
"-- starting hand #31 (id: rljpp7s4rtcu)  (No Limit Texas Hold'em) (dealer: ""mr. lambert @ cv4vc9wMU_"") --",2024-04-17T20:41:35.954Z,171338649595400
"-- ending hand #30 --",2024-04-17T20:41:33.041Z,171338649304102
"""mr. lambert @ cv4vc9wMU_"" collected 200 from pot",2024-04-17T20:41:33.041Z,171338649304101
"Uncalled bet of 150 returned to ""mr. lambert @ cv4vc9wMU_""",2024-04-17T20:41:33.041Z,171338649304100
