entry,at,order
"The player ""codeyu @ DJmgVyLga0"" quits the game with a stack of 8000.",2024-04-26T18:35:56.952Z,171415655695200
"The player ""Dmytro#5395 @ xCYcMPoeO3"" quits the game with a stack of 0.",2024-04-26T18:30:35.876Z,171415623587600
"-- ending hand #37 --",2024-04-26T18:30:29.869Z,171415622986901
"""codeyu @ DJmgVyLga0"" collected 6330 from pot with Two Pair, K's & 8's (combination: K♥, K♦, 8♠, 8♥, J♣)",2024-04-26T18:30:29.869Z,171415622986900
"River: J♣, 2♦, K♥, K♦ [6♥]",2024-04-26T18:30:25.855Z,171415622585500
"Turn: J♣, 2♦, K♥ [K♦]",2024-04-26T18:30:21.837Z,171415622183700
"Flop:  [J♣, 2♦, K♥]",2024-04-26T18:30:17.827Z,171415621782700
"""codeyu @ DJmgVyLga0"" shows a 8♠, 8♥.",2024-04-26T18:30:13.773Z,171415621377301
"""Dmytro#5395 @ xCYcMPoeO3"" shows a 9♥, 10♥.",2024-04-26T18:30:13.773Z,171415621377300
"""codeyu @ DJmgVyLga0"" calls 3165",2024-04-26T18:30:12.904Z,171415621290400
"""Dmytro#5395 @ xCYcMPoeO3"" raises to 3165 and go all in",2024-04-26T18:30:11.145Z,171415621114500
"""codeyu @ DJmgVyLga0"" raises to 1050",2024-04-26T18:30:08.741Z,171415620874100
"""Dmytro#5395 @ xCYcMPoeO3"" raises to 600",2024-04-26T18:30:06.428Z,171415620642800
"""codeyu @ DJmgVyLga0"" posts a big blind of 150",2024-04-26T18:30:02.958Z,171415620295805
"""Dmytro#5395 @ xCYcMPoeO3"" posts a small blind of 75",2024-04-26T18:30:02.958Z,171415620295804
"Player stacks: #1 ""Dmytro#5395 @ xCYcMPoeO3"" (3165) | #2 ""codeyu @ DJmgVyLga0"" (4835)",2024-04-26T18:30:02.958Z,171415620295801
"-- starting hand #37 (id: 2b0z7lbp30bd)  (No Limit Texas Hold'em) (dealer: ""Dmytro#5395 @ xCYcMPoeO3"") --",2024-04-26T18:30:02.958Z,171415620295800
"-- ending hand #36 --",2024-04-26T18:29:59.961Z,171415619996102
"""Dmytro#5395 @ xCYcMPoeO3"" collected 300 from pot",2024-04-26T18:29:59.961Z,171415619996101
"Uncalled bet of 450 returned to ""Dmytro#5395 @ xCYcMPoeO3""",2024-04-26T18:29:59.961Z,171415619996100
"""codeyu @ DJmgVyLga0"" folds",2024-04-26T18:29:59.138Z,171415619913800
"""Dmytro#5395 @ xCYcMPoeO3"" bets 450",2024-04-26T18:29:56.818Z,171415619681800
"Flop:  [8♦, J♦, K♣]",2024-04-26T18:29:53.717Z,171415619371700
"""Dmytro#5395 @ xCYcMPoeO3"" checks",2024-04-26T18:29:52.891Z,171415619289100
"""codeyu @ DJmgVyLga0"" calls 150",2024-04-26T18:29:51.168Z,171415619116800
"""Dmytro#5395 @ xCYcMPoeO3"" posts a big blind of 150",2024-04-26T18:29:45.814Z,171415618581405
"""codeyu @ DJmgVyLga0"" posts a small blind of 75",2024-04-26T18:29:45.814Z,171415618581404
"Player stacks: #1 ""Dmytro#5395 @ xCYcMPoeO3"" (3015) | #2 ""codeyu @ DJmgVyLga0"" (4985)",2024-04-26T18:29:45.814Z,171415618581401
"-- starting hand #36 (id: jwytpmkhmoqk)  (No Limit Texas Hold'em) (dealer: ""codeyu @ DJmgVyLga0"") --",2024-04-26T18:29:45.814Z,171415618581400
"-- ending hand #35 --",2024-04-26T18:29:42.879Z,171415618287902
"""Dmytro#5395 @ xCYcMPoeO3"" collected 300 from pot",2024-04-26T18:29:42.879Z,171415618287901
"Uncalled bet of 450 returned to ""Dmytro#5395 @ xCYcMPoeO3""",2024-04-26T18:29:42.879Z,171415618287900
"""codeyu @ DJmgVyLga0"" folds",2024-04-26T18:29:42.012Z,171415618201200
"""Dmytro#5395 @ xCYcMPoeO3"" raises to 600",2024-04-26T18:29:40.041Z,171415618004100
"""codeyu @ DJmgVyLga0"" posts a big blind of 150",2024-04-26T18:29:36.693Z,171415617669305
"""Dmytro#5395 @ xCYcMPoeO3"" posts a small blind of 75",2024-04-26T18:29:36.693Z,171415617669304
"Player stacks: #1 ""Dmytro#5395 @ xCYcMPoeO3"" (2865) | #2 ""codeyu @ DJmgVyLga0"" (5135)",2024-04-26T18:29:36.693Z,171415617669301
"-- starting hand #35 (id: txlt5mweyliu)  (No Limit Texas Hold'em) (dealer: ""Dmytro#5395 @ xCYcMPoeO3"") --",2024-04-26T18:29:36.693Z,171415617669300
"-- ending hand #34 --",2024-04-26T18:29:33.755Z,171415617375502
"""Dmytro#5395 @ xCYcMPoeO3"" collected 150 from pot",2024-04-26T18:29:33.755Z,171415617375501
"Uncalled bet of 75 returned to ""Dmytro#5395 @ xCYcMPoeO3""",2024-04-26T18:29:33.755Z,171415617375500
"""codeyu @ DJmgVyLga0"" folds",2024-04-26T18:29:32.900Z,171415617290000
"""Dmytro#5395 @ xCYcMPoeO3"" posts a big blind of 150",2024-04-26T18:29:31.075Z,171415617107505
"""codeyu @ DJmgVyLga0"" posts a small blind of 75",2024-04-26T18:29:31.075Z,171415617107504
