entry,at,order
"The player ""smashthategg @ nL7UOwiHi4"" quits the game with a stack of 0.",2024-01-20T07:26:15.288Z,170573557528800
"-- ending hand #34 --",2024-01-20T07:26:09.280Z,170573556928001
"""ChhotaChattri @ d-kT-qdo5y"" collected 5600 from pot with Full House, 3's over 6's (combination: 3♥, 3♣, 3♠, 6♣, 6♥)",2024-01-20T07:26:09.280Z,170573556928000
"River: 6♣, 6♥, 3♣, 3♠ [Q♥]",2024-01-20T07:26:05.277Z,170573556527700
"Turn: 6♣, 6♥, 3♣ [3♠]",2024-01-20T07:26:01.271Z,170573556127100
"Flop:  [6♣, 6♥, 3♣]",2024-01-20T07:25:57.264Z,170573555726400
"""smashthategg @ nL7UOwiHi4"" shows a 7♠, 2♦.",2024-01-20T07:25:53.262Z,170573555326201
"""ChhotaChattri @ d-kT-qdo5y"" shows a A♦, 3♥.",2024-01-20T07:25:53.262Z,170573555326200
"""smashthategg @ nL7UOwiHi4"" calls 2800 and go all in",2024-01-20T07:25:52.435Z,170573555243500
"""ChhotaChattri @ d-kT-qdo5y"" raises to 2800",2024-01-20T07:25:51.544Z,170573555154400
"""smashthategg @ nL7UOwiHi4"" posts a big blind of 60",2024-01-20T07:25:49.866Z,170573554986605
"""ChhotaChattri @ d-kT-qdo5y"" posts a small blind of 30",2024-01-20T07:25:49.866Z,170573554986604
"Your hand is 7♠, 2♦",2024-01-20T07:25:49.866Z,170573554986603
"Player stacks: #2 ""ChhotaChattri @ d-kT-qdo5y"" (4200) | #3 ""smashthategg @ nL7UOwiHi4"" (2800)",2024-01-20T07:25:49.866Z,170573554986601
"-- starting hand #34 (id: vfy4nea6blc8)  (No Limit Texas Hold'em) (dealer: ""ChhotaChattri @ d-kT-qdo5y"") --",2024-01-20T07:25:49.866Z,170573554986600
"-- ending hand #33 --",2024-01-20T07:25:46.955Z,170573554695502
"""smashthategg @ nL7UOwiHi4"" collected 240 from pot",2024-01-20T07:25:46.955Z,170573554695501
"Uncalled bet of 240 returned to ""smashthategg @ nL7UOwiHi4""",2024-01-20T07:25:46.955Z,170573554695500
"""ChhotaChattri @ d-kT-qdo5y"" folds",2024-01-20T07:25:46.147Z,170573554614700
"""smashthategg @ nL7UOwiHi4"" bets 240",2024-01-20T07:25:38.948Z,170573553894800
"""ChhotaChattri @ d-kT-qdo5y"" checks",2024-01-20T07:25:32.354Z,170573553235400
"River: 9♦, 10♣, 10♦, 4♠ [8♦]",2024-01-20T07:25:31.036Z,170573553103600
